variant	codon_freq	model	lnL	np	AIC	BEB_sites_ge_0.95	job_dir	status	LRT	p
baseline_mask50	1	site_M1a	-10182.46131	17.0	20398.92262	0.0	/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/codon_evolution/paml/baseline_mask50/F1/intact_site_models/site_M1a	codeml_failed		
baseline_mask50	1	site_M2a	-10155.046539	19.0	20348.093078	6.0	/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/codon_evolution/paml/baseline_mask50/F1/intact_site_models/site_M2a	codeml_failed		
baseline_mask50	1	site_M7	-10188.721277	17.0	20411.442554	0.0	/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/codon_evolution/paml/baseline_mask50/F1/intact_site_models/site_M7	codeml_failed		
baseline_mask50	1	site_M8	-10157.373222	19.0	20352.746444	7.0	/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/codon_evolution/paml/baseline_mask50/F1/intact_site_models/site_M8	codeml_failed		
baseline_mask50	1	M1a_vs_M2a						comparison	54.82954199999949	1.2414128372985984e-12
baseline_mask50	1	M7_vs_M8						comparison	62.69611000000077	2.4305955312528937e-14
baseline_mask50	2	site_M1a	-10173.165756	17.0	20380.331512	0.0	/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/codon_evolution/paml/baseline_mask50/F2/intact_site_models/site_M1a	codeml_failed		
baseline_mask50	2	site_M2a	-10146.057651	19.0	20330.115302	7.0	/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/codon_evolution/paml/baseline_mask50/F2/intact_site_models/site_M2a	codeml_failed		
baseline_mask50	2	site_M7	-10180.8531	17.0	20395.7062	0.0	/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/codon_evolution/paml/baseline_mask50/F2/intact_site_models/site_M7	codeml_failed		
baseline_mask50	2	site_M8	-10148.918453	19.0	20335.836906	9.0	/home/morpheus/retraction_watch_plots/gprc6a/GPRC6A_Ruminantia/codon_evolution/paml/baseline_mask50/F2/intact_site_models/site_M8	codeml_failed		
baseline_mask50	2	M1a_vs_M2a						comparison	54.21621000000232	1.6869397960315955e-12
baseline_mask50	2	M7_vs_M8						comparison	63.86929400000008	1.3519450075663928e-14
