clade	descendants	callable_descendants	disrupted_descendants	intact_descendants	disrupted_fraction	candidate_shared_loss	descendant_species
Ruminantia	105	56	56	0	1.0	True	Tragulus javanicus;Tragulus kanchil;Antilocapra americana;Giraffa camelopardalis;Giraffa tippelskirchi;Okapia johnstoni;Muntiacus crinifrons;Muntiacus feae;Muntiacus gongshanensis;Muntiacus muntjak;Muntiacus reevesi;Muntiacus vaginalis;Axis porcinus;Cervus albirostris;Cervus canadensis;Cervus elaphus;Cervus hanglu;Cervus nippon;Dama dama;Megaloceros giganteus;Elaphurus davidianus;Rucervus eldii;Rusa alfredi;Alces alces;Capreolus capreolus;Capreolus pygargus;Hydropotes inermis;Odocoileus hemionus;Odocoileus virginianus;Rangifer tarandus;Moschus berezovskii;Moschus chrysogaster;Moschus moschiferus;Bison bison;Bison bonasus;Bos frontalis;Bos gaurus;Bos grunniens;Bos indicus;Bos javanicus;Bos mutus;Bos taurus;Bubalus bubalis;Bubalus depressicornis;Bubalus kerabau;Syncerus caffer;Pseudoryx nghetinhensis;Tragelaphus buxtoni;Tragelaphus eurycerus;Tragelaphus imberbis;Tragelaphus oryx;Tragelaphus scriptus;Tragelaphus spekii;Tragelaphus strepsiceros;Aepyceros melampus;Alcelaphus buselaphus;Beatragus hunteri;Connochaetes taurinus;Damaliscus lunatus;Addax nasomaculatus;Hippotragus equinus;Hippotragus niger;Oryx dammah;Oryx gazella;Kobus ellipsiprymnus;Kobus leche;Redunca redunca;Cephalophula zebra;Cephalophus harveyi;Philantomba maxwellii;Sylvicapra grimmia;Ammotragus lervia;Budorcas taxicolor;Capra aegagrus;Capra falconeri;Capra hircus;Capra ibex;Capra nubiana;Capra sibirica;Capricornis sumatraensis;Nilgiritragus hylocrius;Oreamnos americanus;Ovibos moschatus;Ovis ammon;Ovis aries;Ovis canadensis;Ovis nivicola;Ovis orientalis;Ovis vignei;Pseudois nayaur;Rupicapra rupicapra;Pantholops hodgsonii;Antidorcas marsupialis;Eudorcas thomsonii;Nanger dama;Nanger granti;Procapra przewalskii;Saiga tatarica;Litocranius walleri;Madoqua kirkii;Neotragus moschatus;Neotragus pygmaeus;Oreotragus oreotragus;Ourebia ourebi;Raphicerus campestris
Pecora	103	55	55	0	1.0	True	Antilocapra americana;Giraffa camelopardalis;Giraffa tippelskirchi;Okapia johnstoni;Muntiacus crinifrons;Muntiacus feae;Muntiacus gongshanensis;Muntiacus muntjak;Muntiacus reevesi;Muntiacus vaginalis;Axis porcinus;Cervus albirostris;Cervus canadensis;Cervus elaphus;Cervus hanglu;Cervus nippon;Dama dama;Megaloceros giganteus;Elaphurus davidianus;Rucervus eldii;Rusa alfredi;Alces alces;Capreolus capreolus;Capreolus pygargus;Hydropotes inermis;Odocoileus hemionus;Odocoileus virginianus;Rangifer tarandus;Moschus berezovskii;Moschus chrysogaster;Moschus moschiferus;Bison bison;Bison bonasus;Bos frontalis;Bos gaurus;Bos grunniens;Bos indicus;Bos javanicus;Bos mutus;Bos taurus;Bubalus bubalis;Bubalus depressicornis;Bubalus kerabau;Syncerus caffer;Pseudoryx nghetinhensis;Tragelaphus buxtoni;Tragelaphus eurycerus;Tragelaphus imberbis;Tragelaphus oryx;Tragelaphus scriptus;Tragelaphus spekii;Tragelaphus strepsiceros;Aepyceros melampus;Alcelaphus buselaphus;Beatragus hunteri;Connochaetes taurinus;Damaliscus lunatus;Addax nasomaculatus;Hippotragus equinus;Hippotragus niger;Oryx dammah;Oryx gazella;Kobus ellipsiprymnus;Kobus leche;Redunca redunca;Cephalophula zebra;Cephalophus harveyi;Philantomba maxwellii;Sylvicapra grimmia;Ammotragus lervia;Budorcas taxicolor;Capra aegagrus;Capra falconeri;Capra hircus;Capra ibex;Capra nubiana;Capra sibirica;Capricornis sumatraensis;Nilgiritragus hylocrius;Oreamnos americanus;Ovibos moschatus;Ovis ammon;Ovis aries;Ovis canadensis;Ovis nivicola;Ovis orientalis;Ovis vignei;Pseudois nayaur;Rupicapra rupicapra;Pantholops hodgsonii;Antidorcas marsupialis;Eudorcas thomsonii;Nanger dama;Nanger granti;Procapra przewalskii;Saiga tatarica;Litocranius walleri;Madoqua kirkii;Neotragus moschatus;Neotragus pygmaeus;Oreotragus oreotragus;Ourebia ourebi;Raphicerus campestris
remaining Pecora	102	54	54	0	1.0	True	Giraffa camelopardalis;Giraffa tippelskirchi;Okapia johnstoni;Muntiacus crinifrons;Muntiacus feae;Muntiacus gongshanensis;Muntiacus muntjak;Muntiacus reevesi;Muntiacus vaginalis;Axis porcinus;Cervus albirostris;Cervus canadensis;Cervus elaphus;Cervus hanglu;Cervus nippon;Dama dama;Megaloceros giganteus;Elaphurus davidianus;Rucervus eldii;Rusa alfredi;Alces alces;Capreolus capreolus;Capreolus pygargus;Hydropotes inermis;Odocoileus hemionus;Odocoileus virginianus;Rangifer tarandus;Moschus berezovskii;Moschus chrysogaster;Moschus moschiferus;Bison bison;Bison bonasus;Bos frontalis;Bos gaurus;Bos grunniens;Bos indicus;Bos javanicus;Bos mutus;Bos taurus;Bubalus bubalis;Bubalus depressicornis;Bubalus kerabau;Syncerus caffer;Pseudoryx nghetinhensis;Tragelaphus buxtoni;Tragelaphus eurycerus;Tragelaphus imberbis;Tragelaphus oryx;Tragelaphus scriptus;Tragelaphus spekii;Tragelaphus strepsiceros;Aepyceros melampus;Alcelaphus buselaphus;Beatragus hunteri;Connochaetes taurinus;Damaliscus lunatus;Addax nasomaculatus;Hippotragus equinus;Hippotragus niger;Oryx dammah;Oryx gazella;Kobus ellipsiprymnus;Kobus leche;Redunca redunca;Cephalophula zebra;Cephalophus harveyi;Philantomba maxwellii;Sylvicapra grimmia;Ammotragus lervia;Budorcas taxicolor;Capra aegagrus;Capra falconeri;Capra hircus;Capra ibex;Capra nubiana;Capra sibirica;Capricornis sumatraensis;Nilgiritragus hylocrius;Oreamnos americanus;Ovibos moschatus;Ovis ammon;Ovis aries;Ovis canadensis;Ovis nivicola;Ovis orientalis;Ovis vignei;Pseudois nayaur;Rupicapra rupicapra;Pantholops hodgsonii;Antidorcas marsupialis;Eudorcas thomsonii;Nanger dama;Nanger granti;Procapra przewalskii;Saiga tatarica;Litocranius walleri;Madoqua kirkii;Neotragus moschatus;Neotragus pygmaeus;Oreotragus oreotragus;Ourebia ourebi;Raphicerus campestris
Cervidae + (Moschidae + Bovidae)	99	51	51	0	1.0	True	Muntiacus crinifrons;Muntiacus feae;Muntiacus gongshanensis;Muntiacus muntjak;Muntiacus reevesi;Muntiacus vaginalis;Axis porcinus;Cervus albirostris;Cervus canadensis;Cervus elaphus;Cervus hanglu;Cervus nippon;Dama dama;Megaloceros giganteus;Elaphurus davidianus;Rucervus eldii;Rusa alfredi;Alces alces;Capreolus capreolus;Capreolus pygargus;Hydropotes inermis;Odocoileus hemionus;Odocoileus virginianus;Rangifer tarandus;Moschus berezovskii;Moschus chrysogaster;Moschus moschiferus;Bison bison;Bison bonasus;Bos frontalis;Bos gaurus;Bos grunniens;Bos indicus;Bos javanicus;Bos mutus;Bos taurus;Bubalus bubalis;Bubalus depressicornis;Bubalus kerabau;Syncerus caffer;Pseudoryx nghetinhensis;Tragelaphus buxtoni;Tragelaphus eurycerus;Tragelaphus imberbis;Tragelaphus oryx;Tragelaphus scriptus;Tragelaphus spekii;Tragelaphus strepsiceros;Aepyceros melampus;Alcelaphus buselaphus;Beatragus hunteri;Connochaetes taurinus;Damaliscus lunatus;Addax nasomaculatus;Hippotragus equinus;Hippotragus niger;Oryx dammah;Oryx gazella;Kobus ellipsiprymnus;Kobus leche;Redunca redunca;Cephalophula zebra;Cephalophus harveyi;Philantomba maxwellii;Sylvicapra grimmia;Ammotragus lervia;Budorcas taxicolor;Capra aegagrus;Capra falconeri;Capra hircus;Capra ibex;Capra nubiana;Capra sibirica;Capricornis sumatraensis;Nilgiritragus hylocrius;Oreamnos americanus;Ovibos moschatus;Ovis ammon;Ovis aries;Ovis canadensis;Ovis nivicola;Ovis orientalis;Ovis vignei;Pseudois nayaur;Rupicapra rupicapra;Pantholops hodgsonii;Antidorcas marsupialis;Eudorcas thomsonii;Nanger dama;Nanger granti;Procapra przewalskii;Saiga tatarica;Litocranius walleri;Madoqua kirkii;Neotragus moschatus;Neotragus pygmaeus;Oreotragus oreotragus;Ourebia ourebi;Raphicerus campestris
Moschidae + Bovidae	75	34	34	0	1.0	True	Moschus berezovskii;Moschus chrysogaster;Moschus moschiferus;Bison bison;Bison bonasus;Bos frontalis;Bos gaurus;Bos grunniens;Bos indicus;Bos javanicus;Bos mutus;Bos taurus;Bubalus bubalis;Bubalus depressicornis;Bubalus kerabau;Syncerus caffer;Pseudoryx nghetinhensis;Tragelaphus buxtoni;Tragelaphus eurycerus;Tragelaphus imberbis;Tragelaphus oryx;Tragelaphus scriptus;Tragelaphus spekii;Tragelaphus strepsiceros;Aepyceros melampus;Alcelaphus buselaphus;Beatragus hunteri;Connochaetes taurinus;Damaliscus lunatus;Addax nasomaculatus;Hippotragus equinus;Hippotragus niger;Oryx dammah;Oryx gazella;Kobus ellipsiprymnus;Kobus leche;Redunca redunca;Cephalophula zebra;Cephalophus harveyi;Philantomba maxwellii;Sylvicapra grimmia;Ammotragus lervia;Budorcas taxicolor;Capra aegagrus;Capra falconeri;Capra hircus;Capra ibex;Capra nubiana;Capra sibirica;Capricornis sumatraensis;Nilgiritragus hylocrius;Oreamnos americanus;Ovibos moschatus;Ovis ammon;Ovis aries;Ovis canadensis;Ovis nivicola;Ovis orientalis;Ovis vignei;Pseudois nayaur;Rupicapra rupicapra;Pantholops hodgsonii;Antidorcas marsupialis;Eudorcas thomsonii;Nanger dama;Nanger granti;Procapra przewalskii;Saiga tatarica;Litocranius walleri;Madoqua kirkii;Neotragus moschatus;Neotragus pygmaeus;Oreotragus oreotragus;Ourebia ourebi;Raphicerus campestris
Bovidae	72	33	33	0	1.0	True	Bison bison;Bison bonasus;Bos frontalis;Bos gaurus;Bos grunniens;Bos indicus;Bos javanicus;Bos mutus;Bos taurus;Bubalus bubalis;Bubalus depressicornis;Bubalus kerabau;Syncerus caffer;Pseudoryx nghetinhensis;Tragelaphus buxtoni;Tragelaphus eurycerus;Tragelaphus imberbis;Tragelaphus oryx;Tragelaphus scriptus;Tragelaphus spekii;Tragelaphus strepsiceros;Aepyceros melampus;Alcelaphus buselaphus;Beatragus hunteri;Connochaetes taurinus;Damaliscus lunatus;Addax nasomaculatus;Hippotragus equinus;Hippotragus niger;Oryx dammah;Oryx gazella;Kobus ellipsiprymnus;Kobus leche;Redunca redunca;Cephalophula zebra;Cephalophus harveyi;Philantomba maxwellii;Sylvicapra grimmia;Ammotragus lervia;Budorcas taxicolor;Capra aegagrus;Capra falconeri;Capra hircus;Capra ibex;Capra nubiana;Capra sibirica;Capricornis sumatraensis;Nilgiritragus hylocrius;Oreamnos americanus;Ovibos moschatus;Ovis ammon;Ovis aries;Ovis canadensis;Ovis nivicola;Ovis orientalis;Ovis vignei;Pseudois nayaur;Rupicapra rupicapra;Pantholops hodgsonii;Antidorcas marsupialis;Eudorcas thomsonii;Nanger dama;Nanger granti;Procapra przewalskii;Saiga tatarica;Litocranius walleri;Madoqua kirkii;Neotragus moschatus;Neotragus pygmaeus;Oreotragus oreotragus;Ourebia ourebi;Raphicerus campestris
Cervidae	24	17	17	0	1.0	True	Muntiacus crinifrons;Muntiacus feae;Muntiacus gongshanensis;Muntiacus muntjak;Muntiacus reevesi;Muntiacus vaginalis;Axis porcinus;Cervus albirostris;Cervus canadensis;Cervus elaphus;Cervus hanglu;Cervus nippon;Dama dama;Megaloceros giganteus;Elaphurus davidianus;Rucervus eldii;Rusa alfredi;Alces alces;Capreolus capreolus;Capreolus pygargus;Hydropotes inermis;Odocoileus hemionus;Odocoileus virginianus;Rangifer tarandus
Caprini	20	15	15	0	1.0	True	Ammotragus lervia;Budorcas taxicolor;Capra aegagrus;Capra falconeri;Capra hircus;Capra ibex;Capra nubiana;Capra sibirica;Capricornis sumatraensis;Nilgiritragus hylocrius;Oreamnos americanus;Ovibos moschatus;Ovis ammon;Ovis aries;Ovis canadensis;Ovis nivicola;Ovis orientalis;Ovis vignei;Pseudois nayaur;Rupicapra rupicapra
Bovinae	21	12	12	0	1.0	True	Bison bison;Bison bonasus;Bos frontalis;Bos gaurus;Bos grunniens;Bos indicus;Bos javanicus;Bos mutus;Bos taurus;Bubalus bubalis;Bubalus depressicornis;Bubalus kerabau;Syncerus caffer;Pseudoryx nghetinhensis;Tragelaphus buxtoni;Tragelaphus eurycerus;Tragelaphus imberbis;Tragelaphus oryx;Tragelaphus scriptus;Tragelaphus spekii;Tragelaphus strepsiceros
Cervinae	17	11	11	0	1.0	True	Muntiacus crinifrons;Muntiacus feae;Muntiacus gongshanensis;Muntiacus muntjak;Muntiacus reevesi;Muntiacus vaginalis;Axis porcinus;Cervus albirostris;Cervus canadensis;Cervus elaphus;Cervus hanglu;Cervus nippon;Dama dama;Megaloceros giganteus;Elaphurus davidianus;Rucervus eldii;Rusa alfredi
