model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,4.52,0.182,SRV,1
alternative,reference,Negative selection,0.114,72.823,SRV,1
alternative,reference,Negative selection,0.5,26.995,SRV,1
alternative,test,Diversifying selection,3.124,0.182,SRV,1
alternative,test,Diversifying selection,4.52,0.182,SRV,1
alternative,test,Negative selection,0.194,72.823,SRV,1
alternative,test,Negative selection,0.592,26.995,SRV,1
alternative,test,Negative selection,0.114,72.823,SRV,1
alternative,test,Negative selection,0.5,26.995,SRV,1
null,reference,Diversifying selection,4.85,0.079,SRV,1
null,reference,Negative selection,0.118,72.124,SRV,1
null,reference,Negative selection,0.512,27.797,SRV,1
null,test,Diversifying selection,4.85,0.079,SRV,1
null,test,Negative selection,0.118,72.124,SRV,1
null,test,Negative selection,0.512,27.797,SRV,1
alternative,reference,Negative selection,0.114,71.779,SRV,2
alternative,reference,Negative selection,0.42,23.931,SRV,2
alternative,reference,Neutral evolution,1.0,4.29,SRV,2
alternative,test,Negative selection,0.195,71.779,SRV,2
alternative,test,Negative selection,0.521,23.931,SRV,2
alternative,test,Negative selection,0.114,71.779,SRV,2
alternative,test,Negative selection,0.42,23.931,SRV,2
alternative,test,Neutral evolution,1.0,4.29,SRV,2
alternative,test,Neutral evolution,1.0,4.29,SRV,2
null,reference,Negative selection,0.119,71.118,SRV,2
null,reference,Negative selection,0.448,25.939,SRV,2
null,reference,Neutral evolution,1.0,2.943,SRV,2
null,test,Negative selection,0.119,71.118,SRV,2
null,test,Negative selection,0.448,25.939,SRV,2
null,test,Neutral evolution,1.0,2.943,SRV,2
alternative,reference,Diversifying selection,5.271,0.128,SRV,3
alternative,reference,Negative selection,0.113,73.041,SRV,3
alternative,reference,Negative selection,0.51,26.831,SRV,3
alternative,test,Diversifying selection,3.511,0.128,SRV,3
alternative,test,Diversifying selection,5.271,0.128,SRV,3
alternative,test,Negative selection,0.193,73.041,SRV,3
alternative,test,Negative selection,0.601,26.831,SRV,3
alternative,test,Negative selection,0.113,73.041,SRV,3
alternative,test,Negative selection,0.51,26.831,SRV,3
null,reference,Diversifying selection,2.049,0.192,SRV,3
null,reference,Negative selection,0.117,72.208,SRV,3
null,reference,Negative selection,0.514,27.6,SRV,3
null,test,Diversifying selection,2.049,0.192,SRV,3
null,test,Negative selection,0.117,72.208,SRV,3
null,test,Negative selection,0.514,27.6,SRV,3
alternative,reference,Diversifying selection,1.092,1.311,SRV,4
alternative,reference,Negative selection,0.115,75.671,SRV,4
alternative,reference,Negative selection,0.535,23.018,SRV,4
alternative,test,Diversifying selection,1.068,1.311,SRV,4
alternative,test,Diversifying selection,1.092,1.311,SRV,4
alternative,test,Negative selection,0.198,75.671,SRV,4
alternative,test,Negative selection,0.625,23.018,SRV,4
alternative,test,Negative selection,0.115,75.671,SRV,4
alternative,test,Negative selection,0.535,23.018,SRV,4
null,reference,Negative selection,0.122,74.992,SRV,4
null,reference,Negative selection,0.547,24.621,SRV,4
null,reference,Neutral evolution,1.0,0.387,SRV,4
null,test,Negative selection,0.122,74.992,SRV,4
null,test,Negative selection,0.547,24.621,SRV,4
null,test,Neutral evolution,1.0,0.387,SRV,4
alternative,reference,Negative selection,0.114,56.886,SRV,5
alternative,reference,Negative selection,0.254,36.277,SRV,5
alternative,reference,Neutral evolution,1.0,6.837,SRV,5
alternative,test,Negative selection,0.193,56.886,SRV,5
alternative,test,Negative selection,0.354,36.277,SRV,5
alternative,test,Negative selection,0.114,56.886,SRV,5
alternative,test,Negative selection,0.254,36.277,SRV,5
alternative,test,Neutral evolution,1.0,6.837,SRV,5
alternative,test,Neutral evolution,1.0,6.837,SRV,5
null,reference,Negative selection,0.112,56.621,SRV,5
null,reference,Negative selection,0.293,37.564,SRV,5
null,reference,Neutral evolution,1.0,5.815,SRV,5
null,test,Negative selection,0.112,56.621,SRV,5
null,test,Negative selection,0.293,37.564,SRV,5
null,test,Neutral evolution,1.0,5.815,SRV,5
alternative,reference,Negative selection,0.138,66.009,SRV,6
alternative,reference,Negative selection,0.213,25.928,SRV,6
alternative,reference,Neutral evolution,1.0,8.063,SRV,6
alternative,test,Negative selection,0.225,66.009,SRV,6
alternative,test,Negative selection,0.312,25.928,SRV,6
alternative,test,Negative selection,0.138,66.009,SRV,6
alternative,test,Negative selection,0.213,25.928,SRV,6
alternative,test,Neutral evolution,1.0,8.063,SRV,6
alternative,test,Neutral evolution,1.0,8.063,SRV,6
null,reference,Negative selection,0.142,66.802,SRV,6
null,reference,Negative selection,0.246,25.726,SRV,6
null,reference,Neutral evolution,1.0,7.472,SRV,6
null,test,Negative selection,0.142,66.802,SRV,6
null,test,Negative selection,0.246,25.726,SRV,6
null,test,Neutral evolution,1.0,7.472,SRV,6
alternative,reference,Negative selection,0.136,50.317,SRV,7
alternative,reference,Negative selection,0.192,41.969,SRV,7
alternative,reference,Neutral evolution,1.0,7.714,SRV,7
alternative,test,Negative selection,0.22,50.317,SRV,7
alternative,test,Negative selection,0.286,41.969,SRV,7
alternative,test,Negative selection,0.136,50.317,SRV,7
alternative,test,Negative selection,0.192,41.969,SRV,7
alternative,test,Neutral evolution,1.0,7.714,SRV,7
alternative,test,Neutral evolution,1.0,7.714,SRV,7
null,reference,Negative selection,0.12,56.017,SRV,7
null,reference,Negative selection,0.267,37.609,SRV,7
null,reference,Neutral evolution,1.0,6.374,SRV,7
null,test,Negative selection,0.12,56.017,SRV,7
null,test,Negative selection,0.267,37.609,SRV,7
null,test,Neutral evolution,1.0,6.374,SRV,7
alternative,reference,Diversifying selection,2.7,0.519,SRV,8
alternative,reference,Negative selection,0.12,73.939,SRV,8
alternative,reference,Negative selection,0.483,25.542,SRV,8
alternative,test,Diversifying selection,2.12,0.519,SRV,8
alternative,test,Diversifying selection,2.7,0.519,SRV,8
alternative,test,Negative selection,0.201,73.939,SRV,8
alternative,test,Negative selection,0.577,25.542,SRV,8
alternative,test,Negative selection,0.12,73.939,SRV,8
alternative,test,Negative selection,0.483,25.542,SRV,8
null,reference,Diversifying selection,2.145,0.441,SRV,8
null,reference,Negative selection,0.123,72.498,SRV,8
null,reference,Negative selection,0.491,27.061,SRV,8
null,test,Diversifying selection,2.145,0.441,SRV,8
null,test,Negative selection,0.123,72.498,SRV,8
null,test,Negative selection,0.491,27.061,SRV,8
alternative,reference,Negative selection,0.122,69.424,SRV,9
alternative,reference,Negative selection,0.318,24.236,SRV,9
alternative,reference,Neutral evolution,1.0,6.34,SRV,9
alternative,test,Negative selection,0.205,69.424,SRV,9
alternative,test,Negative selection,0.42,24.236,SRV,9
alternative,test,Negative selection,0.122,69.424,SRV,9
alternative,test,Negative selection,0.318,24.236,SRV,9
alternative,test,Neutral evolution,1.0,6.34,SRV,9
alternative,test,Neutral evolution,1.0,6.34,SRV,9
null,reference,Negative selection,0.121,69.174,SRV,9
null,reference,Negative selection,0.391,26.52,SRV,9
null,reference,Neutral evolution,1.0,4.306,SRV,9
null,test,Negative selection,0.121,69.174,SRV,9
null,test,Negative selection,0.391,26.52,SRV,9
null,test,Neutral evolution,1.0,4.306,SRV,9
alternative,reference,Diversifying selection,1.003,3.342,SRV,10
alternative,reference,Negative selection,0.117,74.845,SRV,10
alternative,reference,Negative selection,0.477,21.813,SRV,10
alternative,test,Diversifying selection,1.002,3.342,SRV,10
alternative,test,Diversifying selection,1.003,3.342,SRV,10
alternative,test,Negative selection,0.199,74.845,SRV,10
alternative,test,Negative selection,0.573,21.813,SRV,10
alternative,test,Negative selection,0.117,74.845,SRV,10
alternative,test,Negative selection,0.477,21.813,SRV,10
null,reference,Negative selection,0.124,74.247,SRV,10
null,reference,Negative selection,0.493,23.515,SRV,10
null,reference,Neutral evolution,1.0,2.239,SRV,10
null,test,Negative selection,0.124,74.247,SRV,10
null,test,Negative selection,0.493,23.515,SRV,10
null,test,Neutral evolution,1.0,2.239,SRV,10
alternative,reference,Diversifying selection,1.51,0.0,SRV+Double,1
alternative,reference,Negative selection,0.106,44.921,SRV+Double,1
alternative,reference,Negative selection,0.299,55.079,SRV+Double,1
alternative,test,Diversifying selection,1.375,0.0,SRV+Double,1
alternative,test,Diversifying selection,1.51,0.0,SRV+Double,1
alternative,test,Negative selection,0.177,44.921,SRV+Double,1
alternative,test,Negative selection,0.393,55.079,SRV+Double,1
alternative,test,Negative selection,0.106,44.921,SRV+Double,1
