replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.1317,0.76,-9180.25,18436.91,38,-9181.39,18437.16,37,0.2334,0.3062,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.1324,0.75,-9180.28,18436.95,38,-9181.41,18437.2,37,0.2334,0.3063,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.1307,0.76,-9180.25,18436.91,38,-9181.4,18437.17,37,0.2334,0.3062,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.133,0.75,-9180.27,18436.95,38,-9181.4,18437.19,37,0.2334,0.3062,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.1283,0.76,-9180.28,18436.96,38,-9181.44,18437.25,37,0.2334,0.3062,Convergence/flat likelihood
6,SRV,0.118,0.75,-9180.51,18437.42,38,-9181.73,18437.85,37,0.2334,0.3062,Convergence/flat likelihood
7,SRV,0.1272,0.76,-9180.29,18436.98,38,-9181.45,18437.28,37,0.2334,0.3062,Convergence/flat likelihood
8,SRV,0.1299,0.76,-9180.26,18436.92,38,-9181.41,18437.19,37,0.2334,0.3062,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.1304,0.76,-9180.28,18436.95,38,-9181.42,18437.22,37,0.2334,0.3064,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.132,0.75,-9180.28,18436.96,38,-9181.41,18437.2,37,0.2333,0.3061,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.126,0.77,-9179.96,18440.37,40,-9181.13,18440.69,39,0.2334,0.3063,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.1291,0.78,-9179.98,18440.4,40,-9181.13,18440.68,39,0.2334,0.3062,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.1269,0.77,-9179.96,18440.37,40,-9181.13,18440.68,39,0.2335,0.3066,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.2015,0.77,-9179.97,18440.37,40,-9180.78,18439.98,39,0.2334,0.3062,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.125,0.78,-9179.99,18440.42,40,-9181.17,18440.76,39,0.2334,0.306,Convergence/flat likelihood
6,SRV+Double,0.1234,0.78,-9179.96,18440.37,40,-9181.15,18440.72,39,0.2334,0.3062,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.1265,0.78,-9179.96,18440.37,40,-9181.13,18440.68,39,0.2334,0.3062,Convergence/flat likelihood
8,SRV+Double,0.124,0.78,-9179.99,18440.42,40,-9181.17,18440.76,39,0.2334,0.3062,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.1259,0.78,-9179.96,18440.36,40,-9181.13,18440.68,39,0.2334,0.3063,Convergence/flat likelihood
10,SRV+Double,0.1277,0.78,-9179.97,18440.38,40,-9181.13,18440.68,39,0.2334,0.3062,Convergence/flat likelihood
1,SRV+Double+Triple,0.1273,0.77,-9179.96,18444.42,42,-9181.13,18444.72,41,0.2334,0.3062,Convergence/flat likelihood
2,SRV+Double+Triple,0.1285,0.78,-9179.97,18444.44,42,-9181.13,18444.72,41,0.2334,0.3062,Convergence/flat likelihood
3,SRV+Double+Triple,0.1261,0.77,-9179.96,18444.41,42,-9181.13,18444.73,41,0.2334,0.3062,Convergence/flat likelihood
4,SRV+Double+Triple,0.2088,0.78,-9179.97,18444.44,42,-9180.76,18443.99,41,0.2334,0.3062,Convergence/flat likelihood
5,SRV+Double+Triple,0.1239,0.78,-9179.97,18444.44,42,-9181.16,18444.78,41,0.2334,0.3062,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.2093,0.78,-9179.96,18444.42,42,-9180.75,18443.97,41,0.2334,0.3062,Convergence/flat likelihood
7,SRV+Double+Triple,0.1305,0.78,-9179.99,18444.46,42,-9181.13,18444.73,41,0.2334,0.3062,Convergence/flat likelihood
8,SRV+Double+Triple,0.1264,0.77,-9179.96,18444.41,42,-9181.13,18444.72,41,0.2334,0.3062,Convergence/flat likelihood
9,SRV+Double+Triple,0.1232,0.78,-9179.97,18444.43,42,-9181.16,18444.78,41,0.2334,0.3062,Convergence/flat likelihood
10,SRV+Double+Triple,0.1273,0.78,-9179.96,18444.42,42,-9181.13,18444.72,41,0.2334,0.3062,Convergence/flat likelihood
