run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,1.42,,3.397
SRV,1,alternative,reference,omega,Negative selection,0.165,,82.239
SRV,1,alternative,reference,omega,Negative selection,0.424,,14.364
SRV,1,alternative,test,omega,Diversifying selection,1.608,,3.397
SRV,1,alternative,test,omega,Diversifying selection,1.42,,3.397
SRV,1,alternative,test,omega,Negative selection,0.087,,82.239
SRV,1,alternative,test,omega,Negative selection,0.313,,14.364
SRV,1,alternative,test,omega,Negative selection,0.165,,82.239
SRV,1,alternative,test,omega,Negative selection,0.424,,14.364
SRV,1,null,reference,omega,Negative selection,0.129,,75.598
SRV,1,null,reference,omega,Negative selection,0.485,,21.552
SRV,1,null,reference,omega,Neutral evolution,1.0,,2.85
SRV,1,null,test,omega,Negative selection,0.129,,75.598
SRV,1,null,test,omega,Negative selection,0.485,,21.552
SRV,1,null,test,omega,Neutral evolution,1.0,,2.85
SRV,2,alternative,reference,omega,Diversifying selection,1.424,,3.143
SRV,2,alternative,reference,omega,Negative selection,0.165,,83.566
SRV,2,alternative,reference,omega,Negative selection,0.468,,13.291
SRV,2,alternative,test,omega,Diversifying selection,1.617,,3.143
SRV,2,alternative,test,omega,Diversifying selection,1.424,,3.143
SRV,2,alternative,test,omega,Negative selection,0.087,,83.566
SRV,2,alternative,test,omega,Negative selection,0.357,,13.291
SRV,2,alternative,test,omega,Negative selection,0.165,,83.566
SRV,2,alternative,test,omega,Negative selection,0.468,,13.291
SRV,2,null,reference,omega,Diversifying selection,1.028,,1.75
SRV,2,null,reference,omega,Negative selection,0.133,,78.079
SRV,2,null,reference,omega,Negative selection,0.54,,20.171
SRV,2,null,test,omega,Diversifying selection,1.028,,1.75
SRV,2,null,test,omega,Negative selection,0.133,,78.079
SRV,2,null,test,omega,Negative selection,0.54,,20.171
SRV,3,alternative,reference,omega,Diversifying selection,1.039,,7.481
SRV,3,alternative,reference,omega,Negative selection,0.156,,63.307
SRV,3,alternative,reference,omega,Negative selection,0.234,,29.212
SRV,3,alternative,test,omega,Diversifying selection,1.053,,7.481
SRV,3,alternative,test,omega,Diversifying selection,1.039,,7.481
SRV,3,alternative,test,omega,Negative selection,0.079,,63.307
SRV,3,alternative,test,omega,Negative selection,0.137,,29.212
SRV,3,alternative,test,omega,Negative selection,0.156,,63.307
SRV,3,alternative,test,omega,Negative selection,0.234,,29.212
SRV,3,null,reference,omega,Negative selection,0.145,,64.451
SRV,3,null,reference,omega,Negative selection,0.24,,28.533
SRV,3,null,reference,omega,Neutral evolution,1.0,,7.016
SRV,3,null,test,omega,Negative selection,0.145,,64.451
SRV,3,null,test,omega,Negative selection,0.24,,28.533
