replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.0339,1.35,-9179.17,18434.73,38,-9181.42,18437.21,37,0.2485,0.1865,
2,SRV,0.0339,1.36,-9179.17,18434.73,38,-9181.42,18437.21,37,0.2484,0.1865,
3,SRV,0.0311,1.37,-9179.15,18434.7,38,-9181.48,18437.33,37,0.2486,0.1866,
4,SRV,0.0338,1.36,-9179.17,18434.74,38,-9181.42,18437.22,37,0.2485,0.1865,
5,SRV,0.034,1.36,-9179.17,18434.73,38,-9181.41,18437.21,37,0.2485,0.1865,
6,SRV,0.0304,1.36,-9179.15,18434.69,38,-9181.49,18437.36,37,0.2485,0.1865,Collapsed rate class
7,SRV,0.0308,1.36,-9179.15,18434.69,38,-9181.48,18437.34,37,0.2485,0.1865,
8,SRV,0.0344,1.36,-9179.16,18434.72,38,-9181.4,18437.18,37,0.2485,0.1865,
9,SRV,0.0312,1.36,-9179.15,18434.7,38,-9181.47,18437.33,37,0.2485,0.1865,
10,SRV,0.0343,1.36,-9179.17,18434.74,38,-9181.41,18437.21,37,0.2486,0.1867,
1,SRV+Double,0.0621,1.33,-9179.3,18439.05,40,-9181.04,18440.5,39,0.2486,0.1866,
2,SRV+Double,0.0439,1.33,-9179.33,18439.1,40,-9181.36,18441.14,39,0.2486,0.1866,Convergence/flat likelihood
3,SRV+Double,0.0376,1.33,-9179.28,18439.0,40,-9181.44,18441.3,39,0.2485,0.1865,Collapsed rate class
4,SRV+Double,0.0453,1.34,-9179.04,18438.53,40,-9181.05,18440.51,39,0.2485,0.1865,
5,SRV+Double,0.0422,1.34,-9179.05,18438.55,40,-9181.12,18440.65,39,0.2485,0.1865,
6,SRV+Double,0.0442,1.34,-9179.05,18438.54,40,-9181.07,18440.56,39,0.2484,0.1865,
7,SRV+Double,0.0411,1.33,-9179.31,18439.07,40,-9181.4,18441.22,39,0.2485,0.1865,Collapsed rate class
8,SRV+Double,0.0647,1.33,-9179.28,18439.01,40,-9180.99,18440.4,39,0.2485,0.1865,
9,SRV+Double,0.0441,1.34,-9179.05,18438.55,40,-9181.08,18440.58,39,0.2485,0.1865,Collapsed rate class
10,SRV+Double,0.0639,1.33,-9179.31,18439.07,40,-9181.03,18440.48,39,0.2485,0.1865,Convergence/flat likelihood
1,SRV+Double+Triple,0.0408,1.34,-9179.05,18442.58,42,-9181.14,18444.74,41,0.2485,0.1865,Collapsed rate class
2,SRV+Double+Triple,0.0465,1.34,-9179.07,18442.63,42,-9181.05,18444.57,41,0.2485,0.1865,
3,SRV+Double+Triple,0.0506,1.34,-9179.05,18442.59,42,-9180.96,18444.39,41,0.2485,0.1865,
4,SRV+Double+Triple,0.0461,1.34,-9179.04,18442.58,42,-9181.03,18444.53,41,0.2485,0.1865,Collapsed rate class
5,SRV+Double+Triple,0.0433,1.34,-9179.05,18442.6,42,-9181.09,18444.66,41,0.2485,0.1865,
6,SRV+Double+Triple,0.0633,1.33,-9179.27,18443.03,42,-9181.0,18444.46,41,0.2485,0.1865,
7,SRV+Double+Triple,0.0471,1.34,-9179.04,18442.57,42,-9181.01,18444.49,41,0.2485,0.1865,Collapsed rate class
8,SRV+Double+Triple,0.0412,1.34,-9179.05,18442.58,42,-9181.13,18444.72,41,0.2485,0.1865,
9,SRV+Double+Triple,0.0504,1.33,-9179.05,18442.59,42,-9180.97,18444.4,41,0.2485,0.1865,
10,SRV+Double+Triple,0.0474,1.34,-9179.05,18442.58,42,-9181.01,18444.49,41,0.2485,0.1862,Collapsed rate class
