model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.011,0.0,SRV,1
alternative,reference,Negative selection,0.066,54.469,SRV,1
alternative,reference,Negative selection,0.41,45.531,SRV,1
alternative,test,Diversifying selection,1.008,0.0,SRV,1
alternative,test,Diversifying selection,1.011,0.0,SRV,1
alternative,test,Negative selection,0.141,54.469,SRV,1
alternative,test,Negative selection,0.527,45.531,SRV,1
alternative,test,Negative selection,0.066,54.469,SRV,1
alternative,test,Negative selection,0.41,45.531,SRV,1
null,reference,Diversifying selection,6.049,0.049,SRV,1
null,reference,Negative selection,0.069,53.636,SRV,1
null,reference,Negative selection,0.412,46.314,SRV,1
null,test,Diversifying selection,6.049,0.049,SRV,1
null,test,Negative selection,0.069,53.636,SRV,1
null,test,Negative selection,0.412,46.314,SRV,1
alternative,reference,Negative selection,0.086,53.157,SRV,2
alternative,reference,Negative selection,0.327,43.21,SRV,2
alternative,reference,Neutral evolution,1.0,3.633,SRV,2
alternative,test,Negative selection,0.168,53.157,SRV,2
alternative,test,Negative selection,0.444,43.21,SRV,2
alternative,test,Negative selection,0.086,53.157,SRV,2
alternative,test,Negative selection,0.327,43.21,SRV,2
alternative,test,Neutral evolution,1.0,3.633,SRV,2
alternative,test,Neutral evolution,1.0,3.633,SRV,2
null,reference,Negative selection,0.08,50.356,SRV,2
null,reference,Negative selection,0.331,45.828,SRV,2
null,reference,Neutral evolution,1.0,3.816,SRV,2
null,test,Negative selection,0.08,50.356,SRV,2
null,test,Negative selection,0.331,45.828,SRV,2
null,test,Neutral evolution,1.0,3.816,SRV,2
alternative,reference,Diversifying selection,1.236,0.0,SRV,3
alternative,reference,Negative selection,0.143,84.699,SRV,3
alternative,reference,Negative selection,0.666,15.301,SRV,3
alternative,test,Diversifying selection,1.168,0.0,SRV,3
alternative,test,Diversifying selection,1.236,0.0,SRV,3
alternative,test,Negative selection,0.24,84.699,SRV,3
alternative,test,Negative selection,0.741,15.301,SRV,3
alternative,test,Negative selection,0.143,84.699,SRV,3
alternative,test,Negative selection,0.666,15.301,SRV,3
null,reference,Diversifying selection,5.506,0.024,SRV,3
null,reference,Negative selection,0.146,83.86,SRV,3
null,reference,Negative selection,0.665,16.116,SRV,3
null,test,Diversifying selection,5.506,0.024,SRV,3
null,test,Negative selection,0.146,83.86,SRV,3
null,test,Negative selection,0.665,16.116,SRV,3
alternative,reference,Diversifying selection,1.005,0.0,SRV,4
alternative,reference,Negative selection,0.136,81.995,SRV,4
alternative,reference,Negative selection,0.617,18.005,SRV,4
alternative,test,Diversifying selection,1.004,0.0,SRV,4
alternative,test,Diversifying selection,1.005,0.0,SRV,4
alternative,test,Negative selection,0.231,81.995,SRV,4
alternative,test,Negative selection,0.701,18.005,SRV,4
alternative,test,Negative selection,0.136,81.995,SRV,4
alternative,test,Negative selection,0.617,18.005,SRV,4
null,reference,Diversifying selection,4.731,0.069,SRV,4
null,reference,Negative selection,0.139,80.837,SRV,4
null,reference,Negative selection,0.604,19.094,SRV,4
null,test,Diversifying selection,4.731,0.069,SRV,4
null,test,Negative selection,0.139,80.837,SRV,4
null,test,Negative selection,0.604,19.094,SRV,4
alternative,reference,Diversifying selection,1.874,0.0,SRV,5
alternative,reference,Negative selection,0.127,78.567,SRV,5
alternative,reference,Negative selection,0.573,21.433,SRV,5
alternative,test,Diversifying selection,1.585,0.0,SRV,5
alternative,test,Diversifying selection,1.874,0.0,SRV,5
alternative,test,Negative selection,0.221,78.567,SRV,5
alternative,test,Negative selection,0.665,21.433,SRV,5
alternative,test,Negative selection,0.127,78.567,SRV,5
alternative,test,Negative selection,0.573,21.433,SRV,5
null,reference,Diversifying selection,5.413,0.057,SRV,5
null,reference,Negative selection,0.131,77.351,SRV,5
null,reference,Negative selection,0.561,22.592,SRV,5
null,test,Diversifying selection,5.413,0.057,SRV,5
null,test,Negative selection,0.131,77.351,SRV,5
null,test,Negative selection,0.561,22.592,SRV,5
alternative,reference,Negative selection,0.145,84.359,SRV,6
alternative,reference,Negative selection,0.559,12.652,SRV,6
alternative,reference,Neutral evolution,1.0,2.99,SRV,6
alternative,test,Negative selection,0.242,84.359,SRV,6
alternative,test,Negative selection,0.652,12.652,SRV,6
alternative,test,Negative selection,0.145,84.359,SRV,6
alternative,test,Negative selection,0.559,12.652,SRV,6
alternative,test,Neutral evolution,1.0,2.99,SRV,6
alternative,test,Neutral evolution,1.0,2.99,SRV,6
null,reference,Negative selection,0.143,82.582,SRV,6
null,reference,Negative selection,0.594,15.317,SRV,6
null,reference,Neutral evolution,1.0,2.101,SRV,6
null,test,Negative selection,0.143,82.582,SRV,6
null,test,Negative selection,0.594,15.317,SRV,6
null,test,Neutral evolution,1.0,2.101,SRV,6
alternative,reference,Negative selection,0.147,60.631,SRV,7
alternative,reference,Negative selection,0.209,32.705,SRV,7
alternative,reference,Neutral evolution,1.0,6.664,SRV,7
alternative,test,Negative selection,0.242,60.631,SRV,7
alternative,test,Negative selection,0.314,32.705,SRV,7
alternative,test,Negative selection,0.147,60.631,SRV,7
alternative,test,Negative selection,0.209,32.705,SRV,7
alternative,test,Neutral evolution,1.0,6.664,SRV,7
alternative,test,Neutral evolution,1.0,6.664,SRV,7
null,reference,Negative selection,0.15,58.968,SRV,7
null,reference,Negative selection,0.213,33.989,SRV,7
null,reference,Neutral evolution,1.0,7.043,SRV,7
null,test,Negative selection,0.15,58.968,SRV,7
null,test,Negative selection,0.213,33.989,SRV,7
null,test,Neutral evolution,1.0,7.043,SRV,7
alternative,reference,Diversifying selection,1.011,0.0,SRV,8
alternative,reference,Negative selection,0.138,83.06,SRV,8
alternative,reference,Negative selection,0.637,16.94,SRV,8
alternative,test,Diversifying selection,1.008,0.0,SRV,8
alternative,test,Diversifying selection,1.011,0.0,SRV,8
alternative,test,Negative selection,0.234,83.06,SRV,8
alternative,test,Negative selection,0.717,16.94,SRV,8
alternative,test,Negative selection,0.138,83.06,SRV,8
alternative,test,Negative selection,0.637,16.94,SRV,8
null,reference,Diversifying selection,4.827,0.056,SRV,8
null,reference,Negative selection,0.142,82.012,SRV,8
null,reference,Negative selection,0.625,17.932,SRV,8
null,test,Diversifying selection,4.827,0.056,SRV,8
null,test,Negative selection,0.142,82.012,SRV,8
null,test,Negative selection,0.625,17.932,SRV,8
alternative,reference,Negative selection,0.078,52.995,SRV,9
alternative,reference,Negative selection,0.348,44.414,SRV,9
alternative,reference,Neutral evolution,1.0,2.591,SRV,9
alternative,test,Negative selection,0.158,52.995,SRV,9
alternative,test,Negative selection,0.465,44.414,SRV,9
alternative,test,Negative selection,0.078,52.995,SRV,9
alternative,test,Negative selection,0.348,44.414,SRV,9
alternative,test,Neutral evolution,1.0,2.591,SRV,9
alternative,test,Neutral evolution,1.0,2.591,SRV,9
null,reference,Diversifying selection,1.031,2.506,SRV,9
