model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.1651,SRV+Double,1
alternative,reference,2H,0.0675,SRV+Double,1
alternative,test,2H,0.0479,SRV+Double,1
null,reference,2H,0.0638,SRV+Double,1
null,reference,2H,0.0074,SRV+Double,1
null,test,2H,0.0099,SRV+Double,1
null,test,2H,0.0612,SRV+Double,1
alternative,reference,2H,0.1694,SRV+Double,2
alternative,reference,2H,0.0688,SRV+Double,2
alternative,test,2H,0.0488,SRV+Double,2
null,reference,2H,0.0586,SRV+Double,2
null,reference,2H,0.0071,SRV+Double,2
null,test,2H,0.0012,SRV+Double,2
null,test,2H,0.0617,SRV+Double,2
alternative,reference,2H,0.1625,SRV+Double,3
alternative,reference,2H,0.0579,SRV+Double,3
alternative,test,2H,0.0326,SRV+Double,3
null,reference,2H,0.0587,SRV+Double,3
null,reference,2H,0.0093,SRV+Double,3
null,test,2H,0.0016,SRV+Double,3
null,test,2H,0.0611,SRV+Double,3
alternative,reference,2H,0.1597,SRV+Double,4
alternative,reference,2H,0.0589,SRV+Double,4
alternative,test,2H,0.0324,SRV+Double,4
null,reference,2H,0.0588,SRV+Double,4
null,reference,2H,0.0047,SRV+Double,4
null,test,2H,0.0033,SRV+Double,4
null,test,2H,0.061,SRV+Double,4
alternative,reference,2H,0.1649,SRV+Double,5
alternative,reference,2H,0.0569,SRV+Double,5
alternative,test,2H,0.0391,SRV+Double,5
null,reference,2H,0.0624,SRV+Double,5
null,reference,2H,0.0167,SRV+Double,5
null,test,2H,0.0049,SRV+Double,5
null,test,2H,0.0614,SRV+Double,5
alternative,reference,2H,0.1655,SRV+Double,6
alternative,reference,2H,0.0415,SRV+Double,6
alternative,test,2H,0.0293,SRV+Double,6
null,reference,2H,0.0493,SRV+Double,6
null,reference,2H,0.0172,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
null,test,2H,0.0616,SRV+Double,6
alternative,reference,2H,0.1711,SRV+Double,7
alternative,reference,2H,0.0497,SRV+Double,7
alternative,test,2H,0.0323,SRV+Double,7
null,reference,2H,0.0554,SRV+Double,7
null,reference,2H,0.0115,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
null,test,2H,0.0612,SRV+Double,7
alternative,reference,2H,0.1665,SRV+Double,8
alternative,reference,2H,0.0481,SRV+Double,8
alternative,test,2H,0.0297,SRV+Double,8
null,reference,2H,0.0543,SRV+Double,8
null,reference,2H,0.0108,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
null,test,2H,0.0612,SRV+Double,8
alternative,reference,2H,0.1624,SRV+Double,9
alternative,reference,2H,0.0727,SRV+Double,9
alternative,test,2H,0.0577,SRV+Double,9
null,reference,2H,0.0537,SRV+Double,9
null,reference,2H,0.0106,SRV+Double,9
null,test,2H,0.0016,SRV+Double,9
null,test,2H,0.0611,SRV+Double,9
alternative,reference,2H,0.164,SRV+Double,10
alternative,reference,2H,0.068,SRV+Double,10
alternative,test,2H,0.0494,SRV+Double,10
null,reference,2H,0.0547,SRV+Double,10
null,reference,2H,0.0104,SRV+Double,10
null,test,2H,0.0024,SRV+Double,10
null,test,2H,0.0614,SRV+Double,10
alternative,reference,2H,0.1306,SRV+Double+Triple,1
alternative,reference,2H,0.0575,SRV+Double+Triple,1
alternative,reference,3H,0.0,SRV+Double+Triple,1
alternative,test,2H,0.041,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.0608,SRV+Double+Triple,1
null,reference,2H,0.0094,SRV+Double+Triple,1
null,reference,3H,0.0,SRV+Double+Triple,1
null,test,2H,0.0102,SRV+Double+Triple,1
null,test,2H,0.0616,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.1367,SRV+Double+Triple,2
alternative,reference,2H,0.0694,SRV+Double+Triple,2
alternative,reference,3H,0.0,SRV+Double+Triple,2
alternative,test,2H,0.052,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.0513,SRV+Double+Triple,2
null,reference,2H,0.0205,SRV+Double+Triple,2
null,reference,3H,0.0,SRV+Double+Triple,2
null,test,2H,0.0,SRV+Double+Triple,2
null,test,2H,0.0616,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.1313,SRV+Double+Triple,3
alternative,reference,2H,0.0417,SRV+Double+Triple,3
alternative,reference,3H,0.0,SRV+Double+Triple,3
alternative,test,2H,0.0291,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.0495,SRV+Double+Triple,3
null,reference,2H,0.0172,SRV+Double+Triple,3
null,reference,3H,0.0,SRV+Double+Triple,3
null,test,2H,0.0,SRV+Double+Triple,3
null,test,2H,0.0617,SRV+Double+Triple,3
null,test,3H,0.0,SRV+Double+Triple,3
alternative,reference,2H,0.1194,SRV+Double+Triple,4
alternative,reference,2H,0.0439,SRV+Double+Triple,4
alternative,reference,3H,0.0,SRV+Double+Triple,4
alternative,test,2H,0.0251,SRV+Double+Triple,4
alternative,test,3H,0.0,SRV+Double+Triple,4
null,reference,2H,0.0544,SRV+Double+Triple,4
null,reference,2H,0.0125,SRV+Double+Triple,4
null,reference,3H,0.0,SRV+Double+Triple,4
null,test,2H,0.0,SRV+Double+Triple,4
null,test,2H,0.0617,SRV+Double+Triple,4
null,test,3H,0.0,SRV+Double+Triple,4
alternative,reference,2H,0.1321,SRV+Double+Triple,5
alternative,reference,2H,0.0519,SRV+Double+Triple,5
alternative,reference,3H,0.0,SRV+Double+Triple,5
alternative,test,2H,0.034,SRV+Double+Triple,5
alternative,test,3H,0.0,SRV+Double+Triple,5
null,reference,2H,0.0587,SRV+Double+Triple,5
null,reference,2H,0.0156,SRV+Double+Triple,5
null,reference,3H,0.0,SRV+Double+Triple,5
null,test,2H,0.0013,SRV+Double+Triple,5
null,test,2H,0.0611,SRV+Double+Triple,5
null,test,3H,0.0,SRV+Double+Triple,5
alternative,reference,2H,0.1268,SRV+Double+Triple,6
alternative,reference,2H,0.0497,SRV+Double+Triple,6
alternative,reference,3H,0.0,SRV+Double+Triple,6
alternative,test,2H,0.0317,SRV+Double+Triple,6
alternative,test,3H,0.0,SRV+Double+Triple,6
null,reference,2H,0.0516,SRV+Double+Triple,6
null,reference,2H,0.0108,SRV+Double+Triple,6
null,reference,3H,0.0,SRV+Double+Triple,6
null,test,2H,0.0,SRV+Double+Triple,6
null,test,2H,0.0612,SRV+Double+Triple,6
null,test,3H,0.0,SRV+Double+Triple,6
alternative,reference,2H,0.131,SRV+Double+Triple,7
alternative,reference,2H,0.0517,SRV+Double+Triple,7
alternative,reference,3H,0.0,SRV+Double+Triple,7
alternative,test,2H,0.0334,SRV+Double+Triple,7
alternative,test,3H,0.0,SRV+Double+Triple,7
null,reference,2H,0.058,SRV+Double+Triple,7
null,reference,2H,0.0141,SRV+Double+Triple,7
null,reference,3H,0.0,SRV+Double+Triple,7
null,test,2H,0.0005,SRV+Double+Triple,7
null,test,2H,0.0611,SRV+Double+Triple,7
null,test,3H,0.0,SRV+Double+Triple,7
alternative,reference,2H,0.1316,SRV+Double+Triple,8
alternative,reference,2H,0.0698,SRV+Double+Triple,8
alternative,reference,3H,0.0,SRV+Double+Triple,8
alternative,test,2H,0.052,SRV+Double+Triple,8
alternative,test,3H,0.0,SRV+Double+Triple,8
null,reference,2H,0.0622,SRV+Double+Triple,8
null,reference,2H,0.0097,SRV+Double+Triple,8
null,reference,3H,0.0,SRV+Double+Triple,8
null,test,2H,0.0077,SRV+Double+Triple,8
null,test,2H,0.0612,SRV+Double+Triple,8
null,test,3H,0.0,SRV+Double+Triple,8
alternative,reference,2H,0.123,SRV+Double+Triple,9
alternative,reference,2H,0.0536,SRV+Double+Triple,9
alternative,reference,3H,0.0,SRV+Double+Triple,9
alternative,test,2H,0.0418,SRV+Double+Triple,9
alternative,test,3H,0.0,SRV+Double+Triple,9
null,reference,2H,0.057,SRV+Double+Triple,9
null,reference,2H,0.0178,SRV+Double+Triple,9
null,reference,3H,0.0,SRV+Double+Triple,9
null,test,2H,0.005,SRV+Double+Triple,9
null,test,2H,0.0616,SRV+Double+Triple,9
null,test,3H,0.0,SRV+Double+Triple,9
alternative,reference,2H,0.1348,SRV+Double+Triple,10
alternative,reference,2H,0.0613,SRV+Double+Triple,10
alternative,reference,3H,0.0,SRV+Double+Triple,10
alternative,test,2H,0.0439,SRV+Double+Triple,10
alternative,test,3H,0.0,SRV+Double+Triple,10
null,reference,2H,0.0527,SRV+Double+Triple,10
null,reference,2H,0.0184,SRV+Double+Triple,10
null,reference,3H,0.0,SRV+Double+Triple,10
null,test,2H,0.0001,SRV+Double+Triple,10
null,test,2H,0.0615,SRV+Double+Triple,10
null,test,3H,0.0,SRV+Double+Triple,10
