model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.694,83.844,SRV,1
null,2,2.242,14.447,SRV,1
null,3,5.505,1.709,SRV,1
null,1,0.692,83.684,SRV,2
null,2,2.232,14.59,SRV,2
null,3,5.501,1.726,SRV,2
null,1,0.694,83.791,SRV,3
null,2,2.224,14.421,SRV,3
null,3,5.455,1.789,SRV,3
null,1,0.695,84.034,SRV,4
null,2,2.25,14.23,SRV,4
null,3,5.504,1.736,SRV,4
null,1,0.694,83.839,SRV,5
null,2,2.255,14.556,SRV,5
null,3,5.608,1.604,SRV,5
null,1,0.692,83.461,SRV,6
null,2,2.205,14.741,SRV,6
null,3,5.425,1.798,SRV,6
null,1,0.695,83.983,SRV,7
null,2,2.268,14.441,SRV,7
null,3,5.662,1.576,SRV,7
null,1,0.694,83.756,SRV,8
null,2,2.228,14.509,SRV,8
null,3,5.501,1.736,SRV,8
null,1,0.694,83.729,SRV,9
null,2,2.231,14.542,SRV,9
null,3,5.483,1.729,SRV,9
null,1,0.698,84.33,SRV,10
null,2,2.289,14.071,SRV,10
null,3,5.599,1.599,SRV,10
