model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.756,0.0,SRV,1
alternative,reference,Negative selection,0.092,57.985,SRV,1
alternative,reference,Negative selection,0.452,42.015,SRV,1
alternative,test,Diversifying selection,2.094,0.0,SRV,1
alternative,test,Diversifying selection,1.756,0.0,SRV,1
alternative,test,Negative selection,0.044,57.985,SRV,1
alternative,test,Negative selection,0.353,42.015,SRV,1
alternative,test,Negative selection,0.092,57.985,SRV,1
alternative,test,Negative selection,0.452,42.015,SRV,1
null,reference,Diversifying selection,5.867,0.045,SRV,1
null,reference,Negative selection,0.081,58.201,SRV,1
null,reference,Negative selection,0.434,41.753,SRV,1
null,test,Diversifying selection,5.867,0.045,SRV,1
null,test,Negative selection,0.081,58.201,SRV,1
null,test,Negative selection,0.434,41.753,SRV,1
alternative,reference,Diversifying selection,1.862,0.0,SRV,2
alternative,reference,Negative selection,0.091,56.941,SRV,2
alternative,reference,Negative selection,0.445,43.059,SRV,2
alternative,test,Diversifying selection,2.254,0.0,SRV,2
alternative,test,Diversifying selection,1.862,0.0,SRV,2
alternative,test,Negative selection,0.044,56.941,SRV,2
alternative,test,Negative selection,0.347,43.059,SRV,2
alternative,test,Negative selection,0.091,56.941,SRV,2
alternative,test,Negative selection,0.445,43.059,SRV,2
null,reference,Diversifying selection,6.003,0.046,SRV,2
null,reference,Negative selection,0.079,57.188,SRV,2
null,reference,Negative selection,0.429,42.766,SRV,2
null,test,Diversifying selection,6.003,0.046,SRV,2
null,test,Negative selection,0.079,57.188,SRV,2
null,test,Negative selection,0.429,42.766,SRV,2
alternative,reference,Diversifying selection,1.01,0.0,SRV,3
alternative,reference,Negative selection,0.097,59.234,SRV,3
alternative,reference,Negative selection,0.456,40.766,SRV,3
alternative,test,Diversifying selection,1.013,0.0,SRV,3
alternative,test,Diversifying selection,1.01,0.0,SRV,3
alternative,test,Negative selection,0.047,59.234,SRV,3
alternative,test,Negative selection,0.358,40.766,SRV,3
alternative,test,Negative selection,0.097,59.234,SRV,3
alternative,test,Negative selection,0.456,40.766,SRV,3
null,reference,Diversifying selection,5.841,0.05,SRV,3
null,reference,Negative selection,0.086,59.77,SRV,3
null,reference,Negative selection,0.441,40.18,SRV,3
null,test,Diversifying selection,5.841,0.05,SRV,3
null,test,Negative selection,0.086,59.77,SRV,3
null,test,Negative selection,0.441,40.18,SRV,3
alternative,reference,Diversifying selection,1.004,0.0,SRV,4
alternative,reference,Negative selection,0.077,53.025,SRV,4
alternative,reference,Negative selection,0.43,46.975,SRV,4
alternative,test,Diversifying selection,1.005,0.0,SRV,4
alternative,test,Diversifying selection,1.004,0.0,SRV,4
alternative,test,Negative selection,0.034,53.025,SRV,4
alternative,test,Negative selection,0.329,46.975,SRV,4
alternative,test,Negative selection,0.077,53.025,SRV,4
alternative,test,Negative selection,0.43,46.975,SRV,4
null,reference,Diversifying selection,6.157,0.052,SRV,4
null,reference,Negative selection,0.072,54.071,SRV,4
null,reference,Negative selection,0.413,45.877,SRV,4
null,test,Diversifying selection,6.157,0.052,SRV,4
null,test,Negative selection,0.072,54.071,SRV,4
null,test,Negative selection,0.413,45.877,SRV,4
alternative,reference,Diversifying selection,1.732,0.0,SRV,5
alternative,reference,Negative selection,0.092,57.78,SRV,5
alternative,reference,Negative selection,0.449,42.22,SRV,5
alternative,test,Diversifying selection,2.054,0.0,SRV,5
alternative,test,Diversifying selection,1.732,0.0,SRV,5
alternative,test,Negative selection,0.044,57.78,SRV,5
alternative,test,Negative selection,0.35,42.22,SRV,5
alternative,test,Negative selection,0.092,57.78,SRV,5
alternative,test,Negative selection,0.449,42.22,SRV,5
null,reference,Diversifying selection,5.717,0.059,SRV,5
null,reference,Negative selection,0.082,58.107,SRV,5
null,reference,Negative selection,0.431,41.834,SRV,5
null,test,Diversifying selection,5.717,0.059,SRV,5
null,test,Negative selection,0.082,58.107,SRV,5
null,test,Negative selection,0.431,41.834,SRV,5
alternative,reference,Diversifying selection,1.006,0.0,SRV,6
alternative,reference,Negative selection,0.088,56.399,SRV,6
alternative,reference,Negative selection,0.444,43.601,SRV,6
alternative,test,Diversifying selection,1.007,0.0,SRV,6
alternative,test,Diversifying selection,1.006,0.0,SRV,6
alternative,test,Negative selection,0.042,56.399,SRV,6
alternative,test,Negative selection,0.346,43.601,SRV,6
alternative,test,Negative selection,0.088,56.399,SRV,6
alternative,test,Negative selection,0.444,43.601,SRV,6
null,reference,Diversifying selection,5.996,0.046,SRV,6
null,reference,Negative selection,0.077,56.532,SRV,6
null,reference,Negative selection,0.427,43.422,SRV,6
null,test,Diversifying selection,5.996,0.046,SRV,6
null,test,Negative selection,0.077,56.532,SRV,6
null,test,Negative selection,0.427,43.422,SRV,6
alternative,reference,Diversifying selection,1.023,0.0,SRV,7
alternative,reference,Negative selection,0.095,58.997,SRV,7
alternative,reference,Negative selection,0.458,41.003,SRV,7
alternative,test,Diversifying selection,1.03,0.0,SRV,7
alternative,test,Diversifying selection,1.023,0.0,SRV,7
alternative,test,Negative selection,0.046,58.997,SRV,7
alternative,test,Negative selection,0.359,41.003,SRV,7
alternative,test,Negative selection,0.095,58.997,SRV,7
alternative,test,Negative selection,0.458,41.003,SRV,7
null,reference,Diversifying selection,6.117,0.039,SRV,7
null,reference,Negative selection,0.084,59.293,SRV,7
null,reference,Negative selection,0.441,40.668,SRV,7
null,test,Diversifying selection,6.117,0.039,SRV,7
null,test,Negative selection,0.084,59.293,SRV,7
null,test,Negative selection,0.441,40.668,SRV,7
alternative,reference,Diversifying selection,1.005,0.0,SRV,8
alternative,reference,Negative selection,0.088,55.89,SRV,8
alternative,reference,Negative selection,0.441,44.11,SRV,8
alternative,test,Diversifying selection,1.007,0.0,SRV,8
alternative,test,Diversifying selection,1.005,0.0,SRV,8
alternative,test,Negative selection,0.041,55.89,SRV,8
alternative,test,Negative selection,0.341,44.11,SRV,8
alternative,test,Negative selection,0.088,55.89,SRV,8
alternative,test,Negative selection,0.441,44.11,SRV,8
null,reference,Diversifying selection,6.304,0.036,SRV,8
null,reference,Negative selection,0.075,56.286,SRV,8
null,reference,Negative selection,0.426,43.678,SRV,8
null,test,Diversifying selection,6.304,0.036,SRV,8
null,test,Negative selection,0.075,56.286,SRV,8
null,test,Negative selection,0.426,43.678,SRV,8
alternative,reference,Diversifying selection,1.927,0.0,SRV,9
alternative,reference,Negative selection,0.099,59.967,SRV,9
alternative,reference,Negative selection,0.459,40.033,SRV,9
alternative,test,Diversifying selection,2.361,0.0,SRV,9
alternative,test,Diversifying selection,1.927,0.0,SRV,9
alternative,test,Negative selection,0.048,59.967,SRV,9
alternative,test,Negative selection,0.361,40.033,SRV,9
alternative,test,Negative selection,0.099,59.967,SRV,9
alternative,test,Negative selection,0.459,40.033,SRV,9
null,reference,Diversifying selection,5.894,0.051,SRV,9
null,reference,Negative selection,0.087,60.189,SRV,9
null,reference,Negative selection,0.442,39.76,SRV,9
null,test,Diversifying selection,5.894,0.051,SRV,9
null,test,Negative selection,0.087,60.189,SRV,9
null,test,Negative selection,0.442,39.76,SRV,9
alternative,reference,Diversifying selection,2.092,0.0,SRV,10
alternative,reference,Negative selection,0.093,57.854,SRV,10
alternative,reference,Negative selection,0.451,42.146,SRV,10
alternative,test,Diversifying selection,2.636,0.0,SRV,10
alternative,test,Diversifying selection,2.092,0.0,SRV,10
alternative,test,Negative selection,0.044,57.854,SRV,10
alternative,test,Negative selection,0.351,42.146,SRV,10
alternative,test,Negative selection,0.093,57.854,SRV,10
alternative,test,Negative selection,0.451,42.146,SRV,10
null,reference,Diversifying selection,5.795,0.06,SRV,10
null,reference,Negative selection,0.083,58.154,SRV,10
null,reference,Negative selection,0.43,41.786,SRV,10
null,test,Diversifying selection,5.795,0.06,SRV,10
null,test,Negative selection,0.083,58.154,SRV,10
null,test,Negative selection,0.43,41.786,SRV,10
alternative,reference,Diversifying selection,1.789,0.0,SRV+Double,1
alternative,reference,Negative selection,0.121,40.07,SRV+Double,1
alternative,reference,Negative selection,0.31,59.93,SRV+Double,1
alternative,test,Diversifying selection,2.118,0.0,SRV+Double,1
alternative,test,Diversifying selection,1.789,0.0,SRV+Double,1
alternative,test,Negative selection,0.066,40.07,SRV+Double,1
alternative,test,Negative selection,0.221,59.93,SRV+Double,1
alternative,test,Negative selection,0.121,40.07,SRV+Double,1
alternative,test,Negative selection,0.31,59.93,SRV+Double,1
null,reference,Diversifying selection,2.897,0.0,SRV+Double,1
null,reference,Negative selection,0.044,34.316,SRV+Double,1
null,reference,Negative selection,0.317,65.684,SRV+Double,1
null,test,Diversifying selection,2.897,0.0,SRV+Double,1
null,test,Negative selection,0.044,34.316,SRV+Double,1
null,test,Negative selection,0.317,65.684,SRV+Double,1
alternative,reference,Diversifying selection,1.902,0.0,SRV+Double,2
alternative,reference,Negative selection,0.197,76.602,SRV+Double,2
alternative,reference,Negative selection,0.351,23.398,SRV+Double,2
alternative,test,Diversifying selection,2.28,0.0,SRV+Double,2
alternative,test,Diversifying selection,1.902,0.0,SRV+Double,2
alternative,test,Negative selection,0.125,76.602,SRV+Double,2
alternative,test,Negative selection,0.261,23.398,SRV+Double,2
alternative,test,Negative selection,0.197,76.602,SRV+Double,2
alternative,test,Negative selection,0.351,23.398,SRV+Double,2
null,reference,Diversifying selection,2.624,0.0,SRV+Double,2
null,reference,Negative selection,0.167,83.328,SRV+Double,2
null,reference,Negative selection,0.503,16.672,SRV+Double,2
null,test,Diversifying selection,2.624,0.0,SRV+Double,2
null,test,Negative selection,0.167,83.328,SRV+Double,2
null,test,Negative selection,0.503,16.672,SRV+Double,2
alternative,reference,Diversifying selection,2.229,0.0,SRV+Double,3
alternative,reference,Negative selection,0.2,67.182,SRV+Double,3
alternative,reference,Negative selection,0.297,32.818,SRV+Double,3
alternative,test,Diversifying selection,2.786,0.0,SRV+Double,3
alternative,test,Diversifying selection,2.229,0.0,SRV+Double,3
alternative,test,Negative selection,0.128,67.182,SRV+Double,3
alternative,test,Negative selection,0.212,32.818,SRV+Double,3
alternative,test,Negative selection,0.2,67.182,SRV+Double,3
alternative,test,Negative selection,0.297,32.818,SRV+Double,3
null,reference,Diversifying selection,3.817,0.0,SRV+Double,3
null,reference,Negative selection,0.16,77.618,SRV+Double,3
null,reference,Negative selection,0.438,22.382,SRV+Double,3
null,test,Diversifying selection,3.817,0.0,SRV+Double,3
null,test,Negative selection,0.16,77.618,SRV+Double,3
null,test,Negative selection,0.438,22.382,SRV+Double,3
alternative,reference,Diversifying selection,2.211,0.0,SRV+Double,4
alternative,reference,Negative selection,0.223,92.168,SRV+Double,4
alternative,reference,Negative selection,0.334,7.832,SRV+Double,4
alternative,test,Diversifying selection,2.756,0.0,SRV+Double,4
alternative,test,Diversifying selection,2.211,0.0,SRV+Double,4
alternative,test,Negative selection,0.147,92.168,SRV+Double,4
alternative,test,Negative selection,0.246,7.832,SRV+Double,4
alternative,test,Negative selection,0.223,92.168,SRV+Double,4
alternative,test,Negative selection,0.334,7.832,SRV+Double,4
null,reference,Diversifying selection,4.35,0.0,SRV+Double,4
null,reference,Negative selection,0.203,97.282,SRV+Double,4
null,reference,Negative selection,0.858,2.718,SRV+Double,4
null,test,Diversifying selection,4.35,0.0,SRV+Double,4
null,test,Negative selection,0.203,97.282,SRV+Double,4
null,test,Negative selection,0.858,2.718,SRV+Double,4
alternative,reference,Diversifying selection,1.012,0.0,SRV+Double,5
alternative,reference,Negative selection,0.214,87.791,SRV+Double,5
alternative,reference,Negative selection,0.361,12.209,SRV+Double,5
alternative,test,Diversifying selection,1.015,0.0,SRV+Double,5
alternative,test,Diversifying selection,1.012,0.0,SRV+Double,5
alternative,test,Negative selection,0.139,87.791,SRV+Double,5
alternative,test,Negative selection,0.272,12.209,SRV+Double,5
alternative,test,Negative selection,0.214,87.791,SRV+Double,5
alternative,test,Negative selection,0.361,12.209,SRV+Double,5
null,reference,Diversifying selection,1.473,0.0,SRV+Double,5
null,reference,Negative selection,0.179,88.701,SRV+Double,5
null,reference,Negative selection,0.564,11.299,SRV+Double,5
null,test,Diversifying selection,1.473,0.0,SRV+Double,5
null,test,Negative selection,0.179,88.701,SRV+Double,5
null,test,Negative selection,0.564,11.299,SRV+Double,5
alternative,reference,Diversifying selection,2.168,0.0,SRV+Double,6
alternative,reference,Negative selection,0.122,39.206,SRV+Double,6
alternative,reference,Negative selection,0.307,60.794,SRV+Double,6
alternative,test,Diversifying selection,2.711,0.0,SRV+Double,6
alternative,test,Diversifying selection,2.168,0.0,SRV+Double,6
alternative,test,Negative selection,0.066,39.206,SRV+Double,6
alternative,test,Negative selection,0.218,60.794,SRV+Double,6
alternative,test,Negative selection,0.122,39.206,SRV+Double,6
alternative,test,Negative selection,0.307,60.794,SRV+Double,6
null,reference,Diversifying selection,3.647,0.0,SRV+Double,6
null,reference,Negative selection,0.039,32.462,SRV+Double,6
null,reference,Negative selection,0.313,67.538,SRV+Double,6
null,test,Diversifying selection,3.647,0.0,SRV+Double,6
null,test,Negative selection,0.039,32.462,SRV+Double,6
null,test,Negative selection,0.313,67.538,SRV+Double,6
alternative,reference,Diversifying selection,1.01,0.0,SRV+Double,7
alternative,reference,Negative selection,0.102,29.945,SRV+Double,7
alternative,reference,Negative selection,0.29,70.055,SRV+Double,7
alternative,test,Diversifying selection,1.014,0.0,SRV+Double,7
alternative,test,Diversifying selection,1.01,0.0,SRV+Double,7
alternative,test,Negative selection,0.053,29.945,SRV+Double,7
alternative,test,Negative selection,0.203,70.055,SRV+Double,7
alternative,test,Negative selection,0.102,29.945,SRV+Double,7
alternative,test,Negative selection,0.29,70.055,SRV+Double,7
null,reference,Diversifying selection,1.325,0.0,SRV+Double,7
null,reference,Negative selection,0.057,37.269,SRV+Double,7
null,reference,Negative selection,0.324,62.731,SRV+Double,7
null,test,Diversifying selection,1.325,0.0,SRV+Double,7
null,test,Negative selection,0.057,37.269,SRV+Double,7
null,test,Negative selection,0.324,62.731,SRV+Double,7
alternative,reference,Diversifying selection,1.005,0.0,SRV+Double,8
alternative,reference,Negative selection,0.186,73.653,SRV+Double,8
alternative,reference,Negative selection,0.364,26.347,SRV+Double,8
alternative,test,Diversifying selection,1.007,0.0,SRV+Double,8
alternative,test,Diversifying selection,1.005,0.0,SRV+Double,8
alternative,test,Negative selection,0.117,73.653,SRV+Double,8
alternative,test,Negative selection,0.274,26.347,SRV+Double,8
alternative,test,Negative selection,0.186,73.653,SRV+Double,8
alternative,test,Negative selection,0.364,26.347,SRV+Double,8
null,reference,Diversifying selection,1.322,0.0,SRV+Double,8
null,reference,Negative selection,0.142,71.814,SRV+Double,8
null,reference,Negative selection,0.429,28.186,SRV+Double,8
null,test,Diversifying selection,1.322,0.0,SRV+Double,8
null,test,Negative selection,0.142,71.814,SRV+Double,8
null,test,Negative selection,0.429,28.186,SRV+Double,8
alternative,reference,Diversifying selection,1.043,0.0,SRV+Double,9
alternative,reference,Negative selection,0.209,85.233,SRV+Double,9
alternative,reference,Negative selection,0.369,14.767,SRV+Double,9
alternative,test,Diversifying selection,1.056,0.0,SRV+Double,9
alternative,test,Diversifying selection,1.043,0.0,SRV+Double,9
alternative,test,Negative selection,0.135,85.233,SRV+Double,9
alternative,test,Negative selection,0.279,14.767,SRV+Double,9
alternative,test,Negative selection,0.209,85.233,SRV+Double,9
alternative,test,Negative selection,0.369,14.767,SRV+Double,9
null,reference,Diversifying selection,1.725,0.0,SRV+Double,9
null,reference,Negative selection,0.183,90.166,SRV+Double,9
null,reference,Negative selection,0.592,9.834,SRV+Double,9
null,test,Diversifying selection,1.725,0.0,SRV+Double,9
null,test,Negative selection,0.183,90.166,SRV+Double,9
null,test,Negative selection,0.592,9.834,SRV+Double,9
alternative,reference,Diversifying selection,2.493,0.0,SRV+Double,10
alternative,reference,Negative selection,0.179,69.332,SRV+Double,10
alternative,reference,Negative selection,0.359,30.668,SRV+Double,10
alternative,test,Diversifying selection,3.232,0.0,SRV+Double,10
alternative,test,Diversifying selection,2.493,0.0,SRV+Double,10
alternative,test,Negative selection,0.109,69.332,SRV+Double,10
alternative,test,Negative selection,0.268,30.668,SRV+Double,10
alternative,test,Negative selection,0.179,69.332,SRV+Double,10
alternative,test,Negative selection,0.359,30.668,SRV+Double,10
null,reference,Diversifying selection,4.654,0.0,SRV+Double,10
null,reference,Negative selection,0.142,71.708,SRV+Double,10
null,reference,Negative selection,0.43,28.292,SRV+Double,10
null,test,Diversifying selection,4.654,0.0,SRV+Double,10
null,test,Negative selection,0.142,71.708,SRV+Double,10
null,test,Negative selection,0.43,28.292,SRV+Double,10
alternative,reference,Diversifying selection,1.017,0.0,SRV+Double+Triple,1
alternative,reference,Negative selection,0.164,50.435,SRV+Double+Triple,1
alternative,reference,Negative selection,0.303,49.565,SRV+Double+Triple,1
alternative,test,Diversifying selection,1.022,0.0,SRV+Double+Triple,1
alternative,test,Diversifying selection,1.017,0.0,SRV+Double+Triple,1
alternative,test,Negative selection,0.098,50.435,SRV+Double+Triple,1
alternative,test,Negative selection,0.216,49.565,SRV+Double+Triple,1
alternative,test,Negative selection,0.164,50.435,SRV+Double+Triple,1
alternative,test,Negative selection,0.303,49.565,SRV+Double+Triple,1
null,reference,Diversifying selection,1.414,0.0,SRV+Double+Triple,1
null,reference,Negative selection,0.115,58.185,SRV+Double+Triple,1
null,reference,Negative selection,0.373,41.815,SRV+Double+Triple,1
null,test,Diversifying selection,1.414,0.0,SRV+Double+Triple,1
null,test,Negative selection,0.115,58.185,SRV+Double+Triple,1
null,test,Negative selection,0.373,41.815,SRV+Double+Triple,1
alternative,reference,Diversifying selection,1.011,0.0,SRV+Double+Triple,2
alternative,reference,Negative selection,0.041,15.872,SRV+Double+Triple,2
alternative,reference,Negative selection,0.27,84.128,SRV+Double+Triple,2
alternative,test,Diversifying selection,1.014,0.0,SRV+Double+Triple,2
alternative,test,Diversifying selection,1.011,0.0,SRV+Double+Triple,2
alternative,test,Negative selection,0.016,15.872,SRV+Double+Triple,2
alternative,test,Negative selection,0.184,84.128,SRV+Double+Triple,2
alternative,test,Negative selection,0.041,15.872,SRV+Double+Triple,2
alternative,test,Negative selection,0.27,84.128,SRV+Double+Triple,2
null,reference,Diversifying selection,1.75,0.0,SRV+Double+Triple,2
null,reference,Negative selection,0.0,20.258,SRV+Double+Triple,2
null,reference,Negative selection,0.278,79.742,SRV+Double+Triple,2
