model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.1683,SRV+Double,1
alternative,reference,2H,0.0597,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.0575,SRV+Double,1
null,reference,2H,0.0582,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.1682,SRV+Double,2
alternative,reference,2H,0.0498,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.0488,SRV+Double,2
null,reference,2H,0.0516,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.1701,SRV+Double,3
alternative,reference,2H,0.0517,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.0496,SRV+Double,3
null,reference,2H,0.0507,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.1627,SRV+Double,4
alternative,reference,2H,0.0512,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.0498,SRV+Double,4
null,reference,2H,0.054,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.1632,SRV+Double,5
alternative,reference,2H,0.0516,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.0505,SRV+Double,5
null,reference,2H,0.0539,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.1686,SRV+Double,6
alternative,reference,2H,0.0585,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.0509,SRV+Double,6
null,reference,2H,0.0483,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.169,SRV+Double,7
alternative,reference,2H,0.0584,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.0562,SRV+Double,7
null,reference,2H,0.0572,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.1633,SRV+Double,8
alternative,reference,2H,0.0527,SRV+Double,8
