replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.2763,45.44,-9180.84,18438.07,38,-9181.41,18437.2,37,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.2764,0.0,-9180.83,18438.07,38,-9181.43,18437.23,37,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.2774,0.0,-9180.83,18438.07,38,-9181.42,18437.23,37,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.2754,0.0,-9180.84,18438.07,38,-9181.43,18437.24,37,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.2771,14.17,-9180.79,18437.98,38,-9181.35,18437.08,37,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.2766,0.0,-9180.79,18437.98,38,-9181.38,18437.14,37,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.2801,0.0,-9180.78,18437.95,38,-9181.36,18437.1,37,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.2756,0.0,-9180.9,18438.19,38,-9181.49,18437.36,37,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.2768,29.08,-9180.85,18438.11,38,-9181.41,18437.2,37,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.2777,0.0,-9180.78,18437.96,38,-9181.37,18437.12,37,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.249,0.0,-9180.74,18441.92,40,-9181.4,18441.23,39,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.2518,0.0,-9180.74,18441.92,40,-9181.4,18441.22,39,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.2571,0.0,-9180.41,18441.27,40,-9181.05,18440.53,39,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.2547,0.0,-9180.77,18441.99,40,-9181.42,18441.27,39,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.2509,0.0,-9180.76,18441.97,40,-9181.42,18441.27,39,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.2549,0.0,-9180.75,18441.94,40,-9181.4,18441.22,39,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.2495,0.0,-9180.73,18441.89,40,-9181.39,18441.2,39,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.251,0.0,-9180.77,18441.99,40,-9181.43,18441.29,39,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.2494,0.0,-9180.73,18441.9,40,-9181.39,18441.21,39,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.2864,0.0,-9180.83,18442.1,40,-9181.39,18441.21,39,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.2566,8.27,-9180.89,18446.27,42,-9181.0,18444.46,41,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.252,0.0,-9180.74,18445.96,42,-9181.39,18445.25,41,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.2582,8.73,-9180.86,18446.22,42,-9181.0,18444.46,41,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.2468,0.0,-9180.82,18446.13,42,-9181.49,18445.45,41,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.2496,0.0,-9180.72,18445.93,42,-9181.38,18445.23,41,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.2958,0.0,-9180.85,18446.18,42,-9181.39,18445.25,41,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.2687,0.0,-9180.83,18446.15,42,-9181.44,18445.35,41,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.2464,10.08,-9180.89,18446.27,42,-9181.49,18445.45,41,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.2528,0.0,-9180.73,18445.94,42,-9181.38,18445.23,41,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.2493,13.64,-9180.57,18445.63,42,-9181.15,18444.76,41,0.239,0.8217,Convergence/flat likelihood; Collapsed rate class
