model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.1629,SRV+Double,1
alternative,reference,2H,0.0586,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.0573,SRV+Double,1
null,reference,2H,0.0569,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.1664,SRV+Double,2
alternative,reference,2H,0.0488,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.0491,SRV+Double,2
null,reference,2H,0.0517,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.1774,SRV+Double,3
alternative,reference,2H,0.0508,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.051,SRV+Double,3
null,reference,2H,0.0513,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.1654,SRV+Double,4
alternative,reference,2H,0.0486,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.0485,SRV+Double,4
null,reference,2H,0.0515,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.1628,SRV+Double,5
alternative,reference,2H,0.0538,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.0534,SRV+Double,5
null,reference,2H,0.0535,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.1635,SRV+Double,6
alternative,reference,2H,0.0498,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.0501,SRV+Double,6
null,reference,2H,0.05,SRV+Double,6
null,reference,2H,0.051,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.168,SRV+Double,7
alternative,reference,2H,0.0541,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.0543,SRV+Double,7
null,reference,2H,0.054,SRV+Double,7
null,reference,2H,0.0539,SRV+Double,7
null,reference,2H,0.0481,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.1696,SRV+Double,8
alternative,reference,2H,0.0571,SRV+Double,8
alternative,test,2H,0.0,SRV+Double,8
null,reference,2H,0.0571,SRV+Double,8
null,reference,2H,0.0572,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.1508,SRV+Double,9
alternative,reference,2H,0.0537,SRV+Double,9
alternative,test,2H,0.0,SRV+Double,9
null,reference,2H,0.0492,SRV+Double,9
null,reference,2H,0.0491,SRV+Double,9
null,reference,2H,0.049,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
alternative,reference,2H,0.1848,SRV+Double,10
alternative,reference,2H,0.0537,SRV+Double,10
alternative,test,2H,0.0,SRV+Double,10
null,reference,2H,0.0539,SRV+Double,10
null,reference,2H,0.0541,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
alternative,reference,2H,0.1267,SRV+Double+Triple,1
alternative,reference,2H,0.0575,SRV+Double+Triple,1
alternative,reference,3H,0.0,SRV+Double+Triple,1
alternative,test,2H,0.0,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.0575,SRV+Double+Triple,1
null,reference,2H,0.057,SRV+Double+Triple,1
null,reference,2H,0.0567,SRV+Double+Triple,1
null,reference,2H,0.0564,SRV+Double+Triple,1
null,reference,3H,0.0,SRV+Double+Triple,1
null,test,2H,0.0,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.1187,SRV+Double+Triple,2
alternative,reference,2H,0.0535,SRV+Double+Triple,2
alternative,reference,3H,0.0,SRV+Double+Triple,2
alternative,test,2H,0.0,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.0534,SRV+Double+Triple,2
null,reference,2H,0.0522,SRV+Double+Triple,2
null,reference,3H,0.0,SRV+Double+Triple,2
null,test,2H,0.0,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.1746,SRV+Double+Triple,3
alternative,reference,2H,0.0541,SRV+Double+Triple,3
alternative,reference,3H,0.0,SRV+Double+Triple,3
alternative,test,2H,0.0,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.0538,SRV+Double+Triple,3
null,reference,2H,0.0534,SRV+Double+Triple,3
null,reference,3H,0.0,SRV+Double+Triple,3
null,test,2H,0.0,SRV+Double+Triple,3
null,test,3H,0.0,SRV+Double+Triple,3
alternative,reference,2H,0.1298,SRV+Double+Triple,4
alternative,reference,2H,0.0576,SRV+Double+Triple,4
alternative,reference,3H,0.0,SRV+Double+Triple,4
alternative,test,2H,0.0,SRV+Double+Triple,4
alternative,test,3H,0.0,SRV+Double+Triple,4
null,reference,2H,0.0569,SRV+Double+Triple,4
null,reference,2H,0.0559,SRV+Double+Triple,4
null,reference,3H,0.0,SRV+Double+Triple,4
null,test,2H,0.0,SRV+Double+Triple,4
null,test,3H,0.0,SRV+Double+Triple,4
alternative,reference,2H,0.1321,SRV+Double+Triple,5
alternative,reference,2H,0.0506,SRV+Double+Triple,5
alternative,reference,3H,0.0,SRV+Double+Triple,5
alternative,test,2H,0.0,SRV+Double+Triple,5
alternative,test,3H,0.0,SRV+Double+Triple,5
null,reference,2H,0.0542,SRV+Double+Triple,5
null,reference,2H,0.0538,SRV+Double+Triple,5
null,reference,2H,0.0536,SRV+Double+Triple,5
null,reference,2H,0.053,SRV+Double+Triple,5
null,reference,3H,0.0,SRV+Double+Triple,5
null,test,2H,0.0,SRV+Double+Triple,5
null,test,3H,0.0,SRV+Double+Triple,5
alternative,reference,2H,0.1327,SRV+Double+Triple,6
alternative,reference,2H,0.0454,SRV+Double+Triple,6
alternative,reference,3H,0.0,SRV+Double+Triple,6
alternative,test,2H,0.0,SRV+Double+Triple,6
alternative,test,3H,0.0,SRV+Double+Triple,6
null,reference,2H,0.0453,SRV+Double+Triple,6
null,reference,2H,0.0452,SRV+Double+Triple,6
null,reference,3H,0.0,SRV+Double+Triple,6
null,test,2H,0.0,SRV+Double+Triple,6
null,test,3H,0.0,SRV+Double+Triple,6
alternative,reference,2H,0.122,SRV+Double+Triple,7
alternative,reference,2H,0.0587,SRV+Double+Triple,7
alternative,reference,3H,0.0,SRV+Double+Triple,7
alternative,test,2H,0.0,SRV+Double+Triple,7
alternative,test,3H,0.0,SRV+Double+Triple,7
null,reference,2H,0.0584,SRV+Double+Triple,7
null,reference,2H,0.058,SRV+Double+Triple,7
null,reference,2H,0.0578,SRV+Double+Triple,7
null,reference,2H,0.0568,SRV+Double+Triple,7
null,reference,3H,0.0,SRV+Double+Triple,7
null,test,2H,0.0,SRV+Double+Triple,7
null,test,3H,0.0,SRV+Double+Triple,7
alternative,reference,2H,0.1314,SRV+Double+Triple,8
alternative,reference,2H,0.0549,SRV+Double+Triple,8
alternative,reference,3H,0.0,SRV+Double+Triple,8
alternative,test,2H,0.0,SRV+Double+Triple,8
alternative,test,3H,0.0,SRV+Double+Triple,8
null,reference,2H,0.054,SRV+Double+Triple,8
null,reference,2H,0.0525,SRV+Double+Triple,8
null,reference,3H,0.0,SRV+Double+Triple,8
null,test,2H,0.0,SRV+Double+Triple,8
null,test,3H,0.0,SRV+Double+Triple,8
alternative,reference,2H,0.1228,SRV+Double+Triple,9
alternative,reference,2H,0.0496,SRV+Double+Triple,9
alternative,reference,3H,0.0,SRV+Double+Triple,9
alternative,test,2H,0.0,SRV+Double+Triple,9
alternative,test,3H,0.0,SRV+Double+Triple,9
null,reference,2H,0.0501,SRV+Double+Triple,9
null,reference,2H,0.0504,SRV+Double+Triple,9
null,reference,2H,0.0505,SRV+Double+Triple,9
null,reference,2H,0.0514,SRV+Double+Triple,9
null,reference,3H,0.0,SRV+Double+Triple,9
null,test,2H,0.0,SRV+Double+Triple,9
null,test,3H,0.0,SRV+Double+Triple,9
alternative,reference,2H,0.1306,SRV+Double+Triple,10
alternative,reference,2H,0.0587,SRV+Double+Triple,10
alternative,reference,3H,0.0,SRV+Double+Triple,10
alternative,test,2H,0.0,SRV+Double+Triple,10
alternative,test,3H,0.0,SRV+Double+Triple,10
null,reference,2H,0.058,SRV+Double+Triple,10
