model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.1616,SRV+Double,1
alternative,reference,2H,0.0323,SRV+Double,1
alternative,test,2H,0.1092,SRV+Double,1
null,reference,2H,0.0341,SRV+Double,1
null,reference,2H,0.0106,SRV+Double,1
null,test,2H,0.1179,SRV+Double,1
null,test,2H,0.1335,SRV+Double,1
alternative,reference,2H,0.1605,SRV+Double,2
alternative,reference,2H,0.0345,SRV+Double,2
alternative,test,2H,0.111,SRV+Double,2
null,reference,2H,0.0351,SRV+Double,2
null,reference,2H,0.0099,SRV+Double,2
null,test,2H,0.1198,SRV+Double,2
null,test,2H,0.1334,SRV+Double,2
alternative,reference,2H,0.1863,SRV+Double,3
alternative,reference,2H,0.0421,SRV+Double,3
alternative,test,2H,0.1208,SRV+Double,3
null,reference,2H,0.041,SRV+Double,3
null,reference,2H,0.0141,SRV+Double,3
null,test,2H,0.1265,SRV+Double,3
null,test,2H,0.1341,SRV+Double,3
alternative,reference,2H,0.1677,SRV+Double,4
alternative,reference,2H,0.0341,SRV+Double,4
alternative,test,2H,0.1129,SRV+Double,4
null,reference,2H,0.0342,SRV+Double,4
null,reference,2H,0.0123,SRV+Double,4
null,test,2H,0.1192,SRV+Double,4
null,test,2H,0.1335,SRV+Double,4
alternative,reference,2H,0.1682,SRV+Double,5
alternative,reference,2H,0.0374,SRV+Double,5
alternative,test,2H,0.1137,SRV+Double,5
null,reference,2H,0.0356,SRV+Double,5
null,reference,2H,0.0322,SRV+Double,5
null,reference,2H,0.0329,SRV+Double,5
null,reference,2H,0.0323,SRV+Double,5
null,reference,2H,0.0194,SRV+Double,5
null,test,2H,0.1195,SRV+Double,5
null,test,2H,0.12,SRV+Double,5
null,test,2H,0.114,SRV+Double,5
null,test,2H,0.1205,SRV+Double,5
null,test,2H,0.1348,SRV+Double,5
alternative,reference,2H,0.1686,SRV+Double,6
alternative,reference,2H,0.0405,SRV+Double,6
alternative,test,2H,0.1191,SRV+Double,6
null,reference,2H,0.0381,SRV+Double,6
null,reference,2H,0.0386,SRV+Double,6
null,reference,2H,0.0378,SRV+Double,6
null,reference,2H,0.0124,SRV+Double,6
null,test,2H,0.1227,SRV+Double,6
null,test,2H,0.1174,SRV+Double,6
null,test,2H,0.1225,SRV+Double,6
null,test,2H,0.1336,SRV+Double,6
alternative,reference,2H,0.1685,SRV+Double,7
alternative,reference,2H,0.0405,SRV+Double,7
alternative,test,2H,0.1193,SRV+Double,7
null,reference,2H,0.0387,SRV+Double,7
null,reference,2H,0.0124,SRV+Double,7
null,test,2H,0.1231,SRV+Double,7
null,test,2H,0.1336,SRV+Double,7
alternative,reference,2H,0.1748,SRV+Double,8
alternative,reference,2H,0.0402,SRV+Double,8
alternative,test,2H,0.1177,SRV+Double,8
null,reference,2H,0.0389,SRV+Double,8
null,reference,2H,0.0163,SRV+Double,8
null,test,2H,0.1232,SRV+Double,8
null,test,2H,0.1357,SRV+Double,8
alternative,reference,2H,0.1637,SRV+Double,9
alternative,reference,2H,0.0347,SRV+Double,9
alternative,test,2H,0.1116,SRV+Double,9
null,reference,2H,0.0349,SRV+Double,9
null,reference,2H,0.0107,SRV+Double,9
null,test,2H,0.1188,SRV+Double,9
null,test,2H,0.1335,SRV+Double,9
alternative,reference,2H,0.1445,SRV+Double,10
alternative,reference,2H,0.0378,SRV+Double,10
alternative,test,2H,0.1194,SRV+Double,10
null,reference,2H,0.0363,SRV+Double,10
null,reference,2H,0.0141,SRV+Double,10
null,test,2H,0.124,SRV+Double,10
null,test,2H,0.1338,SRV+Double,10
alternative,reference,2H,0.1333,SRV+Double+Triple,1
alternative,reference,2H,0.032,SRV+Double+Triple,1
alternative,reference,3H,0.0,SRV+Double+Triple,1
alternative,test,2H,0.1196,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.032,SRV+Double+Triple,1
null,reference,2H,0.0324,SRV+Double+Triple,1
null,reference,2H,0.0318,SRV+Double+Triple,1
null,reference,2H,0.0144,SRV+Double+Triple,1
null,reference,3H,0.0,SRV+Double+Triple,1
null,test,2H,0.1196,SRV+Double+Triple,1
null,test,2H,0.1139,SRV+Double+Triple,1
null,test,2H,0.1202,SRV+Double+Triple,1
null,test,2H,0.1338,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.139,SRV+Double+Triple,2
alternative,reference,2H,0.0361,SRV+Double+Triple,2
alternative,reference,3H,0.0,SRV+Double+Triple,2
alternative,test,2H,0.115,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.0358,SRV+Double+Triple,2
null,reference,2H,0.0126,SRV+Double+Triple,2
null,reference,3H,0.0,SRV+Double+Triple,2
null,test,2H,0.1216,SRV+Double+Triple,2
null,test,2H,0.1333,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.1231,SRV+Double+Triple,3
alternative,reference,2H,0.0306,SRV+Double+Triple,3
alternative,reference,3H,0.0,SRV+Double+Triple,3
alternative,test,2H,0.1143,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.0381,SRV+Double+Triple,3
null,reference,2H,0.0379,SRV+Double+Triple,3
null,reference,2H,0.0372,SRV+Double+Triple,3
null,reference,2H,0.014,SRV+Double+Triple,3
null,reference,3H,0.0,SRV+Double+Triple,3
null,test,2H,0.1249,SRV+Double+Triple,3
null,test,2H,0.1197,SRV+Double+Triple,3
null,test,2H,0.1246,SRV+Double+Triple,3
null,test,2H,0.1336,SRV+Double+Triple,3
null,test,3H,0.0,SRV+Double+Triple,3
alternative,reference,2H,0.13,SRV+Double+Triple,4
alternative,reference,2H,0.0322,SRV+Double+Triple,4
alternative,reference,3H,0.0,SRV+Double+Triple,4
alternative,test,2H,0.1148,SRV+Double+Triple,4
alternative,test,3H,0.0,SRV+Double+Triple,4
null,reference,2H,0.0317,SRV+Double+Triple,4
null,reference,2H,0.0189,SRV+Double+Triple,4
null,reference,3H,0.0,SRV+Double+Triple,4
null,test,2H,0.12,SRV+Double+Triple,4
null,test,2H,0.1339,SRV+Double+Triple,4
null,test,3H,0.0,SRV+Double+Triple,4
alternative,reference,2H,0.1329,SRV+Double+Triple,5
alternative,reference,2H,0.0404,SRV+Double+Triple,5
alternative,reference,3H,0.0,SRV+Double+Triple,5
alternative,test,2H,0.1185,SRV+Double+Triple,5
alternative,test,3H,0.0,SRV+Double+Triple,5
null,reference,2H,0.0385,SRV+Double+Triple,5
null,reference,2H,0.0113,SRV+Double+Triple,5
null,reference,3H,0.0,SRV+Double+Triple,5
null,test,2H,0.1235,SRV+Double+Triple,5
null,test,2H,0.1335,SRV+Double+Triple,5
null,test,3H,0.0,SRV+Double+Triple,5
alternative,reference,2H,0.1807,SRV+Double+Triple,6
alternative,reference,2H,0.0413,SRV+Double+Triple,6
alternative,reference,3H,0.0,SRV+Double+Triple,6
alternative,test,2H,0.1165,SRV+Double+Triple,6
alternative,test,3H,0.0,SRV+Double+Triple,6
