model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.007,0.0,SRV,1
alternative,reference,Negative selection,0.138,82.036,SRV,1
alternative,reference,Negative selection,0.647,17.964,SRV,1
alternative,test,Diversifying selection,1.006,0.0,SRV,1
alternative,test,Diversifying selection,1.007,0.0,SRV,1
alternative,test,Negative selection,0.155,82.036,SRV,1
alternative,test,Negative selection,0.665,17.964,SRV,1
alternative,test,Negative selection,0.138,82.036,SRV,1
alternative,test,Negative selection,0.647,17.964,SRV,1
null,reference,Diversifying selection,1.701,0.0,SRV,1
null,reference,Negative selection,0.139,81.635,SRV,1
null,reference,Negative selection,0.638,18.365,SRV,1
null,test,Diversifying selection,1.701,0.0,SRV,1
null,test,Negative selection,0.139,81.635,SRV,1
null,test,Negative selection,0.638,18.365,SRV,1
alternative,reference,Negative selection,0.157,67.755,SRV,2
alternative,reference,Negative selection,0.201,24.922,SRV,2
alternative,reference,Neutral evolution,1.0,7.323,SRV,2
alternative,test,Negative selection,0.175,67.755,SRV,2
alternative,test,Negative selection,0.221,24.922,SRV,2
alternative,test,Negative selection,0.157,67.755,SRV,2
alternative,test,Negative selection,0.201,24.922,SRV,2
alternative,test,Neutral evolution,1.0,7.323,SRV,2
alternative,test,Neutral evolution,1.0,7.323,SRV,2
null,reference,Negative selection,0.159,67.827,SRV,2
null,reference,Negative selection,0.204,24.884,SRV,2
null,reference,Neutral evolution,1.0,7.289,SRV,2
null,test,Negative selection,0.159,67.827,SRV,2
null,test,Negative selection,0.204,24.884,SRV,2
null,test,Neutral evolution,1.0,7.289,SRV,2
alternative,reference,Negative selection,0.138,67.99,SRV,3
alternative,reference,Negative selection,0.272,25.267,SRV,3
alternative,reference,Neutral evolution,1.0,6.743,SRV,3
alternative,test,Negative selection,0.155,67.99,SRV,3
alternative,test,Negative selection,0.294,25.267,SRV,3
alternative,test,Negative selection,0.138,67.99,SRV,3
alternative,test,Negative selection,0.272,25.267,SRV,3
alternative,test,Neutral evolution,1.0,6.743,SRV,3
alternative,test,Neutral evolution,1.0,6.743,SRV,3
null,reference,Negative selection,0.137,67.824,SRV,3
null,reference,Negative selection,0.284,25.605,SRV,3
null,reference,Neutral evolution,1.0,6.571,SRV,3
null,test,Negative selection,0.137,67.824,SRV,3
null,test,Negative selection,0.284,25.605,SRV,3
null,test,Neutral evolution,1.0,6.571,SRV,3
alternative,reference,Diversifying selection,2.36,0.0,SRV,4
alternative,reference,Negative selection,0.135,81.369,SRV,4
alternative,reference,Negative selection,0.638,18.631,SRV,4
alternative,test,Diversifying selection,2.238,0.0,SRV,4
alternative,test,Diversifying selection,2.36,0.0,SRV,4
alternative,test,Negative selection,0.153,81.369,SRV,4
alternative,test,Negative selection,0.656,18.631,SRV,4
alternative,test,Negative selection,0.135,81.369,SRV,4
alternative,test,Negative selection,0.638,18.631,SRV,4
null,reference,Diversifying selection,5.611,0.014,SRV,4
null,reference,Negative selection,0.138,81.146,SRV,4
null,reference,Negative selection,0.628,18.84,SRV,4
null,test,Diversifying selection,5.611,0.014,SRV,4
null,test,Negative selection,0.138,81.146,SRV,4
null,test,Negative selection,0.628,18.84,SRV,4
alternative,reference,Negative selection,0.075,51.685,SRV,5
alternative,reference,Negative selection,0.349,44.947,SRV,5
alternative,reference,Neutral evolution,1.0,3.368,SRV,5
alternative,test,Negative selection,0.088,51.685,SRV,5
alternative,test,Negative selection,0.372,44.947,SRV,5
alternative,test,Negative selection,0.075,51.685,SRV,5
alternative,test,Negative selection,0.349,44.947,SRV,5
alternative,test,Neutral evolution,1.0,3.368,SRV,5
alternative,test,Neutral evolution,1.0,3.368,SRV,5
null,reference,Negative selection,0.077,51.336,SRV,5
null,reference,Negative selection,0.35,45.449,SRV,5
null,reference,Neutral evolution,1.0,3.215,SRV,5
null,test,Negative selection,0.077,51.336,SRV,5
null,test,Negative selection,0.35,45.449,SRV,5
null,test,Neutral evolution,1.0,3.215,SRV,5
alternative,reference,Negative selection,0.11,65.55,SRV,6
alternative,reference,Negative selection,0.382,30.421,SRV,6
alternative,reference,Neutral evolution,1.0,4.029,SRV,6
alternative,test,Negative selection,0.126,65.55,SRV,6
alternative,test,Negative selection,0.404,30.421,SRV,6
alternative,test,Negative selection,0.11,65.55,SRV,6
alternative,test,Negative selection,0.382,30.421,SRV,6
alternative,test,Neutral evolution,1.0,4.029,SRV,6
alternative,test,Neutral evolution,1.0,4.029,SRV,6
null,reference,Negative selection,0.11,65.167,SRV,6
null,reference,Negative selection,0.393,31.242,SRV,6
null,reference,Neutral evolution,1.0,3.591,SRV,6
null,test,Negative selection,0.11,65.167,SRV,6
null,test,Negative selection,0.393,31.242,SRV,6
null,test,Neutral evolution,1.0,3.591,SRV,6
alternative,reference,Diversifying selection,2.179,0.0,SRV,7
alternative,reference,Negative selection,0.134,80.725,SRV,7
alternative,reference,Negative selection,0.626,19.275,SRV,7
alternative,test,Diversifying selection,2.078,0.0,SRV,7
alternative,test,Diversifying selection,2.179,0.0,SRV,7
alternative,test,Negative selection,0.152,80.725,SRV,7
alternative,test,Negative selection,0.644,19.275,SRV,7
alternative,test,Negative selection,0.134,80.725,SRV,7
alternative,test,Negative selection,0.626,19.275,SRV,7
null,reference,Diversifying selection,5.588,0.028,SRV,7
null,reference,Negative selection,0.136,80.315,SRV,7
null,reference,Negative selection,0.61,19.657,SRV,7
null,test,Diversifying selection,5.588,0.028,SRV,7
null,test,Negative selection,0.136,80.315,SRV,7
null,test,Negative selection,0.61,19.657,SRV,7
alternative,reference,Negative selection,0.134,80.397,SRV,8
alternative,reference,Negative selection,0.596,18.564,SRV,8
