replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,1.0,1.21,-5706.18,11480.79,34,-5706.05,11478.51,33,0.2226,0.0942,Convergence/flat likelihood
2,SRV,0.4294,2.8,-5707.29,11483.02,34,-5707.61,11481.62,33,0.2226,0.0942,Convergence/flat likelihood
3,SRV,0.7206,1.21,-5706.19,11480.82,34,-5706.26,11478.92,33,0.2226,0.0942,Convergence/flat likelihood
4,SRV,0.4281,17.25,-5707.3,11483.04,34,-5707.62,11481.64,33,0.2226,0.0942,Convergence/flat likelihood
5,SRV,0.4291,2.81,-5707.29,11483.02,34,-5707.61,11481.62,33,0.2226,0.0942,Convergence/flat likelihood
6,SRV,0.4291,50.0,-5707.3,11483.03,34,-5707.61,11481.63,33,0.2226,0.0942,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.6456,1.74,-5705.87,11480.17,34,-5705.98,11478.36,33,0.2226,0.0942,Convergence/flat likelihood
8,SRV,0.4276,2.65,-5707.3,11483.03,34,-5707.61,11481.63,33,0.2226,0.0942,Convergence/flat likelihood
9,SRV,0.4284,50.0,-5707.3,11483.03,34,-5707.62,11481.64,33,0.2226,0.0942,Convergence/flat likelihood
10,SRV,0.723,1.21,-5706.19,11480.82,34,-5706.26,11478.92,33,0.2226,0.0942,Convergence/flat likelihood
1,SRV+Double,0.4622,1.57,-5706.81,11486.11,36,-5707.08,11484.62,35,0.2226,0.0942,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.6567,1.45,-5706.19,11484.87,36,-5706.29,11483.04,35,0.2226,0.0942,Convergence/flat likelihood
3,SRV+Double,0.6543,1.45,-5706.2,11484.87,36,-5706.3,11483.05,35,0.2226,0.0942,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.4633,1.59,-5706.81,11486.11,36,-5707.08,11484.62,35,0.2226,0.0942,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.4633,1.55,-5706.81,11486.1,36,-5707.08,11484.61,35,0.2226,0.0942,Convergence/flat likelihood
6,SRV+Double,0.669,1.5,-5706.16,11484.8,36,-5706.25,11482.95,35,0.2226,0.0942,Convergence/flat likelihood
7,SRV+Double,0.4685,1.61,-5706.82,11486.12,36,-5707.08,11484.62,35,0.2226,0.0942,Convergence/flat likelihood
8,SRV+Double,0.4652,1.59,-5706.8,11486.08,36,-5707.06,11484.58,35,0.2226,0.0942,Convergence/flat likelihood
9,SRV+Double,0.4631,1.58,-5706.81,11486.11,36,-5707.08,11484.62,35,0.2226,0.0942,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.6563,1.44,-5706.2,11484.87,36,-5706.3,11483.05,35,0.2226,0.0942,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.4649,1.64,-5706.66,11489.86,38,-5706.93,11488.37,37,0.2226,0.0942,Convergence/flat likelihood
2,SRV+Double+Triple,0.4627,1.56,-5706.65,11489.83,38,-5706.92,11488.34,37,0.2226,0.0942,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.4646,1.63,-5706.66,11489.86,38,-5706.93,11488.37,37,0.2226,0.0942,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.4649,1.63,-5706.66,11489.86,38,-5706.93,11488.36,37,0.2226,0.0942,Convergence/flat likelihood
5,SRV+Double+Triple,0.4641,1.63,-5706.66,11489.86,38,-5706.93,11488.37,37,0.2226,0.0942,Convergence/flat likelihood
6,SRV+Double+Triple,0.4649,1.64,-5706.66,11489.86,38,-5706.93,11488.37,37,0.2226,0.0942,Convergence/flat likelihood
7,SRV+Double+Triple,0.463,1.63,-5706.66,11489.86,38,-5706.93,11488.37,37,0.2226,0.0942,Convergence/flat likelihood
8,SRV+Double+Triple,0.74,1.27,-5705.96,11488.45,38,-5706.01,11486.53,37,0.2226,0.0942,Convergence/flat likelihood
9,SRV+Double+Triple,0.4627,1.62,-5706.66,11489.85,38,-5706.93,11488.36,37,0.2226,0.0942,Convergence/flat likelihood
10,SRV+Double+Triple,0.4651,1.63,-5706.66,11489.86,38,-5706.93,11488.36,37,0.2226,0.0942,Convergence/flat likelihood
