model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0902,SRV+Double,1
alternative,reference,2H,0.0629,SRV+Double,1
alternative,test,2H,0.0324,SRV+Double,1
null,reference,2H,0.0629,SRV+Double,1
null,reference,2H,0.0628,SRV+Double,1
null,reference,2H,0.0627,SRV+Double,1
null,test,2H,0.1219,SRV+Double,1
null,test,2H,0.0673,SRV+Double,1
null,test,2H,0.2889,SRV+Double,1
null,test,2H,0.0824,SRV+Double,1
null,test,2H,0.047,SRV+Double,1
null,test,2H,0.0165,SRV+Double,1
null,test,2H,0.01,SRV+Double,1
null,test,2H,0.0197,SRV+Double,1
null,test,2H,0.0698,SRV+Double,1
null,test,2H,0.0237,SRV+Double,1
null,test,2H,0.0142,SRV+Double,1
null,test,2H,0.0087,SRV+Double,1
alternative,reference,2H,0.089,SRV+Double,2
alternative,reference,2H,0.063,SRV+Double,2
alternative,test,2H,0.0222,SRV+Double,2
null,reference,2H,0.0626,SRV+Double,2
null,reference,2H,0.0628,SRV+Double,2
null,reference,2H,0.0627,SRV+Double,2
null,test,2H,0.0133,SRV+Double,2
null,test,2H,0.005,SRV+Double,2
null,test,2H,0.0031,SRV+Double,2
null,test,2H,0.006,SRV+Double,2
null,test,2H,0.0037,SRV+Double,2
null,test,2H,0.0014,SRV+Double,2
null,test,2H,0.0009,SRV+Double,2
null,test,2H,0.0004,SRV+Double,2
null,test,2H,0.0002,SRV+Double,2
null,test,2H,0.0003,SRV+Double,2
alternative,reference,2H,0.0896,SRV+Double,3
alternative,reference,2H,0.0641,SRV+Double,3
alternative,test,2H,0.0201,SRV+Double,3
null,reference,2H,0.0629,SRV+Double,3
null,reference,2H,0.0622,SRV+Double,3
null,reference,2H,0.0623,SRV+Double,3
null,reference,2H,0.0621,SRV+Double,3
null,reference,2H,0.0619,SRV+Double,3
null,reference,2H,0.0618,SRV+Double,3
null,reference,2H,0.0616,SRV+Double,3
null,reference,2H,0.0615,SRV+Double,3
null,reference,2H,0.0614,SRV+Double,3
null,reference,2H,0.0613,SRV+Double,3
null,test,2H,0.0095,SRV+Double,3
null,test,2H,0.0027,SRV+Double,3
null,test,2H,0.0051,SRV+Double,3
null,test,2H,0.0017,SRV+Double,3
null,test,2H,0.001,SRV+Double,3
null,test,2H,0.0006,SRV+Double,3
null,test,2H,0.0004,SRV+Double,3
null,test,2H,0.0002,SRV+Double,3
null,test,2H,0.0001,SRV+Double,3
alternative,reference,2H,0.0907,SRV+Double,4
alternative,reference,2H,0.0124,SRV+Double,4
alternative,test,2H,0.0741,SRV+Double,4
null,reference,2H,0.0123,SRV+Double,4
null,reference,2H,0.0121,SRV+Double,4
null,reference,2H,0.012,SRV+Double,4
null,test,2H,0.0425,SRV+Double,4
null,test,2H,0.9587,SRV+Double,4
null,test,2H,0.427,SRV+Double,4
null,test,2H,0.4167,SRV+Double,4
null,test,2H,0.2083,SRV+Double,4
null,test,2H,0.0625,SRV+Double,4
null,test,2H,0.0361,SRV+Double,4
null,test,2H,0.0214,SRV+Double,4
alternative,reference,2H,0.0898,SRV+Double,5
alternative,reference,2H,0.0603,SRV+Double,5
alternative,test,2H,0.3999,SRV+Double,5
null,reference,2H,0.0604,SRV+Double,5
null,reference,2H,0.0603,SRV+Double,5
null,reference,2H,0.0606,SRV+Double,5
null,reference,2H,0.0607,SRV+Double,5
null,reference,2H,0.061,SRV+Double,5
null,test,2H,0.1945,SRV+Double,5
null,test,2H,0.0603,SRV+Double,5
null,test,2H,0.2528,SRV+Double,5
null,test,2H,0.0737,SRV+Double,5
null,test,2H,0.0733,SRV+Double,5
null,test,2H,0.0248,SRV+Double,5
null,test,2H,0.0148,SRV+Double,5
null,test,2H,0.0135,SRV+Double,5
null,test,2H,0.0134,SRV+Double,5
null,test,2H,0.005,SRV+Double,5
null,test,2H,0.0031,SRV+Double,5
null,test,2H,0.0046,SRV+Double,5
alternative,reference,2H,0.0902,SRV+Double,6
alternative,reference,2H,0.0,SRV+Double,6
alternative,test,2H,0.0271,SRV+Double,6
null,reference,2H,0.0,SRV+Double,6
null,test,2H,0.0162,SRV+Double,6
null,test,2H,0.0327,SRV+Double,6
null,test,2H,0.0194,SRV+Double,6
null,test,2H,0.0072,SRV+Double,6
null,test,2H,0.0044,SRV+Double,6
null,test,2H,0.0017,SRV+Double,6
null,test,2H,0.0011,SRV+Double,6
null,test,2H,0.0021,SRV+Double,6
null,test,2H,0.0013,SRV+Double,6
null,test,2H,0.0012,SRV+Double,6
null,test,2H,0.0007,SRV+Double,6
null,test,2H,0.0005,SRV+Double,6
alternative,reference,2H,0.0881,SRV+Double,7
alternative,reference,2H,0.0633,SRV+Double,7
alternative,test,2H,0.0245,SRV+Double,7
null,reference,2H,0.0633,SRV+Double,7
null,reference,2H,0.0634,SRV+Double,7
null,reference,2H,0.0632,SRV+Double,7
null,reference,2H,0.063,SRV+Double,7
null,reference,2H,0.0626,SRV+Double,7
null,reference,2H,0.0627,SRV+Double,7
null,test,2H,0.0147,SRV+Double,7
null,test,2H,0.0055,SRV+Double,7
null,test,2H,0.0034,SRV+Double,7
null,test,2H,0.0014,SRV+Double,7
null,test,2H,0.0009,SRV+Double,7
null,test,2H,0.0003,SRV+Double,7
null,test,2H,0.0002,SRV+Double,7
null,test,2H,0.0001,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.0893,SRV+Double,8
alternative,reference,2H,0.0,SRV+Double,8
alternative,test,2H,0.1175,SRV+Double,8
null,reference,2H,0.0,SRV+Double,8
null,test,2H,0.0656,SRV+Double,8
null,test,2H,0.146,SRV+Double,8
null,test,2H,0.0804,SRV+Double,8
null,test,2H,0.0273,SRV+Double,8
null,test,2H,0.0163,SRV+Double,8
null,test,2H,0.0061,SRV+Double,8
null,test,2H,0.0037,SRV+Double,8
null,test,2H,0.0023,SRV+Double,8
alternative,reference,2H,0.0902,SRV+Double,9
alternative,reference,2H,0.0608,SRV+Double,9
alternative,test,2H,0.0224,SRV+Double,9
null,reference,2H,0.0611,SRV+Double,9
null,reference,2H,0.0615,SRV+Double,9
null,reference,2H,0.0614,SRV+Double,9
null,reference,2H,0.0619,SRV+Double,9
null,reference,2H,0.062,SRV+Double,9
null,reference,2H,0.0622,SRV+Double,9
null,reference,2H,0.0624,SRV+Double,9
null,reference,2H,0.0625,SRV+Double,9
null,reference,2H,0.0627,SRV+Double,9
null,test,2H,0.0135,SRV+Double,9
null,test,2H,0.005,SRV+Double,9
null,test,2H,0.0032,SRV+Double,9
null,test,2H,0.0012,SRV+Double,9
null,test,2H,0.0008,SRV+Double,9
null,test,2H,0.0015,SRV+Double,9
null,test,2H,0.0009,SRV+Double,9
null,test,2H,0.0004,SRV+Double,9
null,test,2H,0.0002,SRV+Double,9
null,test,2H,0.0001,SRV+Double,9
alternative,reference,2H,0.0896,SRV+Double,10
alternative,reference,2H,0.0615,SRV+Double,10
alternative,test,2H,0.0658,SRV+Double,10
null,reference,2H,0.0617,SRV+Double,10
null,reference,2H,0.062,SRV+Double,10
null,reference,2H,0.0622,SRV+Double,10
null,reference,2H,0.0624,SRV+Double,10
null,reference,2H,0.0625,SRV+Double,10
null,reference,2H,0.0627,SRV+Double,10
null,reference,2H,0.0626,SRV+Double,10
null,test,2H,0.038,SRV+Double,10
null,test,2H,0.0137,SRV+Double,10
null,test,2H,0.0084,SRV+Double,10
null,test,2H,0.0032,SRV+Double,10
null,test,2H,0.0047,SRV+Double,10
null,test,2H,0.0018,SRV+Double,10
null,test,2H,0.0012,SRV+Double,10
null,test,2H,0.0005,SRV+Double,10
null,test,2H,0.0003,SRV+Double,10
null,test,2H,0.0001,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
alternative,reference,2H,0.0984,SRV+Double+Triple,1
alternative,reference,2H,0.0511,SRV+Double+Triple,1
alternative,reference,3H,0.1071,SRV+Double+Triple,1
alternative,reference,3H,0.0696,SRV+Double+Triple,1
alternative,test,2H,0.0544,SRV+Double+Triple,1
alternative,test,3H,0.1856,SRV+Double+Triple,1
null,reference,2H,0.0513,SRV+Double+Triple,1
null,reference,2H,0.0515,SRV+Double+Triple,1
null,reference,2H,0.0517,SRV+Double+Triple,1
null,reference,2H,0.0519,SRV+Double+Triple,1
null,reference,2H,0.0523,SRV+Double+Triple,1
null,reference,2H,0.0524,SRV+Double+Triple,1
null,reference,2H,0.0526,SRV+Double+Triple,1
null,reference,2H,0.0529,SRV+Double+Triple,1
null,reference,2H,0.053,SRV+Double+Triple,1
null,reference,2H,0.0533,SRV+Double+Triple,1
null,reference,2H,0.0535,SRV+Double+Triple,1
null,reference,2H,0.0536,SRV+Double+Triple,1
null,reference,3H,0.0698,SRV+Double+Triple,1
null,reference,3H,0.0702,SRV+Double+Triple,1
null,reference,3H,0.0704,SRV+Double+Triple,1
null,reference,3H,0.0711,SRV+Double+Triple,1
