replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,1.0,0.34,-5706.22,11480.86,34,-5706.21,11478.83,33,0.2206,0.0,Convergence/flat likelihood
2,SRV,1.0,0.35,-5705.98,11480.39,34,-5705.98,11478.36,33,0.2206,0.0,Convergence/flat likelihood
3,SRV,1.0,0.33,-5706.27,11480.97,34,-5706.27,11478.94,33,0.2206,0.0,Convergence/flat likelihood
4,SRV,1.0,0.29,-5707.62,11483.68,34,-5707.62,11481.65,33,0.2206,0.0,Convergence/flat likelihood
5,SRV,1.0,0.34,-5707.61,11483.65,34,-5707.61,11481.63,33,0.2206,0.0,Convergence/flat likelihood
6,SRV,1.0,0.99,-5707.61,11483.66,34,-5707.61,11481.62,33,0.2204,0.0,Convergence/flat likelihood; Collapsed rate class
7,SRV,1.0,0.33,-5707.62,11483.66,34,-5707.62,11481.64,33,0.2206,0.0,Convergence/flat likelihood
8,SRV,1.0,0.95,-5707.58,11483.59,34,-5707.58,11481.56,33,0.2206,0.0,Convergence/flat likelihood; Collapsed rate class
9,SRV,1.0,0.39,-5706.26,11480.94,34,-5706.04,11478.49,33,0.2206,0.0,Convergence/flat likelihood
10,SRV,1.0,0.98,-5706.03,11480.5,34,-5706.03,11478.47,33,0.2206,0.0,Convergence/flat likelihood
1,SRV+Double,1.0,0.96,-5707.13,11486.74,36,-5707.13,11484.71,35,0.2206,0.0,Convergence/flat likelihood
2,SRV+Double,1.0,0.32,-5707.13,11486.74,36,-5707.13,11484.71,35,0.2206,0.0,Convergence/flat likelihood
3,SRV+Double,1.0,0.47,-5707.15,11486.78,36,-5707.13,11484.71,35,0.2206,0.0,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,1.0,0.28,-5706.09,11484.67,36,-5706.09,11482.64,35,0.2206,0.0,Convergence/flat likelihood
5,SRV+Double,1.0,0.97,-5707.12,11486.73,36,-5707.12,11484.7,35,0.2206,0.0,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,1.0,0.94,-5706.05,11484.58,36,-5706.05,11482.55,35,0.2206,0.0,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,1.0,1.0,-5707.13,11486.74,36,-5707.13,11484.72,35,0.2205,0.0,Convergence/flat likelihood
8,SRV+Double,1.0,0.36,-5706.03,11484.55,36,-5706.03,11482.52,35,0.2206,0.0,Convergence/flat likelihood
9,SRV+Double,1.0,0.99,-5707.14,11486.76,36,-5707.14,11484.73,35,0.2206,0.0,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,1.0,0.68,-5707.13,11486.74,36,-5707.13,11484.72,35,0.2206,0.0,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,1.0,0.77,-5706.99,11490.51,38,-5706.99,11488.48,37,0.2206,0.0,Convergence/flat likelihood
2,SRV+Double+Triple,1.0,0.25,-5706.17,11488.88,38,-5706.17,11486.85,37,0.2206,0.0,Convergence/flat likelihood
3,SRV+Double+Triple,1.0,0.3,-5706.04,11488.61,38,-5706.04,11486.58,37,0.2206,0.0,Convergence/flat likelihood
4,SRV+Double+Triple,1.0,0.33,-5706.98,11490.5,38,-5706.98,11488.48,37,0.2206,0.0,Convergence/flat likelihood
5,SRV+Double+Triple,1.0,0.32,-5705.98,11488.51,38,-5705.98,11486.47,37,0.2206,0.0,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,1.0,0.97,-5706.3,11489.14,38,-5706.3,11487.11,37,0.2206,0.0,Convergence/flat likelihood
7,SRV+Double+Triple,1.0,0.32,-5705.98,11488.5,38,-5705.98,11486.47,37,0.2206,0.0,Convergence/flat likelihood
8,SRV+Double+Triple,1.0,0.32,-5706.99,11490.51,38,-5706.99,11488.48,37,0.2206,0.0,Convergence/flat likelihood
9,SRV+Double+Triple,1.0,0.34,-5705.98,11488.5,38,-5705.98,11486.47,37,0.2206,0.0,Convergence/flat likelihood
10,SRV+Double+Triple,1.0,0.99,-5705.98,11488.5,38,-5705.98,11486.47,37,0.2206,0.0,Convergence/flat likelihood
