run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Negative selection,0.0,,4.042
SRV,1,alternative,reference,omega,Negative selection,0.163,,87.561
SRV,1,alternative,reference,omega,Neutral evolution,1.0,,8.398
SRV,1,alternative,test,omega,Negative selection,0.0,,4.042
SRV,1,alternative,test,omega,Negative selection,0.112,,87.561
SRV,1,alternative,test,omega,Negative selection,0.0,,4.042
SRV,1,alternative,test,omega,Negative selection,0.163,,87.561
SRV,1,alternative,test,omega,Neutral evolution,1.0,,8.398
SRV,1,alternative,test,omega,Neutral evolution,1.0,,8.398
SRV,1,null,reference,omega,Diversifying selection,1.024,,8.89
SRV,1,null,reference,omega,Negative selection,0.0,,4.896
SRV,1,null,reference,omega,Negative selection,0.145,,86.214
SRV,1,null,test,omega,Diversifying selection,1.024,,8.89
SRV,1,null,test,omega,Negative selection,0.0,,4.896
SRV,1,null,test,omega,Negative selection,0.145,,86.214
SRV,3,alternative,reference,omega,Diversifying selection,145.536,,0.055
SRV,3,alternative,reference,omega,Negative selection,0.169,,86.38
SRV,3,alternative,reference,omega,Negative selection,0.544,,13.565
SRV,3,alternative,test,omega,Diversifying selection,412.798,,0.055
SRV,3,alternative,test,omega,Diversifying selection,145.536,,0.055
SRV,3,alternative,test,omega,Negative selection,0.117,,86.38
SRV,3,alternative,test,omega,Negative selection,0.478,,13.565
SRV,3,alternative,test,omega,Negative selection,0.169,,86.38
SRV,3,alternative,test,omega,Negative selection,0.544,,13.565
SRV,3,null,reference,omega,Diversifying selection,131.619,,0.057
SRV,3,null,reference,omega,Negative selection,0.142,,85.862
SRV,3,null,reference,omega,Negative selection,0.605,,14.081
SRV,3,null,test,omega,Diversifying selection,131.619,,0.057
SRV,3,null,test,omega,Negative selection,0.142,,85.862
SRV,3,null,test,omega,Negative selection,0.605,,14.081
SRV,4,alternative,reference,omega,Negative selection,0.126,,41.032
SRV,4,alternative,reference,omega,Negative selection,0.179,,50.501
SRV,4,alternative,reference,omega,Neutral evolution,1.0,,8.468
SRV,4,alternative,test,omega,Negative selection,0.082,,41.032
SRV,4,alternative,test,omega,Negative selection,0.125,,50.501
SRV,4,alternative,test,omega,Negative selection,0.126,,41.032
SRV,4,alternative,test,omega,Negative selection,0.179,,50.501
SRV,4,alternative,test,omega,Neutral evolution,1.0,,8.468
SRV,4,alternative,test,omega,Neutral evolution,1.0,,8.468
SRV,4,null,reference,omega,Diversifying selection,1.01,,9.245
SRV,4,null,reference,omega,Negative selection,0.105,,46.387
SRV,4,null,reference,omega,Negative selection,0.167,,44.368
SRV,4,null,test,omega,Diversifying selection,1.01,,9.245
SRV,4,null,test,omega,Negative selection,0.105,,46.387
SRV,4,null,test,omega,Negative selection,0.167,,44.368
SRV,5,alternative,reference,omega,Diversifying selection,1.01,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.0,,52.278
SRV,5,alternative,reference,omega,Negative selection,0.489,,47.722
SRV,5,alternative,test,omega,Diversifying selection,1.015,,0.0
SRV,5,alternative,test,omega,Diversifying selection,1.01,,0.0
SRV,5,alternative,test,omega,Negative selection,0.0,,52.278
SRV,5,alternative,test,omega,Negative selection,0.342,,47.722
SRV,5,alternative,test,omega,Negative selection,0.0,,52.278
SRV,5,alternative,test,omega,Negative selection,0.489,,47.722
SRV,5,null,reference,omega,Diversifying selection,146.387,,0.047
SRV,5,null,reference,omega,Negative selection,0.028,,46.68
SRV,5,null,reference,omega,Negative selection,0.364,,53.273
SRV,5,null,test,omega,Diversifying selection,146.387,,0.047
SRV,5,null,test,omega,Negative selection,0.028,,46.68
SRV,5,null,test,omega,Negative selection,0.364,,53.273
SRV,6,alternative,reference,omega,Diversifying selection,205.844,,0.044
SRV,6,alternative,reference,omega,Negative selection,0.207,,98.117
SRV,6,alternative,reference,omega,Negative selection,0.81,,1.839
SRV,6,alternative,test,omega,Diversifying selection,616.977,,0.044
SRV,6,alternative,test,omega,Diversifying selection,205.844,,0.044
SRV,6,alternative,test,omega,Negative selection,0.15,,98.117
SRV,6,alternative,test,omega,Negative selection,0.776,,1.839
SRV,6,alternative,test,omega,Negative selection,0.207,,98.117
SRV,6,alternative,test,omega,Negative selection,0.81,,1.839
SRV,6,null,reference,omega,Diversifying selection,131.521,,0.057
SRV,6,null,reference,omega,Negative selection,0.173,,95.796
SRV,6,null,reference,omega,Negative selection,0.946,,4.147
SRV,6,null,test,omega,Diversifying selection,131.521,,0.057
SRV,6,null,test,omega,Negative selection,0.173,,95.796
SRV,6,null,test,omega,Negative selection,0.946,,4.147
SRV,7,alternative,reference,omega,Diversifying selection,1.005,,0.0
SRV,7,alternative,reference,omega,Negative selection,0.0,,52.712
SRV,7,alternative,reference,omega,Negative selection,0.495,,47.288
SRV,7,alternative,test,omega,Diversifying selection,1.007,,0.0
SRV,7,alternative,test,omega,Diversifying selection,1.005,,0.0
SRV,7,alternative,test,omega,Negative selection,0.0,,52.712
SRV,7,alternative,test,omega,Negative selection,0.345,,47.288
SRV,7,alternative,test,omega,Negative selection,0.0,,52.712
SRV,7,alternative,test,omega,Negative selection,0.495,,47.288
SRV,7,null,reference,omega,Diversifying selection,149.549,,0.047
SRV,7,null,reference,omega,Negative selection,0.028,,46.569
SRV,7,null,reference,omega,Negative selection,0.364,,53.385
SRV,7,null,test,omega,Diversifying selection,149.549,,0.047
SRV,7,null,test,omega,Negative selection,0.028,,46.569
SRV,7,null,test,omega,Negative selection,0.364,,53.385
SRV,8,alternative,reference,omega,Negative selection,0.148,,49.501
SRV,8,alternative,reference,omega,Negative selection,0.156,,41.707
SRV,8,alternative,reference,omega,Neutral evolution,1.0,,8.792
SRV,8,alternative,test,omega,Negative selection,0.101,,49.501
SRV,8,alternative,test,omega,Negative selection,0.108,,41.707
SRV,8,alternative,test,omega,Negative selection,0.148,,49.501
SRV,8,alternative,test,omega,Negative selection,0.156,,41.707
SRV,8,alternative,test,omega,Neutral evolution,1.0,,8.792
SRV,8,alternative,test,omega,Neutral evolution,1.0,,8.792
SRV,8,null,reference,omega,Diversifying selection,1.047,,8.626
SRV,8,null,reference,omega,Negative selection,0.128,,37.868
SRV,8,null,reference,omega,Negative selection,0.145,,53.506
SRV,8,null,test,omega,Diversifying selection,1.047,,8.626
SRV,8,null,test,omega,Negative selection,0.128,,37.868
SRV,8,null,test,omega,Negative selection,0.145,,53.506
SRV,9,alternative,reference,omega,Diversifying selection,1.012,,0.0
SRV,9,alternative,reference,omega,Negative selection,0.0,,52.349
SRV,9,alternative,reference,omega,Negative selection,0.491,,47.651
SRV,9,alternative,test,omega,Diversifying selection,1.018,,0.0
