model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0887,SRV+Double,1
alternative,reference,2H,0.0713,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.092,SRV+Double,1
null,reference,2H,0.0704,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.0892,SRV+Double,2
alternative,reference,2H,0.115,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.1286,SRV+Double,2
null,reference,2H,0.0726,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.0889,SRV+Double,3
alternative,reference,2H,0.116,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.1295,SRV+Double,3
null,reference,2H,0.063,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.0895,SRV+Double,4
alternative,reference,2H,0.1139,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.1286,SRV+Double,4
null,reference,2H,0.0728,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.0887,SRV+Double,5
alternative,reference,2H,0.1172,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.1284,SRV+Double,5
null,reference,2H,0.0729,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.091,SRV+Double,6
alternative,reference,2H,0.1179,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.0921,SRV+Double,6
null,reference,2H,0.0733,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.0892,SRV+Double,7
alternative,reference,2H,0.1142,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.1288,SRV+Double,7
null,reference,2H,0.0673,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.0901,SRV+Double,8
alternative,reference,2H,0.0747,SRV+Double,8
alternative,test,2H,0.0,SRV+Double,8
null,reference,2H,0.0851,SRV+Double,8
null,reference,2H,0.0668,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.0891,SRV+Double,9
alternative,reference,2H,0.1162,SRV+Double,9
alternative,test,2H,0.0,SRV+Double,9
null,reference,2H,0.1276,SRV+Double,9
null,reference,2H,0.0721,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
alternative,reference,2H,0.0889,SRV+Double,10
alternative,reference,2H,0.0709,SRV+Double,10
alternative,test,2H,0.0,SRV+Double,10
null,reference,2H,0.0847,SRV+Double,10
null,reference,2H,0.064,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
alternative,reference,2H,0.0996,SRV+Double+Triple,1
alternative,reference,2H,0.1018,SRV+Double+Triple,1
alternative,reference,3H,0.1077,SRV+Double+Triple,1
alternative,reference,3H,0.1292,SRV+Double+Triple,1
alternative,test,2H,0.0,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.1113,SRV+Double+Triple,1
null,reference,2H,0.1007,SRV+Double+Triple,1
null,reference,3H,0.1355,SRV+Double+Triple,1
null,reference,3H,0.1281,SRV+Double+Triple,1
null,test,2H,0.0,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.0988,SRV+Double+Triple,2
alternative,reference,2H,0.1013,SRV+Double+Triple,2
alternative,reference,3H,0.1071,SRV+Double+Triple,2
alternative,reference,3H,0.1289,SRV+Double+Triple,2
alternative,test,2H,0.0,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.1114,SRV+Double+Triple,2
null,reference,2H,0.1016,SRV+Double+Triple,2
null,reference,3H,0.1355,SRV+Double+Triple,2
null,reference,3H,0.1293,SRV+Double+Triple,2
null,test,2H,0.0,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.0986,SRV+Double+Triple,3
alternative,reference,2H,0.1015,SRV+Double+Triple,3
alternative,reference,3H,0.1068,SRV+Double+Triple,3
alternative,reference,3H,0.1291,SRV+Double+Triple,3
alternative,test,2H,0.0,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
