model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Negative selection,0.0,21.033,SRV,1
alternative,reference,Negative selection,0.184,70.453,SRV,1
alternative,reference,Neutral evolution,1.0,8.514,SRV,1
alternative,test,Negative selection,0.0,21.033,SRV,1
alternative,test,Negative selection,0.279,70.453,SRV,1
alternative,test,Negative selection,0.0,21.033,SRV,1
alternative,test,Negative selection,0.184,70.453,SRV,1
alternative,test,Neutral evolution,1.0,8.514,SRV,1
alternative,test,Neutral evolution,1.0,8.514,SRV,1
null,reference,Negative selection,0.0,21.147,SRV,1
null,reference,Negative selection,0.185,70.261,SRV,1
null,reference,Neutral evolution,1.0,8.592,SRV,1
null,test,Negative selection,0.0,21.147,SRV,1
null,test,Negative selection,0.185,70.261,SRV,1
null,test,Neutral evolution,1.0,8.592,SRV,1
alternative,reference,Negative selection,0.064,1.667,SRV,2
alternative,reference,Negative selection,0.132,88.658,SRV,2
alternative,reference,Neutral evolution,1.0,9.674,SRV,2
alternative,test,Negative selection,0.118,1.667,SRV,2
alternative,test,Negative selection,0.207,88.658,SRV,2
alternative,test,Negative selection,0.064,1.667,SRV,2
alternative,test,Negative selection,0.132,88.658,SRV,2
alternative,test,Neutral evolution,1.0,9.674,SRV,2
alternative,test,Neutral evolution,1.0,9.674,SRV,2
null,reference,Negative selection,0.037,1.869,SRV,2
null,reference,Negative selection,0.135,88.514,SRV,2
null,reference,Neutral evolution,1.0,9.617,SRV,2
null,test,Negative selection,0.037,1.869,SRV,2
null,test,Negative selection,0.135,88.514,SRV,2
null,test,Neutral evolution,1.0,9.617,SRV,2
alternative,reference,Negative selection,0.115,83.968,SRV,3
alternative,reference,Negative selection,0.466,7.901,SRV,3
alternative,reference,Neutral evolution,1.0,8.13,SRV,3
alternative,test,Negative selection,0.188,83.968,SRV,3
alternative,test,Negative selection,0.554,7.901,SRV,3
alternative,test,Negative selection,0.115,83.968,SRV,3
alternative,test,Negative selection,0.466,7.901,SRV,3
alternative,test,Neutral evolution,1.0,8.13,SRV,3
alternative,test,Neutral evolution,1.0,8.13,SRV,3
null,reference,Diversifying selection,1.003,7.863,SRV,3
null,reference,Negative selection,0.116,83.827,SRV,3
null,reference,Negative selection,0.475,8.31,SRV,3
null,test,Diversifying selection,1.003,7.863,SRV,3
null,test,Negative selection,0.116,83.827,SRV,3
null,test,Negative selection,0.475,8.31,SRV,3
alternative,reference,Diversifying selection,142.647,0.059,SRV,4
alternative,reference,Negative selection,0.166,93.868,SRV,4
alternative,reference,Negative selection,0.797,6.073,SRV,4
alternative,test,Diversifying selection,43.053,0.059,SRV,4
alternative,test,Diversifying selection,142.647,0.059,SRV,4
alternative,test,Negative selection,0.256,93.868,SRV,4
alternative,test,Negative selection,0.842,6.073,SRV,4
alternative,test,Negative selection,0.166,93.868,SRV,4
alternative,test,Negative selection,0.797,6.073,SRV,4
null,reference,Diversifying selection,132.902,0.056,SRV,4
null,reference,Negative selection,0.166,93.747,SRV,4
null,reference,Negative selection,0.805,6.196,SRV,4
null,test,Diversifying selection,132.902,0.056,SRV,4
null,test,Negative selection,0.166,93.747,SRV,4
null,test,Negative selection,0.805,6.196,SRV,4
alternative,reference,Diversifying selection,140.608,0.063,SRV,5
alternative,reference,Negative selection,0.0,31.026,SRV,5
alternative,reference,Negative selection,0.295,68.911,SRV,5
alternative,test,Diversifying selection,33.014,0.063,SRV,5
alternative,test,Diversifying selection,140.608,0.063,SRV,5
alternative,test,Negative selection,0.0,31.026,SRV,5
alternative,test,Negative selection,0.421,68.911,SRV,5
alternative,test,Negative selection,0.0,31.026,SRV,5
alternative,test,Negative selection,0.295,68.911,SRV,5
null,reference,Diversifying selection,130.117,0.058,SRV,5
null,reference,Negative selection,0.0,33.067,SRV,5
null,reference,Negative selection,0.306,66.876,SRV,5
null,test,Diversifying selection,130.117,0.058,SRV,5
null,test,Negative selection,0.0,33.067,SRV,5
null,test,Negative selection,0.306,66.876,SRV,5
alternative,reference,Negative selection,0.0,25.715,SRV,6
alternative,reference,Negative selection,0.202,66.147,SRV,6
alternative,reference,Neutral evolution,1.0,8.138,SRV,6
alternative,test,Negative selection,0.0,25.715,SRV,6
alternative,test,Negative selection,0.303,66.147,SRV,6
alternative,test,Negative selection,0.0,25.715,SRV,6
alternative,test,Negative selection,0.202,66.147,SRV,6
alternative,test,Neutral evolution,1.0,8.138,SRV,6
alternative,test,Neutral evolution,1.0,8.138,SRV,6
null,reference,Negative selection,0.0,25.947,SRV,6
null,reference,Negative selection,0.203,65.803,SRV,6
null,reference,Neutral evolution,1.0,8.25,SRV,6
null,test,Negative selection,0.0,25.947,SRV,6
null,test,Negative selection,0.203,65.803,SRV,6
null,test,Neutral evolution,1.0,8.25,SRV,6
alternative,reference,Negative selection,0.061,26.696,SRV,7
alternative,reference,Negative selection,0.168,64.227,SRV,7
alternative,reference,Neutral evolution,1.0,9.077,SRV,7
alternative,test,Negative selection,0.115,26.696,SRV,7
alternative,test,Negative selection,0.251,64.227,SRV,7
alternative,test,Negative selection,0.061,26.696,SRV,7
alternative,test,Negative selection,0.168,64.227,SRV,7
alternative,test,Neutral evolution,1.0,9.077,SRV,7
alternative,test,Neutral evolution,1.0,9.077,SRV,7
null,reference,Negative selection,0.056,27.092,SRV,7
null,reference,Negative selection,0.17,63.677,SRV,7
null,reference,Neutral evolution,1.0,9.231,SRV,7
null,test,Negative selection,0.056,27.092,SRV,7
null,test,Negative selection,0.17,63.677,SRV,7
null,test,Neutral evolution,1.0,9.231,SRV,7
alternative,reference,Diversifying selection,192.397,0.052,SRV,8
alternative,reference,Negative selection,0.0,6.235,SRV,8
alternative,reference,Negative selection,0.214,93.714,SRV,8
alternative,test,Diversifying selection,58.683,0.052,SRV,8
alternative,test,Diversifying selection,192.397,0.052,SRV,8
alternative,test,Negative selection,0.0,6.235,SRV,8
alternative,test,Negative selection,0.304,93.714,SRV,8
alternative,test,Negative selection,0.0,6.235,SRV,8
alternative,test,Negative selection,0.214,93.714,SRV,8
null,reference,Diversifying selection,122.629,0.067,SRV,8
null,reference,Negative selection,0.0,16.218,SRV,8
null,reference,Negative selection,0.242,83.715,SRV,8
null,test,Diversifying selection,122.629,0.067,SRV,8
null,test,Negative selection,0.0,16.218,SRV,8
null,test,Negative selection,0.242,83.715,SRV,8
alternative,reference,Diversifying selection,140.289,0.065,SRV,9
alternative,reference,Negative selection,0.0,27.473,SRV,9
alternative,reference,Negative selection,0.279,72.462,SRV,9
alternative,test,Diversifying selection,34.524,0.065,SRV,9
alternative,test,Diversifying selection,140.289,0.065,SRV,9
alternative,test,Negative selection,0.0,27.473,SRV,9
alternative,test,Negative selection,0.401,72.462,SRV,9
alternative,test,Negative selection,0.0,27.473,SRV,9
alternative,test,Negative selection,0.279,72.462,SRV,9
null,reference,Diversifying selection,127.751,0.062,SRV,9
null,reference,Negative selection,0.0,29.363,SRV,9
null,reference,Negative selection,0.289,70.575,SRV,9
null,test,Diversifying selection,127.751,0.062,SRV,9
null,test,Negative selection,0.0,29.363,SRV,9
null,test,Negative selection,0.289,70.575,SRV,9
alternative,reference,Diversifying selection,144.642,0.058,SRV,10
alternative,reference,Negative selection,0.0,35.73,SRV,10
alternative,reference,Negative selection,0.319,64.212,SRV,10
alternative,test,Diversifying selection,32.034,0.058,SRV,10
alternative,test,Diversifying selection,144.642,0.058,SRV,10
alternative,test,Negative selection,0.0,35.73,SRV,10
alternative,test,Negative selection,0.451,64.212,SRV,10
alternative,test,Negative selection,0.0,35.73,SRV,10
alternative,test,Negative selection,0.319,64.212,SRV,10
null,reference,Diversifying selection,132.181,0.056,SRV,10
null,reference,Negative selection,0.0,35.558,SRV,10
null,reference,Negative selection,0.32,64.386,SRV,10
null,test,Diversifying selection,132.181,0.056,SRV,10
