model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.508,46.019,SRV,1
null,2,0.595,23.593,SRV,1
null,3,2.059,30.388,SRV,1
null,1,0.484,33.469,SRV,2
null,2,0.594,36.48,SRV,2
null,3,2.066,30.052,SRV,2
null,1,0.506,42.325,SRV,3
null,2,0.586,27.256,SRV,3
null,3,2.059,30.419,SRV,3
null,1,0.023,20.195,SRV,4
null,2,1.102,74.352,SRV,4
null,3,3.224,5.453,SRV,4
null,1,0.023,19.883,SRV,5
null,2,1.074,72.707,SRV,5
null,3,2.898,7.409,SRV,5
null,1,0.506,41.664,SRV,6
null,2,0.582,27.777,SRV,6
null,3,2.054,30.559,SRV,6
null,1,0.504,43.083,SRV,7
null,2,0.595,26.647,SRV,7
null,3,2.062,30.269,SRV,7
null,1,0.034,20.556,SRV,8
null,2,1.086,73.112,SRV,8
null,3,3.145,6.332,SRV,8
null,1,0.026,20.14,SRV,9
null,2,1.081,72.911,SRV,9
null,3,2.973,6.949,SRV,9
null,1,0.021,19.761,SRV,10
null,2,1.071,72.512,SRV,10
null,3,2.839,7.728,SRV,10
