model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.09,SRV+Double,1
alternative,reference,2H,0.0663,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.0707,SRV+Double,1
null,reference,2H,0.0017,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.0891,SRV+Double,2
alternative,reference,2H,0.0667,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.0721,SRV+Double,2
null,reference,2H,0.0694,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.0891,SRV+Double,3
alternative,reference,2H,0.0239,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.0003,SRV+Double,3
null,reference,2H,0.0,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.0893,SRV+Double,4
alternative,reference,2H,0.0028,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.0039,SRV+Double,4
null,reference,2H,0.0,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.0901,SRV+Double,5
alternative,reference,2H,0.0022,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.0042,SRV+Double,5
null,reference,2H,0.0,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.0889,SRV+Double,6
alternative,reference,2H,0.0238,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.0232,SRV+Double,6
null,reference,2H,0.0162,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.0892,SRV+Double,7
alternative,reference,2H,0.0287,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.0307,SRV+Double,7
null,reference,2H,0.0257,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.0896,SRV+Double,8
alternative,reference,2H,0.0041,SRV+Double,8
