replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.7324,0.75,-4276.96,8634.31,40,-4277.02,8632.41,39,0.309,0.4149,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.7323,0.75,-4276.96,8634.31,40,-4277.02,8632.41,39,0.309,0.4144,Convergence/flat likelihood
3,SRV,0.4801,5.43,-4276.77,8633.93,40,-4277.02,8632.41,39,0.309,0.4149,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.7322,0.75,-4276.96,8634.31,40,-4277.02,8632.41,39,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.7343,0.75,-4276.96,8634.31,40,-4277.02,8632.41,39,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.7342,0.75,-4276.96,8634.32,40,-4277.02,8632.41,39,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.7323,0.75,-4276.96,8634.31,40,-4277.02,8632.41,39,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.9233,0.75,-4277.08,8634.56,40,-4277.09,8632.55,39,0.309,0.4144,Convergence/flat likelihood
9,SRV,0.8609,0.76,-4277.09,8634.58,40,-4277.11,8632.6,39,0.309,0.4144,Convergence/flat likelihood
10,SRV,0.7323,0.75,-4276.96,8634.31,40,-4277.02,8632.41,39,0.309,0.4149,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.7327,0.75,-4276.96,8638.35,42,-4277.02,8636.45,41,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,1.0,0.76,-4277.09,8638.61,42,-4277.02,8636.45,41,0.309,0.4144,Convergence/flat likelihood
3,SRV+Double,0.7322,0.75,-4276.96,8638.36,42,-4277.02,8636.45,41,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,1.0,0.76,-4277.09,8638.62,42,-4277.02,8636.45,41,0.309,0.4144,Convergence/flat likelihood
5,SRV+Double,0.7331,0.75,-4276.96,8638.35,42,-4277.02,8636.45,41,0.309,0.4149,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,1.0,0.75,-4277.06,8638.55,42,-4277.02,8636.45,41,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,1.0,0.76,-4277.08,8638.6,42,-4277.02,8636.45,41,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.7339,0.75,-4276.96,8638.35,42,-4277.02,8636.45,41,0.3088,0.4145,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.7322,50.0,-4276.98,8640.42,43,-4277.02,8638.47,42,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.7325,0.75,-4276.96,8638.35,42,-4277.02,8636.45,41,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.7341,0.76,-4277.1,8642.68,44,-4277.16,8640.78,43,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.7359,0.75,-4276.96,8642.4,44,-4277.02,8640.49,43,0.309,0.4144,Convergence/flat likelihood
3,SRV+Double+Triple,0.7326,0.75,-4276.96,8642.39,44,-4277.02,8640.49,43,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,1.0,0.75,-4277.07,8642.62,44,-4277.02,8640.49,43,0.309,0.4144,Convergence/flat likelihood
5,SRV+Double+Triple,0.7323,0.75,-4276.96,8642.39,44,-4277.02,8640.49,43,0.309,0.4149,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.7333,0.75,-4276.96,8642.39,44,-4277.02,8640.49,43,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,1.0,0.76,-4277.08,8642.63,44,-4277.03,8640.51,43,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.9852,0.98,-4276.96,8644.41,45,-4276.95,8642.39,44,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,1.0,0.76,-4277.09,8642.66,44,-4277.02,8640.49,43,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.7322,0.75,-4276.96,8642.39,44,-4277.02,8640.49,43,0.309,0.4144,Convergence/flat likelihood; Collapsed rate class
