model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,30.81,SRV,1
null,2,0.0,24.291,SRV,1
null,3,2.227,44.9,SRV,1
null,1,0.0,55.128,SRV,2
null,2,0.0,0.0,SRV,2
null,3,2.229,44.872,SRV,2
null,1,0.0,55.125,SRV,3
null,2,0.0,0.0,SRV,3
null,3,2.228,44.875,SRV,3
null,1,0.0,55.117,SRV,4
null,2,0.0,0.0,SRV,4
null,3,2.228,44.883,SRV,4
null,1,0.0,55.125,SRV,5
null,2,0.0,0.0,SRV,5
null,3,2.228,44.875,SRV,5
null,1,0.0,55.124,SRV,6
null,2,0.002,0.0,SRV,6
null,3,2.228,44.876,SRV,6
null,1,0.0,21.673,SRV,7
null,2,0.0,33.447,SRV,7
null,3,2.228,44.88,SRV,7
null,1,0.0,55.12,SRV,8
null,2,0.0,0.0,SRV,8
null,3,2.228,44.88,SRV,8
null,1,0.0,54.6,SRV,9
null,2,0.0,0.519,SRV,9
null,3,2.228,44.88,SRV,9
null,1,0.0,42.263,SRV,10
null,2,0.0,12.807,SRV,10
null,3,2.226,44.93,SRV,10
