replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.826,1.22,-7901.28,15916.95,57,-7901.3,15914.99,56,0.2348,0.2062,Convergence/flat likelihood
2,SRV,0.8179,1.24,-7901.27,15916.94,57,-7901.3,15914.98,56,0.2347,0.2062,Convergence/flat likelihood
3,SRV,0.8173,1.24,-7901.27,15916.94,57,-7901.3,15914.98,56,0.2348,0.2062,Convergence/flat likelihood
4,SRV,0.8184,1.24,-7901.27,15916.94,57,-7901.3,15914.98,56,0.2347,0.2062,Convergence/flat likelihood
5,SRV,0.9257,1.21,-7901.36,15917.12,57,-7901.37,15915.12,56,0.2348,0.2062,Convergence/flat likelihood
6,SRV,0.9098,1.21,-7901.37,15917.15,57,-7901.38,15915.14,56,0.2348,0.2062,Convergence/flat likelihood
7,SRV,0.8169,1.24,-7901.27,15916.94,57,-7901.3,15914.98,56,0.2348,0.2062,Convergence/flat likelihood
8,SRV,0.8471,1.21,-7901.34,15917.08,57,-7901.36,15915.1,56,0.2348,0.2062,Convergence/flat likelihood
9,SRV,0.8182,1.24,-7901.27,15916.94,57,-7901.3,15914.98,56,0.2348,0.2062,Convergence/flat likelihood
10,SRV,0.8632,1.23,-7901.33,15917.06,57,-7901.34,15915.07,56,0.2348,0.2062,Convergence/flat likelihood
1,SRV+Double,0.817,1.24,-7901.27,15920.97,59,-7901.3,15919.01,58,0.2348,0.2062,Convergence/flat likelihood
2,SRV+Double,0.8172,1.24,-7901.27,15920.97,59,-7901.3,15919.01,58,0.2347,0.2062,Convergence/flat likelihood
3,SRV+Double,0.818,1.24,-7901.27,15920.97,59,-7901.3,15919.01,58,0.2347,0.2062,Convergence/flat likelihood
4,SRV+Double,1.0,0.0,-7903.88,15926.19,59,-7901.62,15919.66,58,0.2347,0.2062,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.817,1.24,-7901.27,15920.97,59,-7901.3,15919.01,58,0.2347,0.2062,Convergence/flat likelihood
6,SRV+Double,0.8178,1.24,-7901.27,15920.97,59,-7901.3,15919.01,58,0.2348,0.2062,Convergence/flat likelihood
7,SRV+Double,0.8954,1.22,-7901.36,15921.15,59,-7901.37,15919.15,58,0.2348,0.2062,Convergence/flat likelihood
8,SRV+Double,0.818,1.24,-7901.27,15920.97,59,-7901.3,15919.01,58,0.2347,0.2062,Convergence/flat likelihood
9,SRV+Double,0.8237,1.22,-7901.28,15920.98,59,-7901.3,15919.02,58,0.2348,0.2062,Convergence/flat likelihood
10,SRV+Double,0.8257,1.22,-7901.28,15920.98,59,-7901.3,15919.02,58,0.2347,0.2062,Convergence/flat likelihood
1,SRV+Double+Triple,0.829,1.21,-7900.94,15924.33,61,-7900.96,15922.36,60,0.2348,0.2062,Convergence/flat likelihood
2,SRV+Double+Triple,0.8708,1.2,-7901.0,15924.46,61,-7901.02,15922.48,60,0.2348,0.2062,Convergence/flat likelihood
3,SRV+Double+Triple,0.8331,1.16,-7901.28,15925.02,61,-7901.31,15923.05,60,0.2348,0.2062,Convergence/flat likelihood
4,SRV+Double+Triple,0.8263,1.21,-7900.94,15924.33,61,-7900.96,15922.36,60,0.2348,0.2062,Convergence/flat likelihood
5,SRV+Double+Triple,0.829,1.21,-7900.94,15924.33,61,-7900.96,15922.36,60,0.2348,0.2062,Convergence/flat likelihood
6,SRV+Double+Triple,0.8265,1.21,-7900.94,15924.33,61,-7900.96,15922.36,60,0.2348,0.2062,Convergence/flat likelihood
7,SRV+Double+Triple,0.8294,1.21,-7900.94,15924.33,61,-7900.96,15922.36,60,0.2348,0.2062,Convergence/flat likelihood
8,SRV+Double+Triple,0.8289,1.21,-7900.94,15924.33,61,-7900.96,15922.36,60,0.2348,0.2062,Convergence/flat likelihood
9,SRV+Double+Triple,0.8263,1.21,-7900.94,15924.33,61,-7900.96,15922.36,60,0.2348,0.2062,Convergence/flat likelihood
10,SRV+Double+Triple,0.829,1.24,-7900.94,15924.33,61,-7900.96,15922.37,60,0.2347,0.2062,Convergence/flat likelihood
