model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,10.126,SRV,1
null,2,0.944,78.987,SRV,1
null,3,2.335,10.887,SRV,1
null,1,0.0,10.099,SRV,2
null,2,0.942,78.671,SRV,2
null,3,2.307,11.231,SRV,2
null,1,0.0,10.106,SRV,3
null,2,0.942,78.699,SRV,3
null,3,2.31,11.195,SRV,3
null,1,0.0,10.098,SRV,4
null,2,0.942,78.669,SRV,4
null,3,2.307,11.233,SRV,4
null,1,0.0,10.11,SRV,5
null,2,0.941,78.47,SRV,5
null,3,2.288,11.42,SRV,5
null,1,0.0,10.105,SRV,6
null,2,0.941,78.435,SRV,6
null,3,2.286,11.46,SRV,6
null,1,0.0,10.104,SRV,7
null,2,0.942,78.686,SRV,7
null,3,2.308,11.211,SRV,7
null,1,0.0,10.117,SRV,8
null,2,0.943,78.617,SRV,8
null,3,2.299,11.266,SRV,8
null,1,0.0,10.106,SRV,9
null,2,0.942,78.69,SRV,9
null,3,2.309,11.204,SRV,9
null,1,0.0,10.057,SRV,10
null,2,0.938,78.167,SRV,10
null,3,2.268,11.776,SRV,10
