model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0026,SRV+Double,1
alternative,reference,2H,0.0,SRV+Double,1
alternative,test,2H,0.173,SRV+Double,1
null,reference,2H,0.0,SRV+Double,1
null,test,2H,0.239,SRV+Double,1
null,test,2H,0.1673,SRV+Double,1
alternative,reference,2H,0.0028,SRV+Double,2
alternative,reference,2H,0.0,SRV+Double,2
alternative,test,2H,0.1671,SRV+Double,2
null,reference,2H,0.0,SRV+Double,2
null,test,2H,0.2393,SRV+Double,2
null,test,2H,0.1668,SRV+Double,2
alternative,reference,2H,0.0028,SRV+Double,3
alternative,reference,2H,0.0,SRV+Double,3
alternative,test,2H,0.1672,SRV+Double,3
null,reference,2H,0.0,SRV+Double,3
null,test,2H,0.239,SRV+Double,3
null,test,2H,0.1669,SRV+Double,3
alternative,reference,2H,0.0028,SRV+Double,4
alternative,reference,2H,0.0,SRV+Double,4
alternative,test,2H,0.167,SRV+Double,4
null,reference,2H,0.0,SRV+Double,4
null,test,2H,0.2391,SRV+Double,4
null,test,2H,0.1674,SRV+Double,4
alternative,reference,2H,0.0028,SRV+Double,5
alternative,reference,2H,0.0,SRV+Double,5
alternative,test,2H,0.1672,SRV+Double,5
null,reference,2H,0.0,SRV+Double,5
null,test,2H,0.239,SRV+Double,5
null,test,2H,0.1672,SRV+Double,5
alternative,reference,2H,0.0028,SRV+Double,6
alternative,reference,2H,0.0,SRV+Double,6
alternative,test,2H,0.1671,SRV+Double,6
null,reference,2H,0.0,SRV+Double,6
null,test,2H,0.2392,SRV+Double,6
null,test,2H,0.1675,SRV+Double,6
alternative,reference,2H,0.0027,SRV+Double,7
alternative,reference,2H,0.0,SRV+Double,7
alternative,test,2H,0.1669,SRV+Double,7
null,reference,2H,0.0,SRV+Double,7
null,test,2H,0.239,SRV+Double,7
null,test,2H,0.167,SRV+Double,7
alternative,reference,2H,0.0027,SRV+Double,8
alternative,reference,2H,0.0,SRV+Double,8
alternative,test,2H,0.1668,SRV+Double,8
null,reference,2H,0.0,SRV+Double,8
null,test,2H,0.239,SRV+Double,8
null,test,2H,0.1669,SRV+Double,8
alternative,reference,2H,0.0028,SRV+Double,9
alternative,reference,2H,0.0,SRV+Double,9
alternative,test,2H,0.167,SRV+Double,9
null,reference,2H,0.0,SRV+Double,9
null,test,2H,0.2392,SRV+Double,9
null,test,2H,0.1667,SRV+Double,9
alternative,reference,2H,0.0028,SRV+Double,10
alternative,reference,2H,0.0,SRV+Double,10
alternative,test,2H,0.1671,SRV+Double,10
null,reference,2H,0.0,SRV+Double,10
null,test,2H,0.2391,SRV+Double,10
null,test,2H,0.1668,SRV+Double,10
alternative,reference,2H,0.0031,SRV+Double+Triple,1
alternative,reference,2H,0.0,SRV+Double+Triple,1
alternative,reference,3H,0.0,SRV+Double+Triple,1
alternative,test,2H,0.1669,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.0,SRV+Double+Triple,1
null,reference,3H,0.0,SRV+Double+Triple,1
null,test,2H,0.2391,SRV+Double+Triple,1
null,test,2H,0.1672,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.003,SRV+Double+Triple,2
alternative,reference,2H,0.0,SRV+Double+Triple,2
alternative,reference,3H,0.0,SRV+Double+Triple,2
alternative,test,2H,0.167,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.0,SRV+Double+Triple,2
null,reference,3H,0.0,SRV+Double+Triple,2
null,test,2H,0.239,SRV+Double+Triple,2
null,test,2H,0.1675,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.003,SRV+Double+Triple,3
alternative,reference,2H,0.0,SRV+Double+Triple,3
alternative,reference,3H,0.0,SRV+Double+Triple,3
alternative,test,2H,0.1669,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.0,SRV+Double+Triple,3
null,reference,3H,0.0,SRV+Double+Triple,3
null,test,2H,0.239,SRV+Double+Triple,3
