model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,50.406,SRV,1
null,2,2.016,20.348,SRV,1
null,3,2.016,29.246,SRV,1
null,1,0.0,49.329,SRV,2
null,2,0.0,1.079,SRV,2
null,3,2.016,49.592,SRV,2
null,1,0.0,15.79,SRV,3
null,2,0.0,34.614,SRV,3
null,3,2.016,49.596,SRV,3
null,1,0.0,14.194,SRV,4
null,2,0.0,36.21,SRV,4
null,3,2.016,49.596,SRV,4
null,1,0.0,13.197,SRV,5
null,2,0.0,37.202,SRV,5
null,3,2.016,49.6,SRV,5
null,1,0.0,16.811,SRV,6
null,2,0.0,33.593,SRV,6
null,3,2.016,49.596,SRV,6
null,1,0.0,12.174,SRV,7
null,2,0.0,38.229,SRV,7
null,3,2.016,49.597,SRV,7
null,1,0.0,14.661,SRV,8
null,2,0.0,35.741,SRV,8
null,3,2.016,49.598,SRV,8
null,1,0.0,12.358,SRV,9
null,2,0.0,38.044,SRV,9
null,3,2.016,49.598,SRV,9
null,1,0.0,15.481,SRV,10
null,2,0.0,34.923,SRV,10
null,3,2.016,49.597,SRV,10
