model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.094,0.0,SRV,1
alternative,reference,Negative selection,0.265,93.221,SRV,1
alternative,reference,Negative selection,0.292,6.779,SRV,1
alternative,test,Diversifying selection,1.107,0.0,SRV,1
alternative,test,Diversifying selection,1.094,0.0,SRV,1
alternative,test,Negative selection,0.0,6.779,SRV,1
alternative,test,Negative selection,0.222,93.221,SRV,1
alternative,test,Negative selection,0.265,93.221,SRV,1
alternative,test,Negative selection,0.292,6.779,SRV,1
null,reference,Diversifying selection,2.192,0.0,SRV,1
null,reference,Negative selection,0.266,78.03,SRV,1
null,reference,Negative selection,0.273,21.97,SRV,1
null,test,Diversifying selection,2.192,0.0,SRV,1
null,test,Negative selection,0.266,78.03,SRV,1
null,test,Negative selection,0.273,21.97,SRV,1
alternative,reference,Diversifying selection,4.142,0.0,SRV,2
alternative,reference,Negative selection,0.0,0.0,SRV,2
alternative,reference,Negative selection,0.267,100.0,SRV,2
alternative,test,Diversifying selection,5.397,0.0,SRV,2
alternative,test,Diversifying selection,4.142,0.0,SRV,2
alternative,test,Negative selection,0.0,0.0,SRV,2
alternative,test,Negative selection,0.209,100.0,SRV,2
alternative,test,Negative selection,0.0,0.0,SRV,2
alternative,test,Negative selection,0.267,100.0,SRV,2
null,reference,Diversifying selection,1.33,0.0,SRV,2
null,reference,Negative selection,0.002,0.0,SRV,2
null,reference,Negative selection,0.266,100.0,SRV,2
null,test,Diversifying selection,1.33,0.0,SRV,2
null,test,Negative selection,0.002,0.0,SRV,2
null,test,Negative selection,0.266,100.0,SRV,2
alternative,reference,Diversifying selection,4.382,0.0,SRV,3
alternative,reference,Negative selection,0.0,0.0,SRV,3
alternative,reference,Negative selection,0.267,100.0,SRV,3
alternative,test,Diversifying selection,5.784,0.0,SRV,3
alternative,test,Diversifying selection,4.382,0.0,SRV,3
alternative,test,Negative selection,0.0,0.0,SRV,3
alternative,test,Negative selection,0.208,100.0,SRV,3
alternative,test,Negative selection,0.0,0.0,SRV,3
alternative,test,Negative selection,0.267,100.0,SRV,3
null,reference,Diversifying selection,1.389,0.0,SRV,3
null,reference,Negative selection,0.002,0.0,SRV,3
null,reference,Negative selection,0.266,100.0,SRV,3
null,test,Diversifying selection,1.389,0.0,SRV,3
null,test,Negative selection,0.002,0.0,SRV,3
null,test,Negative selection,0.266,100.0,SRV,3
alternative,reference,Diversifying selection,4.222,0.0,SRV,4
alternative,reference,Negative selection,0.0,0.0,SRV,4
alternative,reference,Negative selection,0.267,100.0,SRV,4
alternative,test,Diversifying selection,5.573,0.0,SRV,4
alternative,test,Diversifying selection,4.222,0.0,SRV,4
alternative,test,Negative selection,0.0,0.0,SRV,4
alternative,test,Negative selection,0.207,100.0,SRV,4
alternative,test,Negative selection,0.0,0.0,SRV,4
alternative,test,Negative selection,0.267,100.0,SRV,4
null,reference,Diversifying selection,1.344,0.0,SRV,4
null,reference,Negative selection,0.002,0.0,SRV,4
null,reference,Negative selection,0.266,100.0,SRV,4
null,test,Diversifying selection,1.344,0.0,SRV,4
null,test,Negative selection,0.002,0.0,SRV,4
null,test,Negative selection,0.266,100.0,SRV,4
alternative,reference,Diversifying selection,5.873,0.0,SRV,5
alternative,reference,Negative selection,0.0,0.0,SRV,5
alternative,reference,Negative selection,0.268,100.0,SRV,5
alternative,test,Diversifying selection,8.277,0.0,SRV,5
alternative,test,Diversifying selection,5.873,0.0,SRV,5
alternative,test,Negative selection,0.0,0.0,SRV,5
alternative,test,Negative selection,0.207,100.0,SRV,5
alternative,test,Negative selection,0.0,0.0,SRV,5
alternative,test,Negative selection,0.268,100.0,SRV,5
null,reference,Diversifying selection,1.694,0.0,SRV,5
null,reference,Negative selection,0.002,0.0,SRV,5
null,reference,Negative selection,0.266,100.0,SRV,5
null,test,Diversifying selection,1.694,0.0,SRV,5
null,test,Negative selection,0.002,0.0,SRV,5
null,test,Negative selection,0.266,100.0,SRV,5
alternative,reference,Diversifying selection,3.588,0.0,SRV,6
alternative,reference,Negative selection,0.001,0.0,SRV,6
alternative,reference,Negative selection,0.267,100.0,SRV,6
alternative,test,Diversifying selection,4.596,0.0,SRV,6
alternative,test,Diversifying selection,3.588,0.0,SRV,6
alternative,test,Negative selection,0.0,0.0,SRV,6
alternative,test,Negative selection,0.207,100.0,SRV,6
alternative,test,Negative selection,0.001,0.0,SRV,6
alternative,test,Negative selection,0.267,100.0,SRV,6
null,reference,Diversifying selection,1.2,0.0,SRV,6
null,reference,Negative selection,0.003,0.0,SRV,6
null,reference,Negative selection,0.266,100.0,SRV,6
null,test,Diversifying selection,1.2,0.0,SRV,6
null,test,Negative selection,0.003,0.0,SRV,6
null,test,Negative selection,0.266,100.0,SRV,6
alternative,reference,Diversifying selection,4.262,0.0,SRV,7
alternative,reference,Negative selection,0.0,0.0,SRV,7
alternative,reference,Negative selection,0.267,100.0,SRV,7
alternative,test,Diversifying selection,5.575,0.0,SRV,7
alternative,test,Diversifying selection,4.262,0.0,SRV,7
alternative,test,Negative selection,0.0,0.0,SRV,7
alternative,test,Negative selection,0.209,100.0,SRV,7
alternative,test,Negative selection,0.0,0.0,SRV,7
alternative,test,Negative selection,0.267,100.0,SRV,7
null,reference,Diversifying selection,1.353,0.0,SRV,7
null,reference,Negative selection,0.002,0.0,SRV,7
null,reference,Negative selection,0.266,100.0,SRV,7
null,test,Diversifying selection,1.353,0.0,SRV,7
null,test,Negative selection,0.002,0.0,SRV,7
null,test,Negative selection,0.266,100.0,SRV,7
alternative,reference,Diversifying selection,1.061,0.0,SRV,8
alternative,reference,Diversifying selection,2.946,0.0,SRV,8
alternative,reference,Negative selection,0.267,100.0,SRV,8
alternative,test,Diversifying selection,1.073,0.0,SRV,8
alternative,test,Diversifying selection,1.061,0.0,SRV,8
alternative,test,Diversifying selection,2.946,0.0,SRV,8
alternative,test,Negative selection,0.001,0.0,SRV,8
alternative,test,Negative selection,0.207,100.0,SRV,8
alternative,test,Negative selection,0.267,100.0,SRV,8
null,reference,Diversifying selection,1.039,0.0,SRV,8
null,reference,Diversifying selection,2.405,0.0,SRV,8
null,reference,Negative selection,0.266,100.0,SRV,8
null,test,Diversifying selection,1.039,0.0,SRV,8
null,test,Diversifying selection,2.405,0.0,SRV,8
null,test,Negative selection,0.266,100.0,SRV,8
alternative,reference,Diversifying selection,5.654,0.0,SRV,9
alternative,reference,Negative selection,0.001,0.0,SRV,9
alternative,reference,Negative selection,0.267,100.0,SRV,9
alternative,test,Diversifying selection,7.904,0.0,SRV,9
alternative,test,Diversifying selection,5.654,0.0,SRV,9
alternative,test,Negative selection,0.0,0.0,SRV,9
alternative,test,Negative selection,0.207,100.0,SRV,9
alternative,test,Negative selection,0.001,0.0,SRV,9
alternative,test,Negative selection,0.267,100.0,SRV,9
null,reference,Diversifying selection,1.651,0.0,SRV,9
null,reference,Negative selection,0.003,0.0,SRV,9
null,reference,Negative selection,0.266,100.0,SRV,9
null,test,Diversifying selection,1.651,0.0,SRV,9
null,test,Negative selection,0.003,0.0,SRV,9
null,test,Negative selection,0.266,100.0,SRV,9
alternative,reference,Diversifying selection,3.041,0.0,SRV,10
alternative,reference,Negative selection,0.0,0.0,SRV,10
alternative,reference,Negative selection,0.267,100.0,SRV,10
alternative,test,Diversifying selection,3.748,0.0,SRV,10
alternative,test,Diversifying selection,3.041,0.0,SRV,10
alternative,test,Negative selection,0.0,0.0,SRV,10
alternative,test,Negative selection,0.209,100.0,SRV,10
alternative,test,Negative selection,0.0,0.0,SRV,10
alternative,test,Negative selection,0.267,100.0,SRV,10
null,reference,Diversifying selection,1.06,0.0,SRV,10
null,reference,Negative selection,0.002,0.0,SRV,10
null,reference,Negative selection,0.266,100.0,SRV,10
null,test,Diversifying selection,1.06,0.0,SRV,10
null,test,Negative selection,0.002,0.0,SRV,10
null,test,Negative selection,0.266,100.0,SRV,10
alternative,reference,Diversifying selection,3.663,0.0,SRV+Double,1
alternative,reference,Negative selection,0.0,0.0,SRV+Double,1
alternative,reference,Negative selection,0.267,100.0,SRV+Double,1
alternative,test,Diversifying selection,4.684,0.0,SRV+Double,1
alternative,test,Diversifying selection,3.663,0.0,SRV+Double,1
alternative,test,Negative selection,0.0,0.0,SRV+Double,1
alternative,test,Negative selection,0.208,100.0,SRV+Double,1
alternative,test,Negative selection,0.0,0.0,SRV+Double,1
alternative,test,Negative selection,0.267,100.0,SRV+Double,1
null,reference,Diversifying selection,1.218,0.0,SRV+Double,1
null,reference,Negative selection,0.002,0.0,SRV+Double,1
null,reference,Negative selection,0.266,100.0,SRV+Double,1
null,test,Diversifying selection,1.218,0.0,SRV+Double,1
null,test,Negative selection,0.002,0.0,SRV+Double,1
null,test,Negative selection,0.266,100.0,SRV+Double,1
alternative,reference,Diversifying selection,2.223,0.0,SRV+Double,2
alternative,reference,Negative selection,0.267,100.0,SRV+Double,2
alternative,reference,Negative selection,0.898,0.0,SRV+Double,2
alternative,test,Diversifying selection,2.579,0.0,SRV+Double,2
alternative,test,Diversifying selection,2.223,0.0,SRV+Double,2
alternative,test,Negative selection,0.209,100.0,SRV+Double,2
alternative,test,Negative selection,0.88,0.0,SRV+Double,2
alternative,test,Negative selection,0.267,100.0,SRV+Double,2
alternative,test,Negative selection,0.898,0.0,SRV+Double,2
null,reference,Diversifying selection,6.392,0.0,SRV+Double,2
null,reference,Negative selection,0.266,100.0,SRV+Double,2
null,reference,Negative selection,0.717,0.0,SRV+Double,2
null,test,Diversifying selection,6.392,0.0,SRV+Double,2
null,test,Negative selection,0.266,100.0,SRV+Double,2
null,test,Negative selection,0.717,0.0,SRV+Double,2
alternative,reference,Diversifying selection,4.497,0.0,SRV+Double,3
alternative,reference,Negative selection,0.0,0.0,SRV+Double,3
alternative,reference,Negative selection,0.267,100.0,SRV+Double,3
alternative,test,Diversifying selection,6.003,0.0,SRV+Double,3
alternative,test,Diversifying selection,4.497,0.0,SRV+Double,3
alternative,test,Negative selection,0.0,0.0,SRV+Double,3
alternative,test,Negative selection,0.207,100.0,SRV+Double,3
alternative,test,Negative selection,0.0,0.0,SRV+Double,3
alternative,test,Negative selection,0.267,100.0,SRV+Double,3
