run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,1.019,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.261,,100.0
SRV,1,alternative,reference,omega,Negative selection,0.977,,0.0
SRV,1,alternative,test,omega,Diversifying selection,1.019,,0.0
SRV,1,alternative,test,omega,Negative selection,0.261,,100.0
SRV,1,alternative,test,omega,Negative selection,0.977,,0.0
SRV,1,alternative,test,omega,Neutral evolution,1.0,,100.0
SRV,1,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,1,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,1,null,reference,omega,Diversifying selection,1.078,,0.0
SRV,1,null,reference,omega,Negative selection,0.309,,100.0
SRV,1,null,reference,omega,Negative selection,0.43,,0.0
SRV,1,null,test,omega,Diversifying selection,1.078,,0.0
SRV,1,null,test,omega,Negative selection,0.309,,100.0
SRV,1,null,test,omega,Negative selection,0.43,,0.0
SRV,2,alternative,reference,omega,Diversifying selection,1.427,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.004,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.262,,100.0
SRV,2,alternative,test,omega,Diversifying selection,1.427,,0.0
SRV,2,alternative,test,omega,Negative selection,0.004,,0.0
SRV,2,alternative,test,omega,Negative selection,0.262,,100.0
SRV,2,alternative,test,omega,Neutral evolution,1.0,,100.0
SRV,2,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,2,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,2,null,reference,omega,Diversifying selection,1.168,,0.0
SRV,2,null,reference,omega,Negative selection,0.003,,0.0
SRV,2,null,reference,omega,Negative selection,0.31,,100.0
SRV,2,null,test,omega,Diversifying selection,1.168,,0.0
SRV,2,null,test,omega,Negative selection,0.003,,0.0
SRV,2,null,test,omega,Negative selection,0.31,,100.0
SRV,3,alternative,reference,omega,Diversifying selection,1.25,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.261,,100.0
SRV,3,alternative,reference,omega,Negative selection,0.964,,0.0
SRV,3,alternative,test,omega,Diversifying selection,1.25,,0.0
SRV,3,alternative,test,omega,Negative selection,0.261,,100.0
SRV,3,alternative,test,omega,Negative selection,0.964,,0.0
SRV,3,alternative,test,omega,Neutral evolution,1.0,,100.0
SRV,3,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,3,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,3,null,reference,omega,Diversifying selection,1.079,,0.0
SRV,3,null,reference,omega,Negative selection,0.309,,100.0
SRV,3,null,reference,omega,Negative selection,0.944,,0.0
SRV,3,null,test,omega,Diversifying selection,1.079,,0.0
SRV,3,null,test,omega,Negative selection,0.309,,100.0
SRV,3,null,test,omega,Negative selection,0.944,,0.0
SRV,4,alternative,reference,omega,Diversifying selection,1.015,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.262,,100.0
SRV,4,alternative,reference,omega,Negative selection,0.534,,0.0
SRV,4,alternative,test,omega,Diversifying selection,1.015,,0.0
SRV,4,alternative,test,omega,Negative selection,0.262,,100.0
SRV,4,alternative,test,omega,Negative selection,0.534,,0.0
SRV,4,alternative,test,omega,Neutral evolution,1.0,,100.0
SRV,4,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,4,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,4,null,reference,omega,Diversifying selection,1.08,,0.0
SRV,4,null,reference,omega,Negative selection,0.31,,100.0
SRV,4,null,reference,omega,Negative selection,0.645,,0.0
SRV,4,null,test,omega,Diversifying selection,1.08,,0.0
SRV,4,null,test,omega,Negative selection,0.31,,100.0
SRV,4,null,test,omega,Negative selection,0.645,,0.0
SRV,5,alternative,reference,omega,Diversifying selection,1.035,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.262,,100.0
SRV,5,alternative,reference,omega,Negative selection,0.946,,0.0
SRV,5,alternative,test,omega,Diversifying selection,1.035,,0.0
SRV,5,alternative,test,omega,Negative selection,0.262,,100.0
SRV,5,alternative,test,omega,Negative selection,0.946,,0.0
SRV,5,alternative,test,omega,Neutral evolution,1.0,,100.0
SRV,5,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,5,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,5,null,reference,omega,Diversifying selection,1.081,,0.0
SRV,5,null,reference,omega,Negative selection,0.31,,100.0
SRV,5,null,reference,omega,Negative selection,0.643,,0.0
SRV,5,null,test,omega,Diversifying selection,1.081,,0.0
SRV,5,null,test,omega,Negative selection,0.31,,100.0
SRV,5,null,test,omega,Negative selection,0.643,,0.0
SRV,6,alternative,reference,omega,Diversifying selection,1.013,,0.0
SRV,6,alternative,reference,omega,Negative selection,0.262,,100.0
SRV,6,alternative,reference,omega,Negative selection,0.355,,0.0
SRV,6,alternative,test,omega,Diversifying selection,1.013,,0.0
SRV,6,alternative,test,omega,Negative selection,0.262,,100.0
SRV,6,alternative,test,omega,Negative selection,0.355,,0.0
SRV,6,alternative,test,omega,Neutral evolution,1.0,,100.0
SRV,6,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,6,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,6,null,reference,omega,Diversifying selection,1.08,,0.0
SRV,6,null,reference,omega,Negative selection,0.31,,100.0
SRV,6,null,reference,omega,Negative selection,0.762,,0.0
SRV,6,null,test,omega,Diversifying selection,1.08,,0.0
SRV,6,null,test,omega,Negative selection,0.31,,100.0
SRV,6,null,test,omega,Negative selection,0.762,,0.0
SRV,7,alternative,reference,omega,Diversifying selection,1.145,,0.0
SRV,7,alternative,reference,omega,Negative selection,0.262,,100.0
SRV,7,alternative,reference,omega,Negative selection,0.944,,0.0
SRV,7,alternative,test,omega,Diversifying selection,1.145,,0.0
SRV,7,alternative,test,omega,Negative selection,0.262,,100.0
SRV,7,alternative,test,omega,Negative selection,0.944,,0.0
SRV,7,alternative,test,omega,Neutral evolution,1.0,,100.0
SRV,7,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,7,alternative,test,omega,Neutral evolution,1.0,,0.0
SRV,7,null,reference,omega,Diversifying selection,1.077,,0.0
SRV,7,null,reference,omega,Negative selection,0.309,,100.0
SRV,7,null,reference,omega,Negative selection,0.947,,0.0
SRV,7,null,test,omega,Diversifying selection,1.077,,0.0
SRV,7,null,test,omega,Negative selection,0.309,,100.0
SRV,7,null,test,omega,Negative selection,0.947,,0.0
SRV,8,alternative,reference,omega,Diversifying selection,1.17,,0.0
SRV,8,alternative,reference,omega,Negative selection,0.172,,5.809
SRV,8,alternative,reference,omega,Negative selection,0.269,,94.191
SRV,8,alternative,test,omega,Diversifying selection,1.17,,0.0
SRV,8,alternative,test,omega,Negative selection,0.172,,5.809
SRV,8,alternative,test,omega,Negative selection,0.269,,94.191
