replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.0546,0.0,-4275.25,8630.9,40,-4277.1,8632.57,39,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.052,0.0,-4275.13,8630.65,40,-4277.02,8632.41,39,0.2689,1.3144,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.0525,0.0,-4275.28,8630.95,40,-4277.16,8632.69,39,0.2689,1.3144,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.052,0.0,-4275.13,8630.65,40,-4277.02,8632.41,39,0.2689,1.3144,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.052,0.0,-4275.13,8630.65,40,-4277.02,8632.41,39,0.2689,1.3144,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.052,0.0,-4275.13,8630.65,40,-4277.02,8632.41,39,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.0523,0.0,-4275.26,8630.92,40,-4277.14,8632.66,39,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.0536,0.0,-4275.23,8630.86,40,-4277.09,8632.56,39,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.923,0.03,-4275.08,8632.57,41,-4275.08,8630.56,40,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.0543,0.0,-4275.24,8630.87,40,-4277.09,8632.56,39,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.0574,0.0,-4275.23,8634.89,42,-4277.04,8636.49,41,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.052,0.0,-4275.13,8634.69,42,-4277.02,8636.45,41,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.0521,0.0,-4275.13,8634.7,42,-4277.02,8636.45,41,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.052,0.0,-4275.13,8634.69,42,-4277.02,8636.45,41,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.052,0.0,-4275.13,8634.69,42,-4277.02,8636.45,41,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.052,0.0,-4275.13,8634.69,42,-4277.02,8636.45,41,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.0583,0.0,-4275.22,8634.88,42,-4277.02,8636.45,41,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.052,0.0,-4275.13,8634.69,42,-4277.02,8636.45,41,0.2689,1.3144,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.0521,0.0,-4275.13,8634.69,42,-4277.02,8636.45,41,0.2689,1.3144,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.0586,0.0,-4275.23,8634.89,42,-4277.02,8636.45,41,0.2689,1.3144,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.0537,0.0,-4275.25,8638.97,44,-4277.11,8640.67,43,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.052,0.0,-4275.13,8638.73,44,-4277.02,8640.49,43,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.052,0.0,-4275.13,8638.73,44,-4277.02,8640.49,43,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.0422,1.88,-4275.68,8639.84,44,-4277.75,8641.95,43,0.2689,1.3144,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.052,0.0,-4275.13,8638.73,44,-4277.02,8640.49,43,0.2689,1.3144,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.0421,1.89,-4275.68,8639.84,44,-4277.75,8641.95,43,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.052,0.0,-4275.13,8638.73,44,-4277.02,8640.49,43,0.2689,1.3144,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.0583,0.0,-4275.23,8638.93,44,-4277.02,8640.49,43,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.052,0.0,-4275.13,8638.73,44,-4277.02,8640.49,43,0.269,1.3144,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.052,0.0,-4275.13,8638.73,44,-4277.02,8640.49,43,0.2689,1.3144,Convergence/flat likelihood; Collapsed rate class
