model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.009,0.0,SRV,1
null,2,0.309,82.39,SRV,1
null,3,4.231,17.61,SRV,1
null,1,0.574,2.438,SRV,2
null,2,0.589,90.664,SRV,2
null,3,6.558,6.898,SRV,2
null,1,0.003,0.0,SRV,3
null,2,0.152,74.523,SRV,3
null,3,3.479,25.477,SRV,3
null,1,0.444,0.0,SRV,4
null,2,0.588,93.117,SRV,4
null,3,6.568,6.883,SRV,4
null,1,0.454,0.0,SRV,5
null,2,0.588,93.108,SRV,5
null,3,6.564,6.892,SRV,5
null,1,0.129,0.0,SRV,6
null,2,0.589,93.131,SRV,6
null,3,6.577,6.869,SRV,6
null,1,0.004,0.0,SRV,7
null,2,0.19,76.412,SRV,7
null,3,3.625,23.588,SRV,7
null,1,0.005,0.0,SRV,8
null,2,0.322,82.989,SRV,8
null,3,4.31,17.011,SRV,8
null,1,0.592,93.242,SRV,9
null,2,6.629,2.868,SRV,9
null,3,6.634,3.889,SRV,9
null,1,0.006,0.0,SRV,10
null,2,0.33,83.418,SRV,10
null,3,4.37,16.582,SRV,10
