replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.41,0.8,-7901.05,15916.49,57,-7901.39,15915.15,56,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.4377,0.81,-7901.06,15916.51,57,-7901.36,15915.1,56,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.7147,0.81,-7901.24,15916.87,57,-7901.3,15914.99,56,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.6252,0.8,-7901.18,15916.75,57,-7901.3,15914.98,56,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.5055,0.82,-7901.15,15916.69,57,-7901.37,15915.12,56,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.6492,0.8,-7901.19,15916.78,57,-7901.3,15914.98,56,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.4162,0.81,-7901.06,15916.52,57,-7901.39,15915.17,56,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.6002,0.8,-7901.16,15916.72,57,-7901.3,15914.98,56,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.6078,0.8,-7901.17,15916.73,57,-7901.3,15914.98,56,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.4423,0.78,-7901.0,15916.4,57,-7901.3,15914.98,56,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.4429,0.78,-7901.0,15920.43,59,-7901.3,15919.01,58,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.6117,0.8,-7901.17,15920.76,59,-7901.3,15919.01,58,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.4321,0.79,-7901.0,15920.43,59,-7901.31,15919.03,58,0.2302,0.2808,Convergence/flat likelihood
4,SRV+Double,0.6209,0.8,-7901.17,15920.78,59,-7901.3,15919.01,58,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.698,0.81,-7901.23,15920.88,59,-7901.3,15919.02,58,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.7159,0.81,-7901.24,15920.9,59,-7901.3,15919.02,58,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.4162,0.8,-7901.04,15920.5,59,-7901.37,15919.15,58,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.7326,0.81,-7901.25,15920.92,59,-7901.3,15919.02,58,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.2763,50.0,-7903.77,15925.96,59,-7903.88,15924.18,58,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.7359,0.81,-7901.25,15920.92,59,-7901.3,15919.02,58,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.3818,50.0,-7902.99,15928.43,61,-7901.22,15922.88,60,0.2302,0.2808,Convergence/flat likelihood
2,SRV+Double+Triple,0.4433,0.8,-7900.6,15923.66,61,-7900.9,15922.23,60,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.3764,0.82,-7900.85,15924.16,61,-7901.24,15922.93,60,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.4356,0.8,-7900.59,15923.63,61,-7900.89,15922.23,60,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.4259,0.8,-7900.59,15923.64,61,-7900.91,15922.25,60,0.2302,0.2808,Convergence/flat likelihood
6,SRV+Double+Triple,0.4225,0.8,-7900.59,15923.63,61,-7900.91,15922.26,60,0.2303,0.2805,Convergence/flat likelihood
7,SRV+Double+Triple,0.4189,0.8,-7900.59,15923.64,61,-7900.92,15922.27,60,0.2302,0.2808,Convergence/flat likelihood
8,SRV+Double+Triple,0.4264,0.8,-7900.59,15923.63,61,-7900.91,15922.25,60,0.2302,0.2808,Convergence/flat likelihood
9,SRV+Double+Triple,0.3999,0.81,-7900.61,15923.68,61,-7900.97,15922.38,60,0.2302,0.2808,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.4184,0.8,-7900.59,15923.63,61,-7900.92,15922.27,60,0.2302,0.2808,Convergence/flat likelihood
