model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,10.088,SRV,1
null,2,0.94,78.44,SRV,1
null,3,2.287,11.472,SRV,1
null,1,0.0,10.103,SRV,2
null,2,0.941,78.408,SRV,2
null,3,2.283,11.489,SRV,2
null,1,0.0,10.138,SRV,3
null,2,0.945,79.047,SRV,3
null,3,2.34,10.815,SRV,3
null,1,0.0,10.123,SRV,4
null,2,0.943,78.804,SRV,4
null,3,2.318,11.074,SRV,4
null,1,0.0,10.134,SRV,5
null,2,0.944,78.749,SRV,5
null,3,2.308,11.117,SRV,5
null,1,0.0,10.122,SRV,6
null,2,0.943,78.809,SRV,6
null,3,2.318,11.069,SRV,6
null,1,0.0,10.133,SRV,7
null,2,0.943,78.596,SRV,7
null,3,2.298,11.271,SRV,7
null,1,0.0,10.11,SRV,8
null,2,0.942,78.7,SRV,8
null,3,2.31,11.189,SRV,8
null,1,0.0,10.107,SRV,9
null,2,0.942,78.683,SRV,9
null,3,2.308,11.21,SRV,9
null,1,0.0,10.102,SRV,10
null,2,0.942,78.66,SRV,10
null,3,2.305,11.238,SRV,10
