replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.8883,0.94,-4277.01,8634.41,40,-4277.02,8632.41,39,0.3086,0.3391,Convergence/flat likelihood
2,SRV,1.0,0.93,-4277.16,8634.72,40,-4277.16,8632.69,39,0.3086,0.3391,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.8935,0.93,-4277.01,8634.41,40,-4277.02,8632.41,39,0.3086,0.3391,Convergence/flat likelihood; Collapsed rate class
4,SRV,1.0,0.93,-4277.14,8634.67,40,-4277.1,8632.58,39,0.3086,0.3391,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.8936,0.93,-4277.01,8634.41,40,-4277.02,8632.41,39,0.3086,0.3391,Convergence/flat likelihood
6,SRV,1.0,0.67,-4277.02,8636.45,41,-4277.01,8634.41,40,0.3086,0.3391,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.8905,0.93,-4277.01,8634.41,40,-4277.02,8632.41,39,0.3086,0.3391,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.8908,0.93,-4277.01,8634.41,40,-4277.02,8632.41,39,0.3087,0.3387,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.888,0.94,-4277.01,8634.41,40,-4277.02,8632.41,39,0.3087,0.3387,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.8913,0.94,-4277.02,8634.43,40,-4277.03,8632.43,39,0.3087,0.3387,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.8882,0.93,-4277.01,8638.45,42,-4277.02,8636.45,41,0.3087,0.3387,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.8889,0.93,-4277.01,8638.45,42,-4277.02,8636.45,41,0.3086,0.3391,Convergence/flat likelihood
3,SRV+Double,1.0,0.93,-4277.13,8638.69,42,-4277.02,8636.45,41,0.3086,0.3391,Convergence/flat likelihood
4,SRV+Double,1.0,0.93,-4277.09,8638.62,42,-4277.02,8636.45,41,0.3086,0.3391,Convergence/flat likelihood
5,SRV+Double,0.888,0.94,-4277.01,8638.45,42,-4277.02,8636.45,41,0.3086,0.3391,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,1.0,0.93,-4277.15,8638.73,42,-4277.13,8636.68,41,0.3086,0.3391,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.888,0.94,-4277.01,8638.45,42,-4277.02,8636.45,41,0.3087,0.3387,Convergence/flat likelihood
8,SRV+Double,1.0,0.93,-4277.15,8638.73,42,-4277.12,8636.66,41,0.3086,0.3391,Convergence/flat likelihood
9,SRV+Double,1.0,0.93,-4277.09,8638.62,42,-4277.03,8636.48,41,0.3086,0.3391,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.8886,0.93,-4277.01,8638.45,42,-4277.02,8636.45,41,0.3086,0.3391,Convergence/flat likelihood
1,SRV+Double+Triple,0.8888,0.93,-4277.01,8642.49,44,-4277.02,8640.49,43,0.3086,0.3391,Convergence/flat likelihood
2,SRV+Double+Triple,0.8891,0.93,-4277.01,8642.49,44,-4277.02,8640.49,43,0.3086,0.3391,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.889,0.93,-4277.01,8642.49,44,-4277.02,8640.49,43,0.3086,0.3391,Convergence/flat likelihood
4,SRV+Double+Triple,0.9072,0.93,-4277.07,8642.63,44,-4277.08,8640.62,43,0.3086,0.3391,Convergence/flat likelihood
5,SRV+Double+Triple,0.8909,1.2,-4559.52,9207.52,44,-4277.02,8640.49,43,0.3086,0.3391,Convergence/flat likelihood
6,SRV+Double+Triple,1.0,0.74,-4277.02,8644.53,45,-4277.01,8642.5,44,0.3086,0.3391,Convergence/flat likelihood
7,SRV+Double+Triple,0.8881,0.94,-4277.01,8642.49,44,-4277.02,8640.49,43,0.3086,0.3391,Convergence/flat likelihood
8,SRV+Double+Triple,0.8883,0.94,-4277.01,8642.49,44,-4277.02,8640.49,43,0.3087,0.3387,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.8891,0.93,-4277.01,8642.49,44,-4277.02,8640.49,43,0.3087,0.3389,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.8885,0.93,-4277.01,8642.49,44,-4277.02,8640.49,43,0.3086,0.3391,Convergence/flat likelihood
