run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,4.214,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.0,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.262,,100.0
SRV,1,alternative,test,omega,Diversifying selection,3.611,,0.0
SRV,1,alternative,test,omega,Diversifying selection,4.214,,0.0
SRV,1,alternative,test,omega,Negative selection,0.0,,0.0
SRV,1,alternative,test,omega,Negative selection,0.303,,100.0
SRV,1,alternative,test,omega,Negative selection,0.0,,0.0
SRV,1,alternative,test,omega,Negative selection,0.262,,100.0
SRV,1,null,reference,omega,Diversifying selection,1.334,,0.0
SRV,1,null,reference,omega,Negative selection,0.002,,0.0
SRV,1,null,reference,omega,Negative selection,0.265,,100.0
SRV,1,null,test,omega,Diversifying selection,1.334,,0.0
SRV,1,null,test,omega,Negative selection,0.002,,0.0
SRV,1,null,test,omega,Negative selection,0.265,,100.0
SRV,2,alternative,reference,omega,Diversifying selection,4.073,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.0,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.263,,100.0
SRV,2,alternative,test,omega,Diversifying selection,3.522,,0.0
SRV,2,alternative,test,omega,Diversifying selection,4.073,,0.0
SRV,2,alternative,test,omega,Negative selection,0.0,,0.0
SRV,2,alternative,test,omega,Negative selection,0.302,,100.0
SRV,2,alternative,test,omega,Negative selection,0.0,,0.0
SRV,2,alternative,test,omega,Negative selection,0.263,,100.0
SRV,2,null,reference,omega,Diversifying selection,1.31,,0.0
SRV,2,null,reference,omega,Negative selection,0.002,,0.0
SRV,2,null,reference,omega,Negative selection,0.266,,100.0
SRV,2,null,test,omega,Diversifying selection,1.31,,0.0
SRV,2,null,test,omega,Negative selection,0.002,,0.0
SRV,2,null,test,omega,Negative selection,0.266,,100.0
SRV,3,alternative,reference,omega,Diversifying selection,1.008,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.264,,100.0
SRV,3,alternative,reference,omega,Negative selection,0.471,,0.0
SRV,3,alternative,test,omega,Diversifying selection,1.007,,0.0
SRV,3,alternative,test,omega,Diversifying selection,1.008,,0.0
SRV,3,alternative,test,omega,Negative selection,0.324,,100.0
