replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.8505,0.89,-4603.15,9288.68,41,-4603.17,9286.69,40,0.2669,0.3033,Convergence/flat likelihood
2,SRV,0.8459,0.9,-4603.15,9288.67,41,-4603.17,9286.69,40,0.2673,0.3034,Convergence/flat likelihood
3,SRV,0.7745,0.85,-4602.32,9289.03,42,-4602.36,9287.09,41,0.2679,0.3281,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.7738,0.85,-4602.32,9289.03,42,-4602.36,9287.09,41,0.2676,0.3279,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.8461,0.9,-4603.15,9288.68,41,-4603.17,9286.69,40,0.267,0.3025,Convergence/flat likelihood
6,SRV,0.8491,0.89,-4603.15,9288.68,41,-4603.17,9286.69,40,0.2673,0.3035,Convergence/flat likelihood
7,SRV,0.7735,0.85,-4602.32,9289.03,42,-4602.36,9287.09,41,0.2678,0.3287,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.8471,0.9,-4603.15,9288.68,41,-4603.17,9286.69,40,0.267,0.3032,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.8467,0.9,-4603.15,9288.68,41,-4603.17,9286.69,40,0.2672,0.3034,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.8465,0.9,-4603.15,9288.68,41,-4603.17,9286.69,40,0.2672,0.3034,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.8466,0.9,-4603.15,9292.71,43,-4603.17,9290.73,42,0.2669,0.3033,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.8478,0.9,-4603.15,9292.71,43,-4603.17,9290.73,42,0.2672,0.3034,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.7735,0.84,-4602.32,9293.06,44,-4602.36,9291.13,43,0.268,0.3283,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.8463,0.89,-4603.15,9292.71,43,-4603.17,9290.73,42,0.2672,0.3034,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.8458,0.89,-4603.15,9292.71,43,-4603.17,9290.73,42,0.267,0.3032,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.846,0.9,-4603.15,9292.71,43,-4603.17,9290.73,42,0.2671,0.303,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.8459,0.9,-4603.15,9292.71,43,-4603.17,9290.73,42,0.2672,0.3034,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.8474,0.9,-4603.15,9292.71,43,-4603.17,9290.73,42,0.2669,0.3033,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.8483,0.9,-4603.15,9292.71,43,-4603.17,9290.73,42,0.2671,0.303,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.8465,0.89,-4603.15,9292.71,43,-4603.17,9290.73,42,0.267,0.3032,Convergence/flat likelihood
1,SRV+Double+Triple,0.8467,0.89,-4603.15,9296.75,45,-4603.17,9294.77,44,0.267,0.3032,Convergence/flat likelihood
2,SRV+Double+Triple,0.8471,0.89,-4603.15,9296.75,45,-4603.17,9294.77,44,0.267,0.3032,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.8464,0.9,-4603.15,9296.75,45,-4603.17,9294.77,44,0.267,0.3032,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.8458,0.9,-4603.15,9296.75,45,-4603.17,9294.77,44,0.2667,0.3032,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.8461,0.9,-4603.15,9296.75,45,-4603.17,9294.77,44,0.267,0.3032,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.8461,0.9,-4603.15,9296.75,45,-4603.17,9294.77,44,0.2673,0.3034,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.8461,0.9,-4603.15,9296.75,45,-4603.17,9294.77,44,0.2671,0.303,Convergence/flat likelihood
8,SRV+Double+Triple,0.8463,0.9,-4603.15,9296.75,45,-4603.17,9294.77,44,0.2672,0.3034,Convergence/flat likelihood
9,SRV+Double+Triple,0.8465,0.9,-4603.15,9296.75,45,-4603.17,9294.77,44,0.2672,0.3034,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.8459,0.9,-4603.15,9296.75,45,-4603.17,9294.77,44,0.2672,0.3034,Convergence/flat likelihood; Collapsed rate class
