model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,55.119,SRV,1
null,2,0.0,0.0,SRV,1
null,3,2.228,44.881,SRV,1
null,1,0.0,55.12,SRV,2
null,2,0.0,0.0,SRV,2
null,3,2.228,44.88,SRV,2
null,1,0.0,52.014,SRV,3
null,2,0.0,1.158,SRV,3
null,3,2.135,46.828,SRV,3
null,1,0.0,53.166,SRV,4
null,2,2.135,44.174,SRV,4
null,3,2.135,2.661,SRV,4
null,1,0.0,51.888,SRV,5
null,2,0.0,3.231,SRV,5
null,3,2.228,44.88,SRV,5
null,1,0.0,55.118,SRV,6
null,2,0.0,0.0,SRV,6
null,3,2.228,44.882,SRV,6
null,1,0.0,18.316,SRV,7
null,2,0.0,34.855,SRV,7
null,3,2.135,46.829,SRV,7
null,1,0.0,55.121,SRV,8
null,2,0.0,0.0,SRV,8
null,3,2.228,44.879,SRV,8
null,1,0.0,53.225,SRV,9
null,2,0.0,1.895,SRV,9
null,3,2.228,44.879,SRV,9
null,1,0.0,30.703,SRV,10
null,2,0.0,24.418,SRV,10
null,3,2.228,44.879,SRV,10
