run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,1.18,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.072,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.229,,100.0
SRV,1,alternative,test,omega,Diversifying selection,1.157,,0.0
SRV,1,alternative,test,omega,Diversifying selection,1.18,,0.0
SRV,1,alternative,test,omega,Negative selection,0.099,,0.0
SRV,1,alternative,test,omega,Negative selection,0.273,,100.0
SRV,1,alternative,test,omega,Negative selection,0.072,,0.0
SRV,1,alternative,test,omega,Negative selection,0.229,,100.0
SRV,1,null,reference,omega,Diversifying selection,1.169,,0.0
SRV,1,null,reference,omega,Negative selection,0.066,,0.0
SRV,1,null,reference,omega,Negative selection,0.232,,100.0
SRV,1,null,test,omega,Diversifying selection,1.169,,0.0
SRV,1,null,test,omega,Negative selection,0.066,,0.0
SRV,1,null,test,omega,Negative selection,0.232,,100.0
SRV,2,alternative,reference,omega,Negative selection,0.0,,63.694
SRV,2,alternative,reference,omega,Negative selection,0.0,,11.828
SRV,2,alternative,reference,omega,Neutral evolution,1.0,,24.478
SRV,2,alternative,test,omega,Negative selection,0.0,,63.694
SRV,2,alternative,test,omega,Negative selection,0.0,,11.828
SRV,2,alternative,test,omega,Negative selection,0.0,,63.694
SRV,2,alternative,test,omega,Negative selection,0.0,,11.828
SRV,2,alternative,test,omega,Neutral evolution,1.0,,24.478
SRV,2,alternative,test,omega,Neutral evolution,1.0,,24.478
SRV,2,null,reference,omega,Diversifying selection,1.072,,0.0
SRV,2,null,reference,omega,Negative selection,0.232,,100.0
SRV,2,null,reference,omega,Negative selection,0.589,,0.0
SRV,2,null,test,omega,Diversifying selection,1.072,,0.0
SRV,2,null,test,omega,Negative selection,0.232,,100.0
SRV,2,null,test,omega,Negative selection,0.589,,0.0
SRV,3,alternative,reference,omega,Diversifying selection,1.014,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.097,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.228,,100.0
SRV,3,alternative,test,omega,Diversifying selection,1.012,,0.0
SRV,3,alternative,test,omega,Diversifying selection,1.014,,0.0
SRV,3,alternative,test,omega,Negative selection,0.128,,0.0
SRV,3,alternative,test,omega,Negative selection,0.273,,100.0
SRV,3,alternative,test,omega,Negative selection,0.097,,0.0
SRV,3,alternative,test,omega,Negative selection,0.228,,100.0
SRV,3,null,reference,omega,Diversifying selection,1.179,,0.0
SRV,3,null,reference,omega,Negative selection,0.089,,0.0
SRV,3,null,reference,omega,Negative selection,0.232,,100.0
SRV,3,null,test,omega,Diversifying selection,1.179,,0.0
SRV,3,null,test,omega,Negative selection,0.089,,0.0
SRV,3,null,test,omega,Negative selection,0.232,,100.0
SRV,4,alternative,reference,omega,Diversifying selection,1.965,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.0,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.229,,100.0
SRV,4,alternative,test,omega,Diversifying selection,1.811,,0.0
SRV,4,alternative,test,omega,Diversifying selection,1.965,,0.0
SRV,4,alternative,test,omega,Negative selection,0.001,,0.0
SRV,4,alternative,test,omega,Negative selection,0.273,,100.0
SRV,4,alternative,test,omega,Negative selection,0.0,,0.0
SRV,4,alternative,test,omega,Negative selection,0.229,,100.0
SRV,4,null,reference,omega,Diversifying selection,1.572,,0.0
SRV,4,null,reference,omega,Negative selection,0.001,,0.0
