model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.069,0.0,SRV,1
alternative,reference,Negative selection,0.0,0.0,SRV,1
alternative,reference,Negative selection,0.226,100.0,SRV,1
alternative,test,Diversifying selection,1.055,0.0,SRV,1
alternative,test,Diversifying selection,1.069,0.0,SRV,1
alternative,test,Negative selection,0.0,0.0,SRV,1
alternative,test,Negative selection,0.305,100.0,SRV,1
alternative,test,Negative selection,0.0,0.0,SRV,1
alternative,test,Negative selection,0.226,100.0,SRV,1
null,reference,Diversifying selection,1.247,0.0,SRV,1
null,reference,Negative selection,0.001,0.0,SRV,1
null,reference,Negative selection,0.232,100.0,SRV,1
null,test,Diversifying selection,1.247,0.0,SRV,1
null,test,Negative selection,0.001,0.0,SRV,1
null,test,Negative selection,0.232,100.0,SRV,1
alternative,reference,Diversifying selection,1.034,0.0,SRV,2
alternative,reference,Negative selection,0.189,0.0,SRV,2
alternative,reference,Negative selection,0.226,100.0,SRV,2
alternative,test,Diversifying selection,1.027,0.0,SRV,2
alternative,test,Diversifying selection,1.034,0.0,SRV,2
alternative,test,Negative selection,0.265,0.0,SRV,2
alternative,test,Negative selection,0.305,100.0,SRV,2
alternative,test,Negative selection,0.189,0.0,SRV,2
alternative,test,Negative selection,0.226,100.0,SRV,2
null,reference,Diversifying selection,1.203,0.0,SRV,2
null,reference,Negative selection,0.174,0.0,SRV,2
null,reference,Negative selection,0.231,100.0,SRV,2
null,test,Diversifying selection,1.203,0.0,SRV,2
null,test,Negative selection,0.174,0.0,SRV,2
null,test,Negative selection,0.231,100.0,SRV,2
alternative,reference,Diversifying selection,1.029,0.0,SRV,3
alternative,reference,Negative selection,0.063,0.0,SRV,3
alternative,reference,Negative selection,0.226,100.0,SRV,3
alternative,test,Diversifying selection,1.023,0.0,SRV,3
alternative,test,Diversifying selection,1.029,0.0,SRV,3
alternative,test,Negative selection,0.11,0.0,SRV,3
alternative,test,Negative selection,0.305,100.0,SRV,3
alternative,test,Negative selection,0.063,0.0,SRV,3
alternative,test,Negative selection,0.226,100.0,SRV,3
null,reference,Diversifying selection,1.198,0.0,SRV,3
null,reference,Negative selection,0.062,0.0,SRV,3
null,reference,Negative selection,0.232,100.0,SRV,3
null,test,Diversifying selection,1.198,0.0,SRV,3
null,test,Negative selection,0.062,0.0,SRV,3
null,test,Negative selection,0.232,100.0,SRV,3
alternative,reference,Diversifying selection,1.01,23.711,SRV,4
alternative,reference,Negative selection,0.0,50.311,SRV,4
alternative,reference,Negative selection,0.0,25.978,SRV,4
alternative,test,Diversifying selection,1.309,23.711,SRV,4
alternative,test,Diversifying selection,1.01,23.711,SRV,4
alternative,test,Negative selection,0.0,50.311,SRV,4
alternative,test,Negative selection,0.0,25.978,SRV,4
alternative,test,Negative selection,0.0,50.311,SRV,4
alternative,test,Negative selection,0.0,25.978,SRV,4
null,reference,Diversifying selection,1.002,0.0,SRV,4
null,reference,Negative selection,0.232,100.0,SRV,4
null,reference,Negative selection,0.271,0.0,SRV,4
null,test,Diversifying selection,1.002,0.0,SRV,4
null,test,Negative selection,0.232,100.0,SRV,4
null,test,Negative selection,0.271,0.0,SRV,4
alternative,reference,Diversifying selection,1.479,0.0,SRV,5
alternative,reference,Negative selection,0.174,0.0,SRV,5
alternative,reference,Negative selection,0.226,100.0,SRV,5
alternative,test,Diversifying selection,1.366,0.0,SRV,5
alternative,test,Diversifying selection,1.479,0.0,SRV,5
alternative,test,Negative selection,0.248,0.0,SRV,5
alternative,test,Negative selection,0.306,100.0,SRV,5
