model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.223,0.0,SRV,1
alternative,reference,Negative selection,0.303,100.0,SRV,1
alternative,reference,Negative selection,0.937,0.0,SRV,1
alternative,test,Diversifying selection,1.16,0.0,SRV,1
alternative,test,Diversifying selection,1.223,0.0,SRV,1
alternative,test,Negative selection,0.414,100.0,SRV,1
alternative,test,Negative selection,0.953,0.0,SRV,1
alternative,test,Negative selection,0.303,100.0,SRV,1
alternative,test,Negative selection,0.937,0.0,SRV,1
null,reference,Diversifying selection,1.234,0.0,SRV,1
null,reference,Negative selection,0.309,100.0,SRV,1
null,reference,Negative selection,0.645,0.0,SRV,1
null,test,Diversifying selection,1.234,0.0,SRV,1
null,test,Negative selection,0.309,100.0,SRV,1
null,test,Negative selection,0.645,0.0,SRV,1
alternative,reference,Diversifying selection,8.823,0.0,SRV,2
alternative,reference,Negative selection,0.304,79.631,SRV,2
alternative,reference,Negative selection,0.306,20.369,SRV,2
alternative,test,Diversifying selection,4.84,0.0,SRV,2
alternative,test,Diversifying selection,8.823,0.0,SRV,2
alternative,test,Negative selection,0.422,79.631,SRV,2
alternative,test,Negative selection,0.424,20.369,SRV,2
alternative,test,Negative selection,0.304,79.631,SRV,2
alternative,test,Negative selection,0.306,20.369,SRV,2
null,reference,Diversifying selection,4.694,0.0,SRV,2
null,reference,Negative selection,0.279,0.0,SRV,2
null,reference,Negative selection,0.31,100.0,SRV,2
null,test,Diversifying selection,4.694,0.0,SRV,2
null,test,Negative selection,0.279,0.0,SRV,2
null,test,Negative selection,0.31,100.0,SRV,2
alternative,reference,Diversifying selection,1.503,0.0,SRV,3
alternative,reference,Negative selection,0.301,51.651,SRV,3
alternative,reference,Negative selection,0.306,48.349,SRV,3
alternative,test,Diversifying selection,1.351,0.0,SRV,3
alternative,test,Diversifying selection,1.503,0.0,SRV,3
alternative,test,Negative selection,0.412,51.651,SRV,3
alternative,test,Negative selection,0.417,48.349,SRV,3
alternative,test,Negative selection,0.301,51.651,SRV,3
alternative,test,Negative selection,0.306,48.349,SRV,3
null,reference,Diversifying selection,1.223,0.0,SRV,3
null,reference,Negative selection,0.276,0.0,SRV,3
null,reference,Negative selection,0.309,100.0,SRV,3
null,test,Diversifying selection,1.223,0.0,SRV,3
null,test,Negative selection,0.276,0.0,SRV,3
null,test,Negative selection,0.309,100.0,SRV,3
alternative,reference,Diversifying selection,1.093,0.0,SRV,4
alternative,reference,Negative selection,0.304,100.0,SRV,4
alternative,reference,Negative selection,0.962,0.0,SRV,4
alternative,test,Diversifying selection,1.068,0.0,SRV,4
alternative,test,Diversifying selection,1.093,0.0,SRV,4
alternative,test,Negative selection,0.415,100.0,SRV,4
alternative,test,Negative selection,0.972,0.0,SRV,4
alternative,test,Negative selection,0.304,100.0,SRV,4
alternative,test,Negative selection,0.962,0.0,SRV,4
null,reference,Diversifying selection,1.105,0.0,SRV,4
null,reference,Negative selection,0.309,100.0,SRV,4
null,reference,Negative selection,0.662,0.0,SRV,4
null,test,Diversifying selection,1.105,0.0,SRV,4
null,test,Negative selection,0.309,100.0,SRV,4
null,test,Negative selection,0.662,0.0,SRV,4
alternative,reference,Diversifying selection,1.014,0.0,SRV,5
alternative,reference,Negative selection,0.303,100.0,SRV,5
alternative,reference,Negative selection,0.737,0.0,SRV,5
alternative,test,Diversifying selection,1.01,0.0,SRV,5
alternative,test,Diversifying selection,1.014,0.0,SRV,5
alternative,test,Negative selection,0.414,100.0,SRV,5
alternative,test,Negative selection,0.798,0.0,SRV,5
alternative,test,Negative selection,0.303,100.0,SRV,5
alternative,test,Negative selection,0.737,0.0,SRV,5
null,reference,Diversifying selection,1.1,0.0,SRV,5
null,reference,Negative selection,0.309,100.0,SRV,5
null,reference,Negative selection,0.689,0.0,SRV,5
null,test,Diversifying selection,1.1,0.0,SRV,5
null,test,Negative selection,0.309,100.0,SRV,5
null,test,Negative selection,0.689,0.0,SRV,5
alternative,reference,Diversifying selection,1.487,0.0,SRV,6
alternative,reference,Negative selection,0.302,86.335,SRV,6
alternative,reference,Negative selection,0.317,13.665,SRV,6
alternative,test,Diversifying selection,1.335,0.0,SRV,6
alternative,test,Diversifying selection,1.487,0.0,SRV,6
alternative,test,Negative selection,0.419,86.335,SRV,6
alternative,test,Negative selection,0.433,13.665,SRV,6
alternative,test,Negative selection,0.302,86.335,SRV,6
alternative,test,Negative selection,0.317,13.665,SRV,6
null,reference,Diversifying selection,1.221,0.0,SRV,6
null,reference,Negative selection,0.303,56.939,SRV,6
null,reference,Negative selection,0.317,43.061,SRV,6
null,test,Diversifying selection,1.221,0.0,SRV,6
null,test,Negative selection,0.303,56.939,SRV,6
null,test,Negative selection,0.317,43.061,SRV,6
alternative,reference,Diversifying selection,1.003,0.0,SRV,7
