replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.8908,0.74,-4277.11,8634.62,40,-4277.12,8632.62,39,0.3115,0.4172,Convergence/flat likelihood
2,SRV,0.7617,0.72,-4276.97,8634.34,40,-4277.02,8632.41,39,0.3116,0.4172,Convergence/flat likelihood; Collapsed rate class
3,SRV,1.0,0.74,-4277.09,8634.58,40,-4277.08,8632.53,39,0.3113,0.4177,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.9021,0.74,-4277.12,8634.63,40,-4277.12,8632.62,39,0.3115,0.4172,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.929,0.74,-4277.11,8634.62,40,-4277.12,8632.61,39,0.3115,0.4172,Convergence/flat likelihood
6,SRV,0.7572,0.73,-4276.97,8634.33,40,-4277.02,8632.41,39,0.3115,0.4172,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.758,0.72,-4276.97,8634.33,40,-4277.02,8632.41,39,0.3115,0.4172,Convergence/flat likelihood
8,SRV,0.9228,0.74,-4277.12,8634.64,40,-4277.13,8632.63,39,0.3115,0.4172,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.9391,0.74,-4277.09,8634.58,40,-4277.09,8632.57,39,0.3113,0.4177,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.9069,0.74,-4277.13,8634.65,40,-4277.13,8632.64,39,0.3115,0.4172,Convergence/flat likelihood
1,SRV+Double,0.758,0.72,-4276.97,8638.37,42,-4277.02,8636.45,41,0.3115,0.4172,Convergence/flat likelihood
2,SRV+Double,0.7572,0.72,-4276.97,8638.37,42,-4277.02,8636.45,41,0.3115,0.4172,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.7578,0.72,-4276.97,8638.37,42,-4277.02,8636.45,41,0.3115,0.4172,Convergence/flat likelihood
4,SRV+Double,1.0,0.74,-4277.09,8638.61,42,-4277.02,8636.45,41,0.3115,0.4172,Convergence/flat likelihood
5,SRV+Double,0.7572,0.73,-4276.97,8638.37,42,-4277.02,8636.45,41,0.3115,0.4172,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,1.0,0.74,-4277.06,8638.55,42,-4277.02,8636.45,41,0.3115,0.4172,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,1.0,0.74,-4277.1,8638.64,42,-4277.09,8636.6,41,0.3115,0.4172,Convergence/flat likelihood
8,SRV+Double,0.7571,0.73,-4276.97,8638.37,42,-4277.02,8636.45,41,0.3115,0.4172,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.7575,4.65,-4277.0,8638.44,42,-4277.02,8636.45,41,0.3115,0.4172,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.7576,0.73,-4276.97,8638.37,42,-4277.02,8636.45,41,0.3113,0.4177,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.758,0.73,-4276.97,8642.41,44,-4277.02,8640.49,43,0.3115,0.4172,Convergence/flat likelihood
2,SRV+Double+Triple,0.7575,0.72,-4276.97,8642.41,44,-4277.02,8640.49,43,0.3115,0.4172,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.6542,1.23,-4277.64,8643.76,44,-4277.74,8641.94,43,0.3113,0.4177,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.7578,0.72,-4276.97,8642.41,44,-4277.02,8640.49,43,0.3115,0.4172,Convergence/flat likelihood
5,SRV+Double+Triple,0.9608,0.74,-4277.11,8642.69,44,-4277.11,8640.67,43,0.3115,0.4172,Convergence/flat likelihood
6,SRV+Double+Triple,0.7576,0.73,-4276.97,8642.41,44,-4277.02,8640.49,43,0.3115,0.4172,Convergence/flat likelihood
7,SRV+Double+Triple,0.7592,0.73,-4276.97,8642.42,44,-4277.02,8640.49,43,0.3115,0.4172,Convergence/flat likelihood
8,SRV+Double+Triple,0.7615,0.72,-4276.97,8642.42,44,-4277.02,8640.49,43,0.3115,0.4172,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,1.0,0.74,-4277.07,8642.62,44,-4277.02,8640.49,43,0.3115,0.4172,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.7569,0.72,-4276.97,8642.42,44,-4277.02,8640.49,43,0.3113,0.4177,Convergence/flat likelihood
