run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,2.286,,0.774
SRV,1,alternative,reference,omega,Negative selection,0.304,,0.231
SRV,1,alternative,reference,omega,Negative selection,0.305,,98.995
SRV,1,alternative,test,omega,Diversifying selection,135.342,,0.774
SRV,1,alternative,test,omega,Diversifying selection,2.286,,0.774
SRV,1,alternative,test,omega,Negative selection,0.001,,0.231
SRV,1,alternative,test,omega,Negative selection,0.001,,98.995
SRV,1,alternative,test,omega,Negative selection,0.304,,0.231
SRV,1,alternative,test,omega,Negative selection,0.305,,98.995
SRV,1,null,reference,omega,Diversifying selection,1.105,,0.0
SRV,1,null,reference,omega,Negative selection,0.31,,100.0
SRV,1,null,reference,omega,Negative selection,0.871,,0.0
SRV,1,null,test,omega,Diversifying selection,1.105,,0.0
SRV,1,null,test,omega,Negative selection,0.31,,100.0
SRV,1,null,test,omega,Negative selection,0.871,,0.0
SRV,2,alternative,reference,omega,Diversifying selection,1.022,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.32,,100.0
SRV,2,alternative,reference,omega,Negative selection,0.957,,0.0
SRV,2,alternative,test,omega,Diversifying selection,1.031,,0.0
SRV,2,alternative,test,omega,Diversifying selection,1.022,,0.0
SRV,2,alternative,test,omega,Negative selection,0.202,,100.0
SRV,2,alternative,test,omega,Negative selection,0.94,,0.0
SRV,2,alternative,test,omega,Negative selection,0.32,,100.0
SRV,2,alternative,test,omega,Negative selection,0.957,,0.0
SRV,2,null,reference,omega,Diversifying selection,1.177,,0.0
SRV,2,null,reference,omega,Negative selection,0.31,,100.0
SRV,2,null,reference,omega,Negative selection,0.878,,0.0
SRV,2,null,test,omega,Diversifying selection,1.177,,0.0
SRV,2,null,test,omega,Negative selection,0.31,,100.0
SRV,2,null,test,omega,Negative selection,0.878,,0.0
SRV,3,alternative,reference,omega,Diversifying selection,1.195,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.321,,100.0
SRV,3,alternative,reference,omega,Negative selection,0.957,,0.0
SRV,3,alternative,test,omega,Diversifying selection,1.285,,0.0
SRV,3,alternative,test,omega,Diversifying selection,1.195,,0.0
SRV,3,alternative,test,omega,Negative selection,0.202,,100.0
SRV,3,alternative,test,omega,Negative selection,0.94,,0.0
SRV,3,alternative,test,omega,Negative selection,0.321,,100.0
SRV,3,alternative,test,omega,Negative selection,0.957,,0.0
SRV,3,null,reference,omega,Diversifying selection,1.171,,0.0
SRV,3,null,reference,omega,Negative selection,0.31,,100.0
SRV,3,null,reference,omega,Negative selection,0.878,,0.0
SRV,3,null,test,omega,Diversifying selection,1.171,,0.0
SRV,3,null,test,omega,Negative selection,0.31,,100.0
SRV,3,null,test,omega,Negative selection,0.878,,0.0
SRV,4,alternative,reference,omega,Diversifying selection,2.271,,0.774
SRV,4,alternative,reference,omega,Negative selection,0.304,,98.964
SRV,4,alternative,reference,omega,Negative selection,0.314,,0.263
SRV,4,alternative,test,omega,Diversifying selection,135.43,,0.774
SRV,4,alternative,test,omega,Diversifying selection,2.271,,0.774
SRV,4,alternative,test,omega,Negative selection,0.001,,98.964
SRV,4,alternative,test,omega,Negative selection,0.001,,0.263
SRV,4,alternative,test,omega,Negative selection,0.304,,98.964
SRV,4,alternative,test,omega,Negative selection,0.314,,0.263
SRV,4,null,reference,omega,Diversifying selection,1.109,,0.0
SRV,4,null,reference,omega,Negative selection,0.31,,100.0
SRV,4,null,reference,omega,Negative selection,0.928,,0.0
SRV,4,null,test,omega,Diversifying selection,1.109,,0.0
SRV,4,null,test,omega,Negative selection,0.31,,100.0
SRV,4,null,test,omega,Negative selection,0.928,,0.0
SRV,5,alternative,reference,omega,Diversifying selection,1.01,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.32,,100.0
SRV,5,alternative,reference,omega,Negative selection,0.519,,0.0
SRV,5,alternative,test,omega,Diversifying selection,1.014,,0.0
SRV,5,alternative,test,omega,Diversifying selection,1.01,,0.0
SRV,5,alternative,test,omega,Negative selection,0.204,,100.0
SRV,5,alternative,test,omega,Negative selection,0.4,,0.0
SRV,5,alternative,test,omega,Negative selection,0.32,,100.0
SRV,5,alternative,test,omega,Negative selection,0.519,,0.0
SRV,5,null,reference,omega,Diversifying selection,1.156,,0.0
SRV,5,null,reference,omega,Negative selection,0.309,,100.0
SRV,5,null,reference,omega,Negative selection,0.475,,0.0
SRV,5,null,test,omega,Diversifying selection,1.156,,0.0
SRV,5,null,test,omega,Negative selection,0.309,,100.0
SRV,5,null,test,omega,Negative selection,0.475,,0.0
SRV,6,alternative,reference,omega,Diversifying selection,1.602,,0.786
SRV,6,alternative,reference,omega,Negative selection,0.308,,98.463
SRV,6,alternative,reference,omega,Negative selection,0.312,,0.751
SRV,6,alternative,test,omega,Diversifying selection,136.54,,0.786
SRV,6,alternative,test,omega,Diversifying selection,1.602,,0.786
SRV,6,alternative,test,omega,Negative selection,0.0,,98.463
SRV,6,alternative,test,omega,Negative selection,0.0,,0.751
SRV,6,alternative,test,omega,Negative selection,0.308,,98.463
SRV,6,alternative,test,omega,Negative selection,0.312,,0.751
SRV,6,null,reference,omega,Diversifying selection,1.08,,0.0
