model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.388,44.606,SRV,1
null,2,0.794,48.711,SRV,1
null,3,6.586,6.682,SRV,1
null,1,0.183,0.0,SRV,2
null,2,0.589,93.117,SRV,2
null,3,6.566,6.883,SRV,2
null,1,0.206,0.0,SRV,3
null,2,0.588,93.094,SRV,3
null,3,6.554,6.906,SRV,3
null,1,0.588,93.107,SRV,4
null,2,6.562,6.893,SRV,4
null,3,7.362,0.0,SRV,4
null,1,0.003,0.0,SRV,5
null,2,0.179,75.865,SRV,5
null,3,3.581,24.135,SRV,5
null,1,0.517,77.525,SRV,6
null,2,0.977,15.693,SRV,6
null,3,6.571,6.781,SRV,6
null,1,0.145,59.497,SRV,7
null,2,1.616,35.352,SRV,7
null,3,6.65,5.151,SRV,7
null,1,0.588,93.103,SRV,8
null,2,1.817,0.0,SRV,8
null,3,6.56,6.897,SRV,8
null,1,0.215,0.0,SRV,9
null,2,0.589,93.149,SRV,9
null,3,6.586,6.851,SRV,9
null,1,0.574,79.02,SRV,10
null,2,0.699,14.268,SRV,10
null,3,6.653,6.712,SRV,10
