run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,1.066,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.212,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.242,,100.0
SRV,1,alternative,test,omega,Diversifying selection,1.076,,0.0
SRV,1,alternative,test,omega,Diversifying selection,1.066,,0.0
SRV,1,alternative,test,omega,Negative selection,0.168,,0.0
SRV,1,alternative,test,omega,Negative selection,0.196,,100.0
SRV,1,alternative,test,omega,Negative selection,0.212,,0.0
SRV,1,alternative,test,omega,Negative selection,0.242,,100.0
SRV,1,null,reference,omega,Diversifying selection,1.228,,0.0
SRV,1,null,reference,omega,Negative selection,0.203,,0.0
SRV,1,null,reference,omega,Negative selection,0.232,,100.0
SRV,1,null,test,omega,Diversifying selection,1.228,,0.0
SRV,1,null,test,omega,Negative selection,0.203,,0.0
SRV,1,null,test,omega,Negative selection,0.232,,100.0
SRV,2,alternative,reference,omega,Diversifying selection,1.113,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.121,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.242,,100.0
SRV,2,alternative,test,omega,Diversifying selection,1.13,,0.0
SRV,2,alternative,test,omega,Diversifying selection,1.113,,0.0
SRV,2,alternative,test,omega,Negative selection,0.089,,0.0
SRV,2,alternative,test,omega,Negative selection,0.196,,100.0
SRV,2,alternative,test,omega,Negative selection,0.121,,0.0
SRV,2,alternative,test,omega,Negative selection,0.242,,100.0
SRV,2,null,reference,omega,Diversifying selection,1.295,,0.0
SRV,2,null,reference,omega,Negative selection,0.097,,0.0
SRV,2,null,reference,omega,Negative selection,0.232,,100.0
SRV,2,null,test,omega,Diversifying selection,1.295,,0.0
SRV,2,null,test,omega,Negative selection,0.097,,0.0
SRV,2,null,test,omega,Negative selection,0.232,,100.0
SRV,3,alternative,reference,omega,Diversifying selection,1.013,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.087,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.242,,100.0
SRV,3,alternative,test,omega,Diversifying selection,1.015,,0.0
SRV,3,alternative,test,omega,Diversifying selection,1.013,,0.0
SRV,3,alternative,test,omega,Negative selection,0.061,,0.0
SRV,3,alternative,test,omega,Negative selection,0.197,,100.0
SRV,3,alternative,test,omega,Negative selection,0.087,,0.0
SRV,3,alternative,test,omega,Negative selection,0.242,,100.0
SRV,3,null,reference,omega,Diversifying selection,1.169,,0.0
SRV,3,null,reference,omega,Negative selection,0.106,,0.0
SRV,3,null,reference,omega,Negative selection,0.232,,100.0
SRV,3,null,test,omega,Diversifying selection,1.169,,0.0
SRV,3,null,test,omega,Negative selection,0.106,,0.0
SRV,3,null,test,omega,Negative selection,0.232,,100.0
SRV,4,alternative,reference,omega,Diversifying selection,1.002,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.0,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.242,,100.0
SRV,4,alternative,test,omega,Diversifying selection,1.002,,0.0
SRV,4,alternative,test,omega,Diversifying selection,1.002,,0.0
SRV,4,alternative,test,omega,Negative selection,0.0,,0.0
SRV,4,alternative,test,omega,Negative selection,0.196,,100.0
SRV,4,alternative,test,omega,Negative selection,0.0,,0.0
SRV,4,alternative,test,omega,Negative selection,0.242,,100.0
SRV,4,null,reference,omega,Diversifying selection,1.16,,0.0
SRV,4,null,reference,omega,Negative selection,0.001,,0.0
SRV,4,null,reference,omega,Negative selection,0.232,,100.0
SRV,4,null,test,omega,Diversifying selection,1.16,,0.0
SRV,4,null,test,omega,Negative selection,0.001,,0.0
SRV,4,null,test,omega,Negative selection,0.232,,100.0
SRV,5,alternative,reference,omega,Diversifying selection,1.152,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.09,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.242,,100.0
SRV,5,alternative,test,omega,Diversifying selection,1.176,,0.0
SRV,5,alternative,test,omega,Diversifying selection,1.152,,0.0
SRV,5,alternative,test,omega,Negative selection,0.063,,0.0
SRV,5,alternative,test,omega,Negative selection,0.196,,100.0
SRV,5,alternative,test,omega,Negative selection,0.09,,0.0
SRV,5,alternative,test,omega,Negative selection,0.242,,100.0
SRV,5,null,reference,omega,Diversifying selection,1.344,,0.0
SRV,5,null,reference,omega,Negative selection,0.105,,0.0
SRV,5,null,reference,omega,Negative selection,0.232,,100.0
SRV,5,null,test,omega,Diversifying selection,1.344,,0.0
SRV,5,null,test,omega,Negative selection,0.105,,0.0
SRV,5,null,test,omega,Negative selection,0.232,,100.0
SRV,6,alternative,reference,omega,Diversifying selection,1.01,,0.0
SRV,6,alternative,reference,omega,Negative selection,0.135,,0.0
SRV,6,alternative,reference,omega,Negative selection,0.242,,100.0
SRV,6,alternative,test,omega,Diversifying selection,1.011,,0.0
SRV,6,alternative,test,omega,Diversifying selection,1.01,,0.0
SRV,6,alternative,test,omega,Negative selection,0.1,,0.0
SRV,6,alternative,test,omega,Negative selection,0.196,,100.0
SRV,6,alternative,test,omega,Negative selection,0.135,,0.0
SRV,6,alternative,test,omega,Negative selection,0.242,,100.0
SRV,6,null,reference,omega,Diversifying selection,1.165,,0.0
SRV,6,null,reference,omega,Negative selection,0.096,,0.0
SRV,6,null,reference,omega,Negative selection,0.232,,100.0
SRV,6,null,test,omega,Diversifying selection,1.165,,0.0
SRV,6,null,test,omega,Negative selection,0.096,,0.0
SRV,6,null,test,omega,Negative selection,0.232,,100.0
SRV,7,alternative,reference,omega,Diversifying selection,1.013,,0.0
SRV,7,alternative,reference,omega,Negative selection,0.07,,0.0
SRV,7,alternative,reference,omega,Negative selection,0.242,,100.0
SRV,7,alternative,test,omega,Diversifying selection,1.015,,0.0
SRV,7,alternative,test,omega,Diversifying selection,1.013,,0.0
SRV,7,alternative,test,omega,Negative selection,0.047,,0.0
SRV,7,alternative,test,omega,Negative selection,0.196,,100.0
SRV,7,alternative,test,omega,Negative selection,0.07,,0.0
SRV,7,alternative,test,omega,Negative selection,0.242,,100.0
SRV,7,null,reference,omega,Diversifying selection,1.169,,0.0
SRV,7,null,reference,omega,Negative selection,0.104,,0.0
SRV,7,null,reference,omega,Negative selection,0.232,,100.0
SRV,7,null,test,omega,Diversifying selection,1.169,,0.0
SRV,7,null,test,omega,Negative selection,0.104,,0.0
SRV,7,null,test,omega,Negative selection,0.232,,100.0
SRV,8,alternative,reference,omega,Diversifying selection,1.192,,0.0
SRV,8,alternative,reference,omega,Negative selection,0.101,,0.0
SRV,8,alternative,reference,omega,Negative selection,0.242,,100.0
SRV,8,alternative,test,omega,Diversifying selection,1.223,,0.0
SRV,8,alternative,test,omega,Diversifying selection,1.192,,0.0
SRV,8,alternative,test,omega,Negative selection,0.072,,0.0
SRV,8,alternative,test,omega,Negative selection,0.196,,100.0
SRV,8,alternative,test,omega,Negative selection,0.101,,0.0
SRV,8,alternative,test,omega,Negative selection,0.242,,100.0
SRV,8,null,reference,omega,Diversifying selection,1.171,,0.0
SRV,8,null,reference,omega,Negative selection,0.107,,0.0
SRV,8,null,reference,omega,Negative selection,0.232,,100.0
SRV,8,null,test,omega,Diversifying selection,1.171,,0.0
SRV,8,null,test,omega,Negative selection,0.107,,0.0
SRV,8,null,test,omega,Negative selection,0.232,,100.0
SRV,9,alternative,reference,omega,Diversifying selection,1.088,,0.0
SRV,9,alternative,reference,omega,Negative selection,0.088,,0.0
SRV,9,alternative,reference,omega,Negative selection,0.242,,100.0
SRV,9,alternative,test,omega,Diversifying selection,1.102,,0.0
SRV,9,alternative,test,omega,Diversifying selection,1.088,,0.0
SRV,9,alternative,test,omega,Negative selection,0.061,,0.0
SRV,9,alternative,test,omega,Negative selection,0.196,,100.0
SRV,9,alternative,test,omega,Negative selection,0.088,,0.0
SRV,9,alternative,test,omega,Negative selection,0.242,,100.0
SRV,9,null,reference,omega,Diversifying selection,1.263,,0.0
SRV,9,null,reference,omega,Negative selection,0.107,,0.0
SRV,9,null,reference,omega,Negative selection,0.232,,100.0
SRV,9,null,test,omega,Diversifying selection,1.263,,0.0
SRV,9,null,test,omega,Negative selection,0.107,,0.0
SRV,9,null,test,omega,Negative selection,0.232,,100.0
SRV,10,alternative,reference,omega,Diversifying selection,1.335,,0.0
SRV,10,alternative,reference,omega,Negative selection,0.185,,0.0
SRV,10,alternative,reference,omega,Negative selection,0.242,,100.0
SRV,10,alternative,test,omega,Diversifying selection,1.393,,0.0
SRV,10,alternative,test,omega,Diversifying selection,1.335,,0.0
SRV,10,alternative,test,omega,Negative selection,0.144,,0.0
SRV,10,alternative,test,omega,Negative selection,0.196,,100.0
SRV,10,alternative,test,omega,Negative selection,0.185,,0.0
SRV,10,alternative,test,omega,Negative selection,0.242,,100.0
SRV,10,null,reference,omega,Diversifying selection,1.31,,0.0
SRV,10,null,reference,omega,Negative selection,0.109,,0.0
SRV,10,null,reference,omega,Negative selection,0.232,,100.0
SRV,10,null,test,omega,Diversifying selection,1.31,,0.0
SRV,10,null,test,omega,Negative selection,0.109,,0.0
SRV,10,null,test,omega,Negative selection,0.232,,100.0
SRV+Double,1,alternative,reference,omega,Negative selection,0.0,,2.608
SRV+Double,1,alternative,reference,omega,Negative selection,0.0,,72.935
SRV+Double,1,alternative,reference,omega,Neutral evolution,1.0,,24.457
SRV+Double,1,alternative,test,omega,Negative selection,0.0,,2.608
SRV+Double,1,alternative,test,omega,Negative selection,0.0,,72.935
SRV+Double,1,alternative,test,omega,Negative selection,0.0,,2.608
SRV+Double,1,alternative,test,omega,Negative selection,0.0,,72.935
SRV+Double,1,alternative,test,omega,Neutral evolution,1.0,,24.457
SRV+Double,1,alternative,test,omega,Neutral evolution,1.0,,24.457
SRV+Double,1,null,reference,omega,Diversifying selection,1.071,,0.0
SRV+Double,1,null,reference,omega,Negative selection,0.132,,0.0
SRV+Double,1,null,reference,omega,Negative selection,0.232,,100.0
SRV+Double,1,null,test,omega,Diversifying selection,1.071,,0.0
SRV+Double,1,null,test,omega,Negative selection,0.132,,0.0
SRV+Double,1,null,test,omega,Negative selection,0.232,,100.0
SRV+Double,2,alternative,reference,omega,Diversifying selection,1.121,,0.0
SRV+Double,2,alternative,reference,omega,Negative selection,0.212,,39.318
SRV+Double,2,alternative,reference,omega,Negative selection,0.261,,60.682
SRV+Double,2,alternative,test,omega,Diversifying selection,1.14,,0.0
SRV+Double,2,alternative,test,omega,Diversifying selection,1.121,,0.0
SRV+Double,2,alternative,test,omega,Negative selection,0.169,,39.318
SRV+Double,2,alternative,test,omega,Negative selection,0.214,,60.682
SRV+Double,2,alternative,test,omega,Negative selection,0.212,,39.318
SRV+Double,2,alternative,test,omega,Negative selection,0.261,,60.682
SRV+Double,2,null,reference,omega,Diversifying selection,1.3,,0.0
SRV+Double,2,null,reference,omega,Negative selection,0.218,,50.584
SRV+Double,2,null,reference,omega,Negative selection,0.246,,49.416
SRV+Double,2,null,test,omega,Diversifying selection,1.3,,0.0
SRV+Double,2,null,test,omega,Negative selection,0.218,,50.584
SRV+Double,2,null,test,omega,Negative selection,0.246,,49.416
SRV+Double,3,alternative,reference,omega,Diversifying selection,1.015,,0.0
SRV+Double,3,alternative,reference,omega,Negative selection,0.209,,27.895
SRV+Double,3,alternative,reference,omega,Negative selection,0.255,,72.105
SRV+Double,3,alternative,test,omega,Diversifying selection,1.017,,0.0
SRV+Double,3,alternative,test,omega,Diversifying selection,1.015,,0.0
SRV+Double,3,alternative,test,omega,Negative selection,0.165,,27.895
SRV+Double,3,alternative,test,omega,Negative selection,0.208,,72.105
SRV+Double,3,alternative,test,omega,Negative selection,0.209,,27.895
SRV+Double,3,alternative,test,omega,Negative selection,0.255,,72.105
SRV+Double,3,null,reference,omega,Diversifying selection,1.165,,0.0
SRV+Double,3,null,reference,omega,Negative selection,0.217,,41.529
SRV+Double,3,null,reference,omega,Negative selection,0.242,,58.471
SRV+Double,3,null,test,omega,Diversifying selection,1.165,,0.0
SRV+Double,3,null,test,omega,Negative selection,0.217,,41.529
SRV+Double,3,null,test,omega,Negative selection,0.242,,58.471
SRV+Double,4,alternative,reference,omega,Diversifying selection,1.16,,0.0
SRV+Double,4,alternative,reference,omega,Negative selection,0.206,,28.738
SRV+Double,4,alternative,reference,omega,Negative selection,0.257,,71.262
SRV+Double,4,alternative,test,omega,Diversifying selection,1.186,,0.0
SRV+Double,4,alternative,test,omega,Diversifying selection,1.16,,0.0
SRV+Double,4,alternative,test,omega,Negative selection,0.163,,28.738
SRV+Double,4,alternative,test,omega,Negative selection,0.21,,71.262
SRV+Double,4,alternative,test,omega,Negative selection,0.206,,28.738
SRV+Double,4,alternative,test,omega,Negative selection,0.257,,71.262
SRV+Double,4,null,reference,omega,Diversifying selection,1.349,,0.0
SRV+Double,4,null,reference,omega,Negative selection,0.215,,40.3
SRV+Double,4,null,reference,omega,Negative selection,0.243,,59.7
SRV+Double,4,null,test,omega,Diversifying selection,1.349,,0.0
SRV+Double,4,null,test,omega,Negative selection,0.215,,40.3
SRV+Double,4,null,test,omega,Negative selection,0.243,,59.7
SRV+Double,5,alternative,reference,omega,Diversifying selection,1.386,,0.0
SRV+Double,5,alternative,reference,omega,Negative selection,0.22,,13.613
SRV+Double,5,alternative,reference,omega,Negative selection,0.246,,86.387
SRV+Double,5,alternative,test,omega,Diversifying selection,1.454,,0.0
SRV+Double,5,alternative,test,omega,Diversifying selection,1.386,,0.0
SRV+Double,5,alternative,test,omega,Negative selection,0.176,,13.613
SRV+Double,5,alternative,test,omega,Negative selection,0.2,,86.387
SRV+Double,5,alternative,test,omega,Negative selection,0.22,,13.613
SRV+Double,5,alternative,test,omega,Negative selection,0.246,,86.387
SRV+Double,5,null,reference,omega,Diversifying selection,1.352,,0.0
SRV+Double,5,null,reference,omega,Negative selection,0.227,,21.138
SRV+Double,5,null,reference,omega,Negative selection,0.233,,78.862
SRV+Double,5,null,test,omega,Diversifying selection,1.352,,0.0
SRV+Double,5,null,test,omega,Negative selection,0.227,,21.138
SRV+Double,5,null,test,omega,Negative selection,0.233,,78.862
SRV+Double,6,alternative,reference,omega,Diversifying selection,1.012,,24.233
SRV+Double,6,alternative,reference,omega,Negative selection,0.0,,75.767
SRV+Double,6,alternative,reference,omega,Negative selection,0.0,,0.0
SRV+Double,6,alternative,test,omega,Diversifying selection,1.0,,24.233
SRV+Double,6,alternative,test,omega,Diversifying selection,1.012,,24.233
SRV+Double,6,alternative,test,omega,Negative selection,0.0,,75.767
SRV+Double,6,alternative,test,omega,Negative selection,0.996,,0.0
SRV+Double,6,alternative,test,omega,Negative selection,0.0,,75.767
SRV+Double,6,alternative,test,omega,Negative selection,0.0,,0.0
SRV+Double,6,null,reference,omega,Diversifying selection,1.063,,0.0
SRV+Double,6,null,reference,omega,Negative selection,0.0,,0.0
SRV+Double,6,null,reference,omega,Negative selection,0.232,,100.0
SRV+Double,6,null,test,omega,Diversifying selection,1.063,,0.0
SRV+Double,6,null,test,omega,Negative selection,0.0,,0.0
SRV+Double,6,null,test,omega,Negative selection,0.232,,100.0
SRV+Double,7,alternative,reference,omega,Diversifying selection,2.887,,0.0
SRV+Double,7,alternative,reference,omega,Negative selection,0.242,,100.0
SRV+Double,7,alternative,reference,omega,Negative selection,0.245,,0.0
SRV+Double,7,alternative,test,omega,Diversifying selection,3.379,,0.0
SRV+Double,7,alternative,test,omega,Diversifying selection,2.887,,0.0
SRV+Double,7,alternative,test,omega,Negative selection,0.196,,100.0
SRV+Double,7,alternative,test,omega,Negative selection,0.199,,0.0
SRV+Double,7,alternative,test,omega,Negative selection,0.242,,100.0
SRV+Double,7,alternative,test,omega,Negative selection,0.245,,0.0
SRV+Double,7,null,reference,omega,Diversifying selection,2.166,,0.0
SRV+Double,7,null,reference,omega,Negative selection,0.226,,0.0
