run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,4.841,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.145,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.275,,100.0
SRV,1,alternative,test,omega,Diversifying selection,4.841,,0.0
SRV,1,alternative,test,omega,Negative selection,0.0,,0.0
SRV,1,alternative,test,omega,Negative selection,0.0,,100.0
SRV,1,alternative,test,omega,Negative selection,0.145,,0.0
SRV,1,alternative,test,omega,Negative selection,0.275,,100.0
SRV,1,null,reference,omega,Diversifying selection,1.364,,0.0
SRV,1,null,reference,omega,Negative selection,0.114,,0.0
SRV,1,null,reference,omega,Negative selection,0.268,,100.0
SRV,1,null,test,omega,Diversifying selection,1.364,,0.0
SRV,1,null,test,omega,Negative selection,0.114,,0.0
SRV,1,null,test,omega,Negative selection,0.268,,100.0
SRV,2,alternative,reference,omega,Diversifying selection,3.54,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.001,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.275,,100.0
SRV,2,alternative,test,omega,Diversifying selection,3.54,,0.0
SRV,2,alternative,test,omega,Negative selection,0.0,,0.0
SRV,2,alternative,test,omega,Negative selection,0.0,,100.0
SRV,2,alternative,test,omega,Negative selection,0.001,,0.0
SRV,2,alternative,test,omega,Negative selection,0.275,,100.0
SRV,2,null,reference,omega,Diversifying selection,1.288,,0.0
SRV,2,null,reference,omega,Negative selection,0.003,,0.0
SRV,2,null,reference,omega,Negative selection,0.268,,100.0
SRV,2,null,test,omega,Diversifying selection,1.288,,0.0
SRV,2,null,test,omega,Negative selection,0.003,,0.0
SRV,2,null,test,omega,Negative selection,0.268,,100.0
SRV,3,alternative,reference,omega,Diversifying selection,6.251,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.001,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.276,,100.0
SRV,3,alternative,test,omega,Diversifying selection,6.251,,0.0
SRV,3,alternative,test,omega,Negative selection,0.0,,0.0
SRV,3,alternative,test,omega,Negative selection,0.0,,100.0
