replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.3014,1.48,-4952.3,9982.97,39,-4952.83,9982.02,38,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.3013,1.48,-4952.3,9982.97,39,-4952.83,9982.02,38,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.3013,1.48,-4952.3,9982.97,39,-4952.83,9982.02,38,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.3013,1.48,-4952.3,9982.97,39,-4952.83,9982.02,38,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.3014,1.48,-4952.3,9982.97,39,-4952.83,9982.02,38,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.3013,1.48,-4952.3,9982.97,39,-4952.83,9982.02,38,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.3012,1.48,-4952.3,9982.97,39,-4952.83,9982.02,38,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.3014,1.48,-4952.3,9982.97,39,-4952.83,9982.02,38,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.3014,1.48,-4952.3,9982.97,39,-4952.83,9982.02,38,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.3011,1.48,-4952.3,9982.97,39,-4952.83,9982.02,38,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.3018,1.48,-4952.3,9987.01,41,-4952.83,9986.06,40,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.3014,1.48,-4952.3,9987.01,41,-4952.83,9986.06,40,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.3013,1.48,-4952.3,9987.01,41,-4952.83,9986.06,40,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.3021,1.48,-4952.3,9987.01,41,-4952.83,9986.06,40,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.3017,1.48,-4952.3,9987.01,41,-4952.83,9986.06,40,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.3014,1.48,-4952.3,9987.01,41,-4952.83,9986.06,40,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.3018,1.48,-4952.3,9987.01,41,-4952.83,9986.06,40,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.3013,1.48,-4952.3,9987.01,41,-4952.83,9986.06,40,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.302,1.48,-4952.3,9987.01,41,-4952.83,9986.06,40,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.3022,1.48,-4952.3,9987.01,41,-4952.83,9986.06,40,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.3012,1.48,-4952.3,9991.05,43,-4952.83,9990.1,42,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.3012,1.48,-4952.3,9991.05,43,-4952.83,9990.1,42,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.4589,0.0,-4953.76,9993.97,43,-4952.83,9990.1,42,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.3014,1.48,-4952.3,9991.05,43,-4952.83,9990.1,42,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.3013,1.48,-4952.3,9991.05,43,-4952.83,9990.1,42,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.3012,1.48,-4952.3,9991.05,43,-4952.83,9990.1,42,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.3013,1.48,-4952.3,9991.05,43,-4952.83,9990.1,42,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.3012,1.48,-4952.3,9991.05,43,-4952.83,9990.1,42,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.3012,1.48,-4952.3,9991.05,43,-4952.83,9990.1,42,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.3013,1.48,-4952.3,9991.05,43,-4952.83,9990.1,42,0.2444,0.1245,Convergence/flat likelihood; Collapsed rate class
