model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.233,5.438,SRV,1
alternative,reference,Negative selection,0.165,29.535,SRV,1
alternative,reference,Negative selection,0.171,65.027,SRV,1
alternative,test,Diversifying selection,17.487,5.438,SRV,1
alternative,test,Diversifying selection,1.233,5.438,SRV,1
alternative,test,Negative selection,0.0,29.535,SRV,1
alternative,test,Negative selection,0.0,65.027,SRV,1
alternative,test,Negative selection,0.165,29.535,SRV,1
alternative,test,Negative selection,0.171,65.027,SRV,1
null,reference,Diversifying selection,1.002,0.0,SRV,1
null,reference,Negative selection,0.231,100.0,SRV,1
null,reference,Negative selection,0.718,0.0,SRV,1
null,test,Diversifying selection,1.002,0.0,SRV,1
null,test,Negative selection,0.231,100.0,SRV,1
null,test,Negative selection,0.718,0.0,SRV,1
alternative,reference,Diversifying selection,1.166,0.0,SRV,2
alternative,reference,Negative selection,0.09,0.0,SRV,2
alternative,reference,Negative selection,0.221,100.0,SRV,2
alternative,test,Diversifying selection,1.002,0.0,SRV,2
alternative,test,Diversifying selection,1.166,0.0,SRV,2
alternative,test,Negative selection,0.97,0.0,SRV,2
alternative,test,Negative selection,0.981,100.0,SRV,2
alternative,test,Negative selection,0.09,0.0,SRV,2
alternative,test,Negative selection,0.221,100.0,SRV,2
null,reference,Diversifying selection,1.355,0.0,SRV,2
null,reference,Negative selection,0.082,0.0,SRV,2
null,reference,Negative selection,0.232,100.0,SRV,2
null,test,Diversifying selection,1.355,0.0,SRV,2
null,test,Negative selection,0.082,0.0,SRV,2
null,test,Negative selection,0.232,100.0,SRV,2
alternative,reference,Diversifying selection,1.043,22.561,SRV,3
alternative,reference,Negative selection,0.0,0.015,SRV,3
alternative,reference,Negative selection,0.0,77.424,SRV,3
alternative,test,Diversifying selection,4.065,22.561,SRV,3
alternative,test,Diversifying selection,1.043,22.561,SRV,3
alternative,test,Negative selection,0.0,0.015,SRV,3
alternative,test,Negative selection,0.0,77.424,SRV,3
alternative,test,Negative selection,0.0,0.015,SRV,3
alternative,test,Negative selection,0.0,77.424,SRV,3
null,reference,Diversifying selection,1.002,0.0,SRV,3
null,reference,Negative selection,0.218,76.589,SRV,3
null,reference,Negative selection,0.275,23.411,SRV,3
null,test,Diversifying selection,1.002,0.0,SRV,3
null,test,Negative selection,0.218,76.589,SRV,3
null,test,Negative selection,0.275,23.411,SRV,3
alternative,reference,Diversifying selection,1.011,0.0,SRV,4
alternative,reference,Negative selection,0.156,0.0,SRV,4
alternative,reference,Negative selection,0.221,100.0,SRV,4
alternative,test,Diversifying selection,1.0,0.0,SRV,4
alternative,test,Diversifying selection,1.011,0.0,SRV,4
alternative,test,Negative selection,0.98,0.0,SRV,4
alternative,test,Negative selection,0.984,100.0,SRV,4
alternative,test,Negative selection,0.156,0.0,SRV,4
alternative,test,Negative selection,0.221,100.0,SRV,4
null,reference,Diversifying selection,1.163,0.0,SRV,4
null,reference,Negative selection,0.143,0.0,SRV,4
null,reference,Negative selection,0.231,100.0,SRV,4
null,test,Diversifying selection,1.163,0.0,SRV,4
null,test,Negative selection,0.143,0.0,SRV,4
null,test,Negative selection,0.231,100.0,SRV,4
alternative,reference,Diversifying selection,1.059,0.0,SRV,5
alternative,reference,Negative selection,0.081,0.0,SRV,5
alternative,reference,Negative selection,0.221,100.0,SRV,5
alternative,test,Diversifying selection,1.001,0.0,SRV,5
alternative,test,Diversifying selection,1.059,0.0,SRV,5
alternative,test,Negative selection,0.961,0.0,SRV,5
alternative,test,Negative selection,0.977,100.0,SRV,5
alternative,test,Negative selection,0.081,0.0,SRV,5
alternative,test,Negative selection,0.221,100.0,SRV,5
null,reference,Diversifying selection,1.221,0.0,SRV,5
null,reference,Negative selection,0.074,0.0,SRV,5
null,reference,Negative selection,0.231,100.0,SRV,5
null,test,Diversifying selection,1.221,0.0,SRV,5
null,test,Negative selection,0.074,0.0,SRV,5
null,test,Negative selection,0.231,100.0,SRV,5
alternative,reference,Diversifying selection,1.006,0.0,SRV,6
alternative,reference,Negative selection,0.193,0.0,SRV,6
alternative,reference,Negative selection,0.221,100.0,SRV,6
alternative,test,Diversifying selection,1.0,0.0,SRV,6
alternative,test,Diversifying selection,1.006,0.0,SRV,6
alternative,test,Negative selection,0.979,0.0,SRV,6
alternative,test,Negative selection,0.981,100.0,SRV,6
alternative,test,Negative selection,0.193,0.0,SRV,6
alternative,test,Negative selection,0.221,100.0,SRV,6
null,reference,Diversifying selection,1.155,0.0,SRV,6
null,reference,Negative selection,0.177,0.0,SRV,6
null,reference,Negative selection,0.232,100.0,SRV,6
null,test,Diversifying selection,1.155,0.0,SRV,6
null,test,Negative selection,0.177,0.0,SRV,6
null,test,Negative selection,0.232,100.0,SRV,6
alternative,reference,Diversifying selection,1.008,0.0,SRV,7
