run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,1.002,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.0,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.233,,100.0
SRV,1,alternative,test,omega,Diversifying selection,1.002,,0.0
SRV,1,alternative,test,omega,Diversifying selection,1.002,,0.0
SRV,1,alternative,test,omega,Negative selection,0.0,,0.0
SRV,1,alternative,test,omega,Negative selection,0.209,,100.0
SRV,1,alternative,test,omega,Negative selection,0.0,,0.0
SRV,1,alternative,test,omega,Negative selection,0.233,,100.0
SRV,1,null,reference,omega,Diversifying selection,1.164,,0.0
SRV,1,null,reference,omega,Negative selection,0.001,,0.0
SRV,1,null,reference,omega,Negative selection,0.232,,100.0
SRV,1,null,test,omega,Diversifying selection,1.164,,0.0
SRV,1,null,test,omega,Negative selection,0.001,,0.0
SRV,1,null,test,omega,Negative selection,0.232,,100.0
SRV,2,alternative,reference,omega,Diversifying selection,1.007,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.172,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.233,,100.0
SRV,2,alternative,test,omega,Diversifying selection,1.008,,0.0
SRV,2,alternative,test,omega,Diversifying selection,1.007,,0.0
SRV,2,alternative,test,omega,Negative selection,0.15,,0.0
SRV,2,alternative,test,omega,Negative selection,0.208,,100.0
SRV,2,alternative,test,omega,Negative selection,0.172,,0.0
SRV,2,alternative,test,omega,Negative selection,0.233,,100.0
SRV,2,null,reference,omega,Diversifying selection,1.171,,0.0
SRV,2,null,reference,omega,Negative selection,0.159,,0.0
SRV,2,null,reference,omega,Negative selection,0.232,,100.0
SRV,2,null,test,omega,Diversifying selection,1.171,,0.0
SRV,2,null,test,omega,Negative selection,0.159,,0.0
SRV,2,null,test,omega,Negative selection,0.232,,100.0
SRV,3,alternative,reference,omega,Diversifying selection,1.062,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.135,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.233,,100.0
SRV,3,alternative,test,omega,Diversifying selection,1.067,,0.0
SRV,3,alternative,test,omega,Diversifying selection,1.062,,0.0
SRV,3,alternative,test,omega,Negative selection,0.116,,0.0
SRV,3,alternative,test,omega,Negative selection,0.208,,100.0
SRV,3,alternative,test,omega,Negative selection,0.135,,0.0
SRV,3,alternative,test,omega,Negative selection,0.233,,100.0
SRV,3,null,reference,omega,Diversifying selection,1.24,,0.0
SRV,3,null,reference,omega,Negative selection,0.125,,0.0
SRV,3,null,reference,omega,Negative selection,0.232,,100.0
SRV,3,null,test,omega,Diversifying selection,1.24,,0.0
SRV,3,null,test,omega,Negative selection,0.125,,0.0
SRV,3,null,test,omega,Negative selection,0.232,,100.0
SRV,4,alternative,reference,omega,Diversifying selection,1.031,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.157,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.233,,100.0
SRV,4,alternative,test,omega,Diversifying selection,1.034,,0.0
SRV,4,alternative,test,omega,Diversifying selection,1.031,,0.0
SRV,4,alternative,test,omega,Negative selection,0.136,,0.0
SRV,4,alternative,test,omega,Negative selection,0.208,,100.0
SRV,4,alternative,test,omega,Negative selection,0.157,,0.0
SRV,4,alternative,test,omega,Negative selection,0.233,,100.0
SRV,4,null,reference,omega,Diversifying selection,1.201,,0.0
SRV,4,null,reference,omega,Negative selection,0.145,,0.0
SRV,4,null,reference,omega,Negative selection,0.232,,100.0
SRV,4,null,test,omega,Diversifying selection,1.201,,0.0
SRV,4,null,test,omega,Negative selection,0.145,,0.0
SRV,4,null,test,omega,Negative selection,0.232,,100.0
SRV,5,alternative,reference,omega,Diversifying selection,1.088,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.198,,0.329
SRV,5,alternative,reference,omega,Negative selection,0.233,,99.671
SRV,5,alternative,test,omega,Diversifying selection,1.096,,0.0
SRV,5,alternative,test,omega,Diversifying selection,1.088,,0.0
SRV,5,alternative,test,omega,Negative selection,0.175,,0.329
SRV,5,alternative,test,omega,Negative selection,0.208,,99.671
SRV,5,alternative,test,omega,Negative selection,0.198,,0.329
SRV,5,alternative,test,omega,Negative selection,0.233,,99.671
SRV,5,null,reference,omega,Diversifying selection,1.265,,0.0
SRV,5,null,reference,omega,Negative selection,0.212,,0.427
SRV,5,null,reference,omega,Negative selection,0.232,,99.573
SRV,5,null,test,omega,Diversifying selection,1.265,,0.0
SRV,5,null,test,omega,Negative selection,0.212,,0.427
SRV,5,null,test,omega,Negative selection,0.232,,99.573
SRV,6,alternative,reference,omega,Diversifying selection,1.105,,0.0
SRV,6,alternative,reference,omega,Negative selection,0.188,,1.836
SRV,6,alternative,reference,omega,Negative selection,0.234,,98.164
SRV,6,alternative,test,omega,Diversifying selection,1.113,,0.0
SRV,6,alternative,test,omega,Diversifying selection,1.105,,0.0
SRV,6,alternative,test,omega,Negative selection,0.165,,1.836
SRV,6,alternative,test,omega,Negative selection,0.209,,98.164
SRV,6,alternative,test,omega,Negative selection,0.188,,1.836
SRV,6,alternative,test,omega,Negative selection,0.234,,98.164
SRV,6,null,reference,omega,Diversifying selection,1.286,,0.0
SRV,6,null,reference,omega,Negative selection,0.208,,2.574
SRV,6,null,reference,omega,Negative selection,0.233,,97.426
SRV,6,null,test,omega,Diversifying selection,1.286,,0.0
SRV,6,null,test,omega,Negative selection,0.208,,2.574
SRV,6,null,test,omega,Negative selection,0.233,,97.426
SRV,7,alternative,reference,omega,Diversifying selection,1.024,,0.0
SRV,7,alternative,reference,omega,Negative selection,0.049,,0.0
SRV,7,alternative,reference,omega,Negative selection,0.233,,100.0
SRV,7,alternative,test,omega,Diversifying selection,1.025,,0.0
SRV,7,alternative,test,omega,Diversifying selection,1.024,,0.0
SRV,7,alternative,test,omega,Negative selection,0.039,,0.0
SRV,7,alternative,test,omega,Negative selection,0.208,,100.0
