replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.8862,1.08,-4952.82,9984.02,39,-4952.83,9982.02,38,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.8868,1.08,-4952.82,9984.02,39,-4952.83,9982.02,38,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.8868,1.08,-4952.82,9984.02,39,-4952.83,9982.02,38,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.8868,1.08,-4952.82,9984.02,39,-4952.83,9982.02,38,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.8867,1.08,-4952.82,9984.02,39,-4952.83,9982.02,38,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.8878,1.08,-4952.82,9984.02,39,-4952.83,9982.02,38,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.8881,1.08,-4952.82,9984.02,39,-4952.83,9982.02,38,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.8869,1.08,-4952.82,9984.02,39,-4952.83,9982.02,38,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.8873,1.08,-4952.82,9984.02,39,-4952.83,9982.02,38,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.983,1.08,-4952.82,9986.03,40,-4952.82,9984.02,39,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.8926,1.08,-4952.82,9988.06,41,-4952.83,9986.06,40,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.8905,1.08,-4952.82,9988.06,41,-4952.83,9986.06,40,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,1.0,13.96,-4953.03,9988.47,41,-4952.83,9986.06,40,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.8928,1.08,-4952.82,9988.06,41,-4952.83,9986.06,40,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.8914,1.08,-4952.82,9988.06,41,-4952.83,9986.06,40,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,1.0,0.91,-4952.82,9990.08,42,-4952.82,9988.06,41,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.8861,1.08,-4952.82,9988.05,41,-4952.83,9986.06,40,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,1.0,50.0,-4953.0,9988.42,41,-4952.83,9986.06,40,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.894,1.08,-4952.82,9988.06,41,-4952.83,9986.06,40,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.8939,1.08,-4952.82,9988.06,41,-4952.83,9986.06,40,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.8867,1.08,-4952.82,9992.1,43,-4952.83,9990.1,42,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.8866,1.08,-4952.82,9992.1,43,-4952.83,9990.1,42,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.8904,1.08,-4952.82,9992.1,43,-4952.83,9990.1,42,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.892,1.08,-4952.82,9992.1,43,-4952.83,9990.1,42,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.8886,1.08,-4952.82,9992.1,43,-4952.83,9990.1,42,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.887,1.08,-4952.82,9992.1,43,-4952.83,9990.1,42,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.8868,1.08,-4952.82,9992.1,43,-4952.83,9990.1,42,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.887,1.08,-4952.82,9992.1,43,-4952.83,9990.1,42,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,1.0,50.0,-4953.02,9992.5,43,-4952.83,9990.1,42,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,0.8863,1.07,-4952.82,9994.12,44,-4952.83,9992.12,43,0.2363,0.2082,Convergence/flat likelihood; Collapsed rate class
