replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.1133,2.71,-7900.04,15914.48,57,-7901.3,15914.98,56,0.2372,0.0551,Convergence/flat likelihood
2,SRV,0.1132,2.71,-7900.04,15914.48,57,-7901.3,15914.98,56,0.2372,0.0551,Convergence/flat likelihood
3,SRV,0.1132,2.72,-7900.04,15914.48,57,-7901.3,15914.98,56,0.2372,0.0551,Convergence/flat likelihood
4,SRV,0.1132,0.0,-7904.02,15922.43,57,-7901.3,15914.98,56,0.2372,0.0551,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.1262,50.0,-7900.13,15914.65,57,-7901.3,15914.98,56,0.2373,0.055,Convergence/flat likelihood
6,SRV,0.1151,2.93,-7900.13,15914.66,57,-7901.38,15915.13,56,0.2372,0.0551,Convergence/flat likelihood
7,SRV,0.1132,2.71,-7900.04,15914.48,57,-7901.3,15914.98,56,0.2372,0.0551,Convergence/flat likelihood
8,SRV,0.1255,50.0,-7900.12,15914.64,57,-7901.3,15914.98,56,0.2371,0.0551,Convergence/flat likelihood
9,SRV,0.1148,2.88,-7900.06,15914.52,57,-7901.3,15914.99,56,0.2372,0.0551,Convergence/flat likelihood
10,SRV,0.1169,17.45,-7900.42,15915.23,57,-7901.65,15915.67,56,0.2372,0.0551,Convergence/flat likelihood
1,SRV+Double,0.1171,0.0,-7904.02,15926.46,59,-7901.63,15919.66,58,0.2372,0.0551,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.1247,50.0,-7900.12,15918.66,59,-7901.3,15919.01,58,0.2372,0.0551,Convergence/flat likelihood
3,SRV+Double,0.1132,2.72,-7900.04,15918.51,59,-7901.3,15919.01,58,0.2373,0.055,Convergence/flat likelihood
4,SRV+Double,0.1178,3.05,-7900.14,15918.71,59,-7901.37,15919.14,58,0.2372,0.0551,Convergence/flat likelihood
5,SRV+Double,0.1132,2.72,-7900.04,15918.51,59,-7901.3,15919.01,58,0.2372,0.0551,Convergence/flat likelihood
6,SRV+Double,0.1132,2.72,-7900.04,15918.51,59,-7901.3,15919.01,58,0.2372,0.0551,Convergence/flat likelihood
7,SRV+Double,0.1132,2.72,-7900.04,15918.51,59,-7901.3,15919.01,58,0.2373,0.055,Convergence/flat likelihood
8,SRV+Double,0.1132,2.71,-7900.04,15918.51,59,-7901.3,15919.01,58,0.2372,0.0551,Convergence/flat likelihood
9,SRV+Double,0.1138,2.9,-7900.12,15918.66,59,-7901.37,15919.14,58,0.2373,0.055,Convergence/flat likelihood
10,SRV+Double,0.1283,50.0,-7900.14,15918.71,59,-7901.3,15919.01,58,0.2372,0.0551,Convergence/flat likelihood
1,SRV+Double+Triple,0.1191,0.0,-7903.83,15930.12,61,-7900.97,15922.37,60,0.2372,0.0551,Convergence/flat likelihood
2,SRV+Double+Triple,0.1187,0.0,-7903.83,15930.11,61,-7900.96,15922.36,60,0.2372,0.0551,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.1264,50.0,-7899.79,15922.03,61,-7900.96,15922.35,60,0.2372,0.0551,Convergence/flat likelihood
4,SRV+Double+Triple,0.1274,50.0,-7899.8,15922.05,61,-7900.96,15922.35,60,0.2372,0.0551,Convergence/flat likelihood
5,SRV+Double+Triple,0.1148,2.6,-7899.71,15921.88,61,-7900.96,15922.35,60,0.2372,0.0551,Convergence/flat likelihood
6,SRV+Double+Triple,0.1233,17.49,-7899.77,15922.0,61,-7900.96,15922.36,60,0.2372,0.0551,Convergence/flat likelihood
7,SRV+Double+Triple,1.0,19.41,-7899.85,15924.17,62,-7899.81,15922.07,61,0.2372,0.0551,Convergence/flat likelihood
8,SRV+Double+Triple,0.1281,50.0,-7899.8,15922.05,61,-7900.96,15922.35,60,0.2372,0.0551,Convergence/flat likelihood
9,SRV+Double+Triple,0.1149,2.69,-7899.72,15921.9,61,-7900.97,15922.37,60,0.2372,0.0551,Convergence/flat likelihood
10,SRV+Double+Triple,0.1154,18.17,-7900.07,15922.59,61,-7901.31,15923.06,60,0.2372,0.0551,Convergence/flat likelihood; Collapsed rate class
