replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.3448,0.46,-4601.91,9290.24,43,-4602.36,9289.11,42,0.2602,0.5462,Convergence/flat likelihood; Collapsed rate class
2,SRV,0.4124,0.53,-4602.83,9288.04,41,-4603.17,9286.7,40,0.2594,0.4856,Convergence/flat likelihood; Collapsed rate class
3,SRV,0.4125,0.53,-4602.83,9288.04,41,-4603.17,9286.7,40,0.2593,0.4846,Convergence/flat likelihood; Collapsed rate class
4,SRV,0.4126,0.53,-4602.83,9288.04,41,-4603.17,9286.69,40,0.2592,0.4839,Convergence/flat likelihood; Collapsed rate class
5,SRV,0.4126,0.54,-4602.83,9288.04,41,-4603.17,9286.69,40,0.2591,0.4853,Convergence/flat likelihood
6,SRV,0.4126,0.53,-4602.83,9288.04,41,-4603.17,9286.69,40,0.2591,0.4855,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.4126,0.53,-4602.83,9288.04,41,-4603.17,9286.7,40,0.2594,0.4862,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.4127,0.53,-4602.83,9288.04,41,-4603.17,9286.69,40,0.2594,0.4856,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.4126,0.53,-4602.83,9288.04,41,-4603.17,9286.69,40,0.2594,0.4857,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.4126,0.54,-4602.83,9288.04,41,-4603.17,9286.69,40,0.259,0.4853,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.4126,0.53,-4602.83,9292.08,43,-4603.17,9290.73,42,0.2592,0.4847,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.4126,0.53,-4602.83,9292.08,43,-4603.17,9290.73,42,0.2593,0.4857,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.4127,0.53,-4602.83,9292.08,43,-4603.17,9290.73,42,0.2594,0.4857,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.4126,0.53,-4602.83,9292.08,43,-4603.17,9290.73,42,0.2593,0.4857,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.4125,0.53,-4602.83,9292.08,43,-4603.17,9290.73,42,0.2591,0.4855,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.4124,0.53,-4602.83,9292.08,43,-4603.17,9290.73,42,0.2594,0.4857,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.4126,0.54,-4602.83,9292.08,43,-4603.17,9290.73,42,0.2592,0.4848,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.4126,0.54,-4602.83,9292.08,43,-4603.17,9290.73,42,0.2593,0.4857,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.4125,0.53,-4602.83,9292.08,43,-4603.17,9290.73,42,0.2592,0.4847,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.4125,0.53,-4602.83,9292.08,43,-4603.17,9290.73,42,0.2595,0.4852,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.4126,0.53,-4602.83,9296.12,45,-4603.17,9294.77,44,0.2593,0.4852,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.4126,0.53,-4602.83,9296.12,45,-4603.17,9294.77,44,0.2592,0.4842,Convergence/flat likelihood
3,SRV+Double+Triple,0.4121,0.53,-4602.84,9296.12,45,-4603.17,9294.77,44,0.2593,0.4856,Convergence/flat likelihood
4,SRV+Double+Triple,0.4124,0.53,-4602.84,9296.12,45,-4603.17,9294.77,44,0.2594,0.4855,Convergence/flat likelihood
5,SRV+Double+Triple,0.4126,0.53,-4602.83,9296.12,45,-4603.17,9294.77,44,0.2593,0.4846,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.4126,0.53,-4602.83,9296.12,45,-4603.17,9294.77,44,0.2594,0.4851,Convergence/flat likelihood
7,SRV+Double+Triple,0.4126,0.53,-4602.83,9296.12,45,-4603.17,9294.77,44,0.2592,0.4849,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.4127,0.53,-4602.83,9296.12,45,-4603.17,9294.77,44,0.2594,0.4857,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.4119,0.53,-4602.84,9296.12,45,-4603.17,9294.77,44,0.2596,0.4857,Convergence/flat likelihood
10,SRV+Double+Triple,0.4126,0.53,-4602.83,9296.12,45,-4603.17,9294.77,44,0.2593,0.4861,Convergence/flat likelihood; Collapsed rate class
