replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.5404,0.42,-7901.11,15916.62,57,-7901.3,15914.98,56,0.2334,0.3919,Convergence/flat likelihood
2,SRV,0.542,0.44,-7901.12,15916.63,57,-7901.3,15914.99,56,0.2334,0.3919,Convergence/flat likelihood
3,SRV,0.5408,0.42,-7901.11,15916.62,57,-7901.3,15914.98,56,0.2335,0.392,Convergence/flat likelihood
4,SRV,0.5412,0.42,-7901.11,15916.62,57,-7901.3,15914.98,56,0.2335,0.392,Convergence/flat likelihood
5,SRV,0.5407,0.42,-7901.11,15916.62,57,-7901.3,15914.98,56,0.2334,0.3919,Convergence/flat likelihood
6,SRV,0.5472,0.57,-7901.18,15916.76,57,-7901.36,15915.11,56,0.2334,0.3919,Convergence/flat likelihood
7,SRV,0.541,50.0,-7901.29,15916.98,57,-7901.3,15914.99,56,0.2334,0.3919,Convergence/flat likelihood
8,SRV,0.556,0.57,-7901.19,15916.78,57,-7901.37,15915.12,56,0.2335,0.392,Convergence/flat likelihood
9,SRV,0.5518,0.57,-7901.19,15916.78,57,-7901.37,15915.12,56,0.2334,0.3919,Convergence/flat likelihood
10,SRV,0.5408,0.42,-7901.11,15916.62,57,-7901.3,15914.98,56,0.2334,0.3919,Convergence/flat likelihood
1,SRV+Double,0.5434,0.57,-7901.2,15920.83,59,-7901.39,15919.19,58,0.2334,0.3919,Convergence/flat likelihood
2,SRV+Double,0.5414,0.43,-7901.11,15920.66,59,-7901.3,15919.01,58,0.2334,0.3919,Convergence/flat likelihood
3,SRV+Double,0.5528,0.57,-7901.18,15920.79,59,-7901.36,15919.13,58,0.2334,0.3919,Convergence/flat likelihood
4,SRV+Double,0.5429,0.44,-7901.12,15920.66,59,-7901.3,15919.02,58,0.2334,0.3919,Convergence/flat likelihood
5,SRV+Double,0.5438,0.57,-7901.21,15920.84,59,-7901.39,15919.2,58,0.2334,0.3919,Convergence/flat likelihood
6,SRV+Double,0.5408,0.41,-7901.11,15920.65,59,-7901.3,15919.01,58,0.2334,0.3919,Convergence/flat likelihood
7,SRV+Double,0.5411,50.0,-7901.29,15921.0,59,-7901.3,15919.01,58,0.2335,0.392,Convergence/flat likelihood
8,SRV+Double,0.5434,0.44,-7901.12,15920.66,59,-7901.3,15919.02,58,0.2334,0.3919,Convergence/flat likelihood
9,SRV+Double,0.5544,0.57,-7901.18,15920.79,59,-7901.36,15919.12,58,0.2334,0.3919,Convergence/flat likelihood
10,SRV+Double,0.541,0.42,-7901.11,15920.65,59,-7901.3,15919.01,58,0.2334,0.3919,Convergence/flat likelihood
1,SRV+Double+Triple,0.5384,0.44,-7900.77,15924.0,61,-7900.96,15922.36,60,0.2334,0.3919,Convergence/flat likelihood
2,SRV+Double+Triple,1.0,10.88,-7900.82,15926.11,62,-7900.82,15924.09,61,0.2335,0.392,Convergence/flat likelihood
3,SRV+Double+Triple,0.5389,0.45,-7900.77,15924.0,61,-7900.96,15922.36,60,0.2334,0.3919,Convergence/flat likelihood
4,SRV+Double+Triple,0.5383,0.44,-7900.77,15924.0,61,-7900.96,15922.36,60,0.2334,0.3919,Convergence/flat likelihood
5,SRV+Double+Triple,0.5386,0.45,-7900.77,15924.0,61,-7900.96,15922.36,60,0.2335,0.392,Convergence/flat likelihood
6,SRV+Double+Triple,0.5384,0.44,-7900.77,15924.0,61,-7900.96,15922.36,60,0.2334,0.3919,Convergence/flat likelihood
7,SRV+Double+Triple,0.5389,0.46,-7900.77,15924.0,61,-7900.96,15922.37,60,0.2334,0.3919,Convergence/flat likelihood
8,SRV+Double+Triple,0.5384,50.0,-7901.02,15924.5,61,-7900.97,15922.38,60,0.2334,0.3919,Convergence/flat likelihood
9,SRV+Double+Triple,0.5386,0.44,-7900.77,15924.0,61,-7900.96,15922.36,60,0.2334,0.3919,Convergence/flat likelihood
10,SRV+Double+Triple,0.5382,0.44,-7900.77,15924.0,61,-7900.96,15922.36,60,0.2334,0.3919,Convergence/flat likelihood
