model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,23.574,SRV,1
null,2,0.0,31.545,SRV,1
null,3,2.228,44.88,SRV,1
null,1,0.0,55.117,SRV,2
null,2,0.002,0.0,SRV,2
null,3,2.228,44.883,SRV,2
null,1,0.0,50.083,SRV,3
null,2,0.0,5.032,SRV,3
null,3,2.228,44.885,SRV,3
null,1,0.0,55.124,SRV,4
null,2,0.0,0.0,SRV,4
null,3,2.228,44.876,SRV,4
null,1,0.0,28.424,SRV,5
null,2,0.0,26.695,SRV,5
null,3,2.228,44.881,SRV,5
null,1,0.0,22.704,SRV,6
null,2,0.0,32.487,SRV,6
null,3,2.232,44.809,SRV,6
null,1,0.0,29.344,SRV,7
null,2,0.0,25.773,SRV,7
null,3,2.228,44.883,SRV,7
null,1,0.0,55.119,SRV,8
null,2,0.0,0.0,SRV,8
null,3,2.228,44.881,SRV,8
null,1,0.0,26.931,SRV,9
null,2,0.0,28.191,SRV,9
null,3,2.228,44.877,SRV,9
null,1,0.0,55.121,SRV,10
null,2,0.0,0.0,SRV,10
null,3,2.228,44.879,SRV,10
