model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,10.078,SRV,1
null,2,0.939,78.297,SRV,1
null,3,2.275,11.625,SRV,1
null,1,0.0,10.111,SRV,2
null,2,0.942,78.722,SRV,2
null,3,2.311,11.167,SRV,2
null,1,0.0,10.105,SRV,3
null,2,0.942,78.728,SRV,3
null,3,2.311,11.167,SRV,3
null,1,0.0,10.102,SRV,4
null,2,0.942,78.688,SRV,4
null,3,2.308,11.21,SRV,4
null,1,0.0,10.104,SRV,5
null,2,0.942,78.693,SRV,5
null,3,2.308,11.204,SRV,5
null,1,0.0,10.043,SRV,6
null,2,0.937,78.108,SRV,6
null,3,2.262,11.849,SRV,6
null,1,0.0,10.126,SRV,7
null,2,0.943,78.701,SRV,7
null,3,2.306,11.173,SRV,7
null,1,0.0,10.133,SRV,8
null,2,0.944,78.961,SRV,8
null,3,2.332,10.906,SRV,8
null,1,0.0,10.136,SRV,9
null,2,0.945,78.994,SRV,9
null,3,2.335,10.87,SRV,9
null,1,0.0,10.091,SRV,10
null,2,0.941,78.548,SRV,10
null,3,2.296,11.36,SRV,10
