model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.002,0.0,SRV,1
alternative,reference,Negative selection,0.06,59.793,SRV,1
alternative,reference,Negative selection,0.492,40.207,SRV,1
alternative,test,Diversifying selection,1.002,0.0,SRV,1
alternative,test,Diversifying selection,1.002,0.0,SRV,1
alternative,test,Negative selection,0.035,59.793,SRV,1
alternative,test,Negative selection,0.428,40.207,SRV,1
alternative,test,Negative selection,0.06,59.793,SRV,1
alternative,test,Negative selection,0.492,40.207,SRV,1
null,reference,Diversifying selection,1.153,0.0,SRV,1
null,reference,Negative selection,0.053,59.011,SRV,1
null,reference,Negative selection,0.492,40.989,SRV,1
null,test,Diversifying selection,1.153,0.0,SRV,1
null,test,Negative selection,0.053,59.011,SRV,1
null,test,Negative selection,0.492,40.989,SRV,1
alternative,reference,Diversifying selection,1.002,0.0,SRV,2
alternative,reference,Negative selection,0.0,43.885,SRV,2
alternative,reference,Negative selection,0.415,56.115,SRV,2
alternative,test,Diversifying selection,1.003,0.0,SRV,2
alternative,test,Diversifying selection,1.002,0.0,SRV,2
alternative,test,Negative selection,0.0,43.885,SRV,2
alternative,test,Negative selection,0.342,56.115,SRV,2
alternative,test,Negative selection,0.0,43.885,SRV,2
alternative,test,Negative selection,0.415,56.115,SRV,2
null,reference,Diversifying selection,1.168,0.0,SRV,2
null,reference,Negative selection,0.0,43.909,SRV,2
null,reference,Negative selection,0.415,56.091,SRV,2
null,test,Diversifying selection,1.168,0.0,SRV,2
null,test,Negative selection,0.0,43.909,SRV,2
null,test,Negative selection,0.415,56.091,SRV,2
alternative,reference,Diversifying selection,1.002,0.0,SRV,3
alternative,reference,Negative selection,0.0,45.337,SRV,3
alternative,reference,Negative selection,0.427,54.663,SRV,3
alternative,test,Diversifying selection,1.002,0.0,SRV,3
alternative,test,Diversifying selection,1.002,0.0,SRV,3
alternative,test,Negative selection,0.0,45.337,SRV,3
alternative,test,Negative selection,0.351,54.663,SRV,3
alternative,test,Negative selection,0.0,45.337,SRV,3
alternative,test,Negative selection,0.427,54.663,SRV,3
null,reference,Diversifying selection,1.164,0.0,SRV,3
null,reference,Negative selection,0.0,45.245,SRV,3
null,reference,Negative selection,0.426,54.755,SRV,3
null,test,Diversifying selection,1.164,0.0,SRV,3
null,test,Negative selection,0.0,45.245,SRV,3
null,test,Negative selection,0.426,54.755,SRV,3
alternative,reference,Diversifying selection,1.002,0.0,SRV,4
alternative,reference,Negative selection,0.0,44.102,SRV,4
alternative,reference,Negative selection,0.416,55.898,SRV,4
alternative,test,Diversifying selection,1.003,0.0,SRV,4
alternative,test,Diversifying selection,1.002,0.0,SRV,4
alternative,test,Negative selection,0.0,44.102,SRV,4
alternative,test,Negative selection,0.344,55.898,SRV,4
alternative,test,Negative selection,0.0,44.102,SRV,4
