model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.0,10.108,SRV,1
null,2,0.943,78.763,SRV,1
null,3,2.315,11.128,SRV,1
null,1,0.0,10.135,SRV,2
null,2,0.944,78.698,SRV,2
null,3,2.305,11.166,SRV,2
null,1,0.0,10.122,SRV,3
null,2,0.943,78.817,SRV,3
null,3,2.319,11.061,SRV,3
null,1,0.0,10.115,SRV,4
null,2,0.943,78.8,SRV,4
null,3,2.318,11.085,SRV,4
null,1,0.0,10.116,SRV,5
null,2,0.943,78.794,SRV,5
null,3,2.317,11.091,SRV,5
null,1,0.0,10.068,SRV,6
null,2,0.939,78.24,SRV,6
null,3,2.273,11.692,SRV,6
null,1,0.0,10.122,SRV,7
null,2,0.943,78.825,SRV,7
null,3,2.319,11.053,SRV,7
null,1,0.0,10.117,SRV,8
null,2,0.943,78.799,SRV,8
null,3,2.318,11.083,SRV,8
null,1,0.0,10.116,SRV,9
null,2,0.943,78.818,SRV,9
null,3,2.319,11.066,SRV,9
null,1,0.0,10.135,SRV,10
null,2,0.944,78.943,SRV,10
null,3,2.332,10.922,SRV,10
