model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,1.002,0.0,SRV,1
alternative,reference,Negative selection,0.073,64.705,SRV,1
alternative,reference,Negative selection,0.524,35.295,SRV,1
alternative,test,Diversifying selection,1.0,0.0,SRV,1
alternative,test,Diversifying selection,1.002,0.0,SRV,1
alternative,test,Negative selection,0.707,64.705,SRV,1
alternative,test,Negative selection,0.918,35.295,SRV,1
alternative,test,Negative selection,0.073,64.705,SRV,1
alternative,test,Negative selection,0.524,35.295,SRV,1
null,reference,Diversifying selection,1.152,0.0,SRV,1
null,reference,Negative selection,0.071,63.611,SRV,1
null,reference,Negative selection,0.516,36.389,SRV,1
null,test,Diversifying selection,1.152,0.0,SRV,1
null,test,Negative selection,0.071,63.611,SRV,1
null,test,Negative selection,0.516,36.389,SRV,1
alternative,reference,Diversifying selection,1.002,0.0,SRV,2
alternative,reference,Negative selection,0.0,43.568,SRV,2
alternative,reference,Negative selection,0.41,56.432,SRV,2
alternative,test,Diversifying selection,1.0,0.0,SRV,2
alternative,test,Diversifying selection,1.002,0.0,SRV,2
alternative,test,Negative selection,0.563,43.568,SRV,2
alternative,test,Negative selection,0.948,56.432,SRV,2
alternative,test,Negative selection,0.0,43.568,SRV,2
alternative,test,Negative selection,0.41,56.432,SRV,2
null,reference,Diversifying selection,1.159,0.0,SRV,2
null,reference,Negative selection,0.0,43.577,SRV,2
null,reference,Negative selection,0.412,56.423,SRV,2
null,test,Diversifying selection,1.159,0.0,SRV,2
null,test,Negative selection,0.0,43.577,SRV,2
null,test,Negative selection,0.412,56.423,SRV,2
alternative,reference,Diversifying selection,1.002,0.0,SRV,3
alternative,reference,Negative selection,0.06,59.702,SRV,3
alternative,reference,Negative selection,0.486,40.298,SRV,3
alternative,test,Diversifying selection,1.0,0.0,SRV,3
alternative,test,Diversifying selection,1.002,0.0,SRV,3
alternative,test,Negative selection,0.695,59.702,SRV,3
alternative,test,Negative selection,0.911,40.298,SRV,3
alternative,test,Negative selection,0.06,59.702,SRV,3
alternative,test,Negative selection,0.486,40.298,SRV,3
null,reference,Diversifying selection,1.075,0.0,SRV,3
null,reference,Negative selection,0.045,56.43,SRV,3
null,reference,Negative selection,0.477,43.57,SRV,3
null,test,Diversifying selection,1.075,0.0,SRV,3
null,test,Negative selection,0.045,56.43,SRV,3
null,test,Negative selection,0.477,43.57,SRV,3
alternative,reference,Diversifying selection,1.002,0.0,SRV,4
alternative,reference,Negative selection,0.0,43.473,SRV,4
alternative,reference,Negative selection,0.409,56.527,SRV,4
alternative,test,Diversifying selection,1.0,0.0,SRV,4
alternative,test,Diversifying selection,1.002,0.0,SRV,4
alternative,test,Negative selection,0.56,43.473,SRV,4
alternative,test,Negative selection,0.948,56.527,SRV,4
alternative,test,Negative selection,0.0,43.473,SRV,4
alternative,test,Negative selection,0.409,56.527,SRV,4
null,reference,Diversifying selection,1.079,0.0,SRV,4
null,reference,Negative selection,0.0,43.691,SRV,4
null,reference,Negative selection,0.413,56.309,SRV,4
null,test,Diversifying selection,1.079,0.0,SRV,4
null,test,Negative selection,0.0,43.691,SRV,4
null,test,Negative selection,0.413,56.309,SRV,4
alternative,reference,Diversifying selection,1.002,0.0,SRV,5
alternative,reference,Negative selection,0.058,60.646,SRV,5
alternative,reference,Negative selection,0.501,39.354,SRV,5
alternative,test,Diversifying selection,1.0,0.0,SRV,5
alternative,test,Diversifying selection,1.002,0.0,SRV,5
alternative,test,Negative selection,0.696,60.646,SRV,5
alternative,test,Negative selection,0.916,39.354,SRV,5
alternative,test,Negative selection,0.058,60.646,SRV,5
alternative,test,Negative selection,0.501,39.354,SRV,5
null,reference,Diversifying selection,1.161,0.0,SRV,5
null,reference,Negative selection,0.057,60.052,SRV,5
null,reference,Negative selection,0.498,39.948,SRV,5
null,test,Diversifying selection,1.161,0.0,SRV,5
null,test,Negative selection,0.057,60.052,SRV,5
null,test,Negative selection,0.498,39.948,SRV,5
alternative,reference,Diversifying selection,1.002,0.0,SRV,6
