model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,9.367,4.014,SRV,1
alternative,reference,Negative selection,0.0,73.281,SRV,1
alternative,reference,Negative selection,0.0,22.704,SRV,1
alternative,test,Diversifying selection,935.089,4.014,SRV,1
alternative,test,Diversifying selection,9.367,4.014,SRV,1
alternative,test,Negative selection,0.0,73.281,SRV,1
alternative,test,Negative selection,0.0,22.704,SRV,1
alternative,test,Negative selection,0.0,73.281,SRV,1
alternative,test,Negative selection,0.0,22.704,SRV,1
null,reference,Diversifying selection,9.833,4.068,SRV,1
null,reference,Negative selection,0.0,73.119,SRV,1
null,reference,Negative selection,0.0,22.813,SRV,1
null,test,Diversifying selection,9.833,4.068,SRV,1
null,test,Negative selection,0.0,73.119,SRV,1
null,test,Negative selection,0.0,22.813,SRV,1
alternative,reference,Diversifying selection,9.992,3.785,SRV,2
alternative,reference,Negative selection,0.0,96.215,SRV,2
alternative,reference,Negative selection,0.0,0.0,SRV,2
alternative,test,Diversifying selection,1061.533,3.785,SRV,2
alternative,test,Diversifying selection,9.992,3.785,SRV,2
alternative,test,Negative selection,0.0,96.215,SRV,2
alternative,test,Negative selection,0.0,0.0,SRV,2
alternative,test,Negative selection,0.0,96.215,SRV,2
alternative,test,Negative selection,0.0,0.0,SRV,2
null,reference,Diversifying selection,10.289,3.921,SRV,2
null,reference,Negative selection,0.0,96.079,SRV,2
null,reference,Negative selection,0.0,0.0,SRV,2
null,test,Diversifying selection,10.289,3.921,SRV,2
null,test,Negative selection,0.0,96.079,SRV,2
null,test,Negative selection,0.0,0.0,SRV,2
alternative,reference,Diversifying selection,1.021,0.0,SRV,3
alternative,reference,Negative selection,0.289,100.0,SRV,3
alternative,reference,Negative selection,0.917,0.0,SRV,3
alternative,test,Diversifying selection,1.021,0.0,SRV,3
alternative,test,Negative selection,0.289,100.0,SRV,3
alternative,test,Negative selection,0.917,0.0,SRV,3
alternative,test,Neutral evolution,1.0,100.0,SRV,3
alternative,test,Neutral evolution,1.0,0.0,SRV,3
alternative,test,Neutral evolution,1.0,0.0,SRV,3
null,reference,Diversifying selection,1.166,0.0,SRV,3
null,reference,Negative selection,0.31,100.0,SRV,3
null,reference,Negative selection,0.373,0.0,SRV,3
null,test,Diversifying selection,1.166,0.0,SRV,3
null,test,Negative selection,0.31,100.0,SRV,3
null,test,Negative selection,0.373,0.0,SRV,3
alternative,reference,Diversifying selection,1.615,0.0,SRV,4
alternative,reference,Negative selection,0.013,0.0,SRV,4
alternative,reference,Negative selection,0.289,100.0,SRV,4
alternative,test,Diversifying selection,1.615,0.0,SRV,4
alternative,test,Negative selection,0.013,0.0,SRV,4
alternative,test,Negative selection,0.289,100.0,SRV,4
alternative,test,Neutral evolution,1.0,100.0,SRV,4
alternative,test,Neutral evolution,1.0,0.0,SRV,4
alternative,test,Neutral evolution,1.0,0.0,SRV,4
null,reference,Diversifying selection,1.313,0.0,SRV,4
null,reference,Negative selection,0.012,0.0,SRV,4
null,reference,Negative selection,0.309,100.0,SRV,4
null,test,Diversifying selection,1.313,0.0,SRV,4
null,test,Negative selection,0.012,0.0,SRV,4
null,test,Negative selection,0.309,100.0,SRV,4
alternative,reference,Diversifying selection,9.374,4.009,SRV,5
alternative,reference,Negative selection,0.0,51.076,SRV,5
alternative,reference,Negative selection,0.0,44.916,SRV,5
alternative,test,Diversifying selection,1406.203,4.009,SRV,5
alternative,test,Diversifying selection,9.374,4.009,SRV,5
alternative,test,Negative selection,0.0,51.076,SRV,5
alternative,test,Negative selection,0.0,44.916,SRV,5
alternative,test,Negative selection,0.0,51.076,SRV,5
alternative,test,Negative selection,0.0,44.916,SRV,5
null,reference,Diversifying selection,9.474,4.191,SRV,5
null,reference,Negative selection,0.0,48.86,SRV,5
null,reference,Negative selection,0.0,46.949,SRV,5
null,test,Diversifying selection,9.474,4.191,SRV,5
null,test,Negative selection,0.0,48.86,SRV,5
null,test,Negative selection,0.0,46.949,SRV,5
alternative,reference,Diversifying selection,9.579,3.941,SRV,6
alternative,reference,Negative selection,0.0,73.131,SRV,6
alternative,reference,Negative selection,0.0,22.928,SRV,6
alternative,test,Diversifying selection,951.695,3.941,SRV,6
alternative,test,Diversifying selection,9.579,3.941,SRV,6
alternative,test,Negative selection,0.0,73.131,SRV,6
alternative,test,Negative selection,0.0,22.928,SRV,6
alternative,test,Negative selection,0.0,73.131,SRV,6
alternative,test,Negative selection,0.0,22.928,SRV,6
null,reference,Diversifying selection,9.949,4.032,SRV,6
null,reference,Negative selection,0.0,72.713,SRV,6
null,reference,Negative selection,0.0,23.255,SRV,6
null,test,Diversifying selection,9.949,4.032,SRV,6
null,test,Negative selection,0.0,72.713,SRV,6
null,test,Negative selection,0.0,23.255,SRV,6
alternative,reference,Diversifying selection,9.326,4.031,SRV,7
alternative,reference,Negative selection,0.0,62.543,SRV,7
alternative,reference,Negative selection,0.0,33.426,SRV,7
alternative,test,Diversifying selection,876.807,4.031,SRV,7
alternative,test,Diversifying selection,9.326,4.031,SRV,7
alternative,test,Negative selection,0.0,62.543,SRV,7
alternative,test,Negative selection,0.0,33.426,SRV,7
