model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.776,99.408,SRV,1
null,2,0.951,0.0,SRV,1
null,3,38.615,0.592,SRV,1
alternative,1,0.774,99.391,SRV,2
alternative,2,12.191,0.0,SRV,2
alternative,3,37.842,0.609,SRV,2
null,1,0.773,99.403,SRV,2
null,2,10.865,0.0,SRV,2
null,3,38.796,0.597,SRV,2
null,1,0.402,0.0,SRV,3
null,2,0.588,93.117,SRV,3
null,3,6.568,6.883,SRV,3
null,1,0.0,0.0,SRV,4
null,2,0.278,80.853,SRV,4
null,3,4.047,19.147,SRV,4
alternative,1,0.709,0.0,SRV,5
alternative,2,0.778,99.397,SRV,5
alternative,3,37.656,0.603,SRV,5
null,1,0.707,0.0,SRV,5
null,2,0.778,99.411,SRV,5
null,3,38.412,0.589,SRV,5
null,1,0.763,20.212,SRV,6
null,2,0.778,79.195,SRV,6
null,3,38.73,0.593,SRV,6
null,1,0.779,99.412,SRV,7
null,2,8.54,0.0,SRV,7
null,3,38.358,0.588,SRV,7
null,1,0.369,0.0,SRV,8
null,2,0.589,93.147,SRV,8
null,3,6.586,6.853,SRV,8
null,1,0.098,0.0,SRV,9
null,2,0.589,93.15,SRV,9
null,3,6.587,6.85,SRV,9
null,1,0.003,0.0,SRV,10
null,2,0.245,79.18,SRV,10
null,3,3.872,20.82,SRV,10
