model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.218,0.0,SRV,1
null,2,0.588,93.103,SRV,1
null,3,6.559,6.897,SRV,1
null,1,0.0,0.0,SRV,2
null,2,0.237,78.78,SRV,2
null,3,3.833,21.22,SRV,2
null,1,0.22,0.0,SRV,3
null,2,0.588,93.109,SRV,3
null,3,6.562,6.891,SRV,3
null,1,0.232,0.0,SRV,4
null,2,0.588,93.109,SRV,4
null,3,6.562,6.891,SRV,4
null,1,0.005,0.0,SRV,5
null,2,0.207,77.285,SRV,5
null,3,3.698,22.715,SRV,5
null,1,0.773,99.406,SRV,6
null,2,2.119,0.0,SRV,6
null,3,39.026,0.594,SRV,6
null,1,0.16,0.0,SRV,7
null,2,0.588,93.101,SRV,7
null,3,6.558,6.899,SRV,7
null,1,0.001,91.817,SRV,8
null,2,0.001,0.0,SRV,8
null,3,12.215,8.183,SRV,8
null,1,0.07,0.0,SRV,9
null,2,0.588,93.105,SRV,9
null,3,6.561,6.895,SRV,9
null,1,0.0,0.0,SRV,10
null,2,0.271,80.466,SRV,10
null,3,4.005,19.534,SRV,10
