run_type,replicate,model,branch_set,class_type,class_id,omega,syn_rate,proportion_percent
SRV,1,alternative,reference,omega,Diversifying selection,1.589,,0.0
SRV,1,alternative,reference,omega,Negative selection,0.31,,17.776
SRV,1,alternative,reference,omega,Negative selection,0.325,,82.224
SRV,1,alternative,test,omega,Diversifying selection,2.262,,0.0
SRV,1,alternative,test,omega,Diversifying selection,1.589,,0.0
SRV,1,alternative,test,omega,Negative selection,0.127,,17.776
SRV,1,alternative,test,omega,Negative selection,0.138,,82.224
SRV,1,alternative,test,omega,Negative selection,0.31,,17.776
SRV,1,alternative,test,omega,Negative selection,0.325,,82.224
SRV,1,null,reference,omega,Diversifying selection,1.282,,0.0
SRV,1,null,reference,omega,Negative selection,0.297,,0.0
SRV,1,null,reference,omega,Negative selection,0.309,,100.0
SRV,1,null,test,omega,Diversifying selection,1.282,,0.0
SRV,1,null,test,omega,Negative selection,0.297,,0.0
SRV,1,null,test,omega,Negative selection,0.309,,100.0
SRV,2,alternative,reference,omega,Diversifying selection,1.005,,0.0
SRV,2,alternative,reference,omega,Negative selection,0.321,,99.162
SRV,2,alternative,reference,omega,Negative selection,0.439,,0.838
SRV,2,alternative,test,omega,Diversifying selection,1.008,,0.0
SRV,2,alternative,test,omega,Diversifying selection,1.005,,0.0
SRV,2,alternative,test,omega,Negative selection,0.135,,99.162
SRV,2,alternative,test,omega,Negative selection,0.235,,0.838
SRV,2,alternative,test,omega,Negative selection,0.321,,99.162
SRV,2,alternative,test,omega,Negative selection,0.439,,0.838
SRV,2,null,reference,omega,Diversifying selection,1.155,,0.0
SRV,2,null,reference,omega,Negative selection,0.282,,0.0
SRV,2,null,reference,omega,Negative selection,0.31,,100.0
SRV,2,null,test,omega,Diversifying selection,1.155,,0.0
SRV,2,null,test,omega,Negative selection,0.282,,0.0
SRV,2,null,test,omega,Negative selection,0.31,,100.0
SRV,3,alternative,reference,omega,Diversifying selection,2.018,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.003,,0.0
SRV,3,alternative,reference,omega,Negative selection,0.323,,100.0
SRV,3,alternative,test,omega,Diversifying selection,3.448,,0.0
SRV,3,alternative,test,omega,Diversifying selection,2.018,,0.0
SRV,3,alternative,test,omega,Negative selection,0.0,,0.0
SRV,3,alternative,test,omega,Negative selection,0.136,,100.0
SRV,3,alternative,test,omega,Negative selection,0.003,,0.0
SRV,3,alternative,test,omega,Negative selection,0.323,,100.0
SRV,3,null,reference,omega,Diversifying selection,1.581,,0.0
SRV,3,null,reference,omega,Negative selection,0.002,,0.0
SRV,3,null,reference,omega,Negative selection,0.309,,100.0
SRV,3,null,test,omega,Diversifying selection,1.581,,0.0
SRV,3,null,test,omega,Negative selection,0.002,,0.0
SRV,3,null,test,omega,Negative selection,0.309,,100.0
SRV,4,alternative,reference,omega,Diversifying selection,1.016,,0.0
SRV,4,alternative,reference,omega,Negative selection,0.322,,100.0
SRV,4,alternative,reference,omega,Negative selection,0.522,,0.0
SRV,4,alternative,test,omega,Diversifying selection,1.028,,0.0
SRV,4,alternative,test,omega,Diversifying selection,1.016,,0.0
SRV,4,alternative,test,omega,Negative selection,0.136,,100.0
SRV,4,alternative,test,omega,Negative selection,0.318,,0.0
SRV,4,alternative,test,omega,Negative selection,0.322,,100.0
SRV,4,alternative,test,omega,Negative selection,0.522,,0.0
SRV,4,null,reference,omega,Diversifying selection,1.171,,0.0
SRV,4,null,reference,omega,Negative selection,0.31,,100.0
SRV,4,null,reference,omega,Negative selection,0.479,,0.0
SRV,4,null,test,omega,Diversifying selection,1.171,,0.0
SRV,4,null,test,omega,Negative selection,0.31,,100.0
SRV,4,null,test,omega,Negative selection,0.479,,0.0
SRV,5,alternative,reference,omega,Diversifying selection,2.108,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.004,,0.0
SRV,5,alternative,reference,omega,Negative selection,0.324,,100.0
SRV,5,alternative,test,omega,Diversifying selection,3.729,,0.0
SRV,5,alternative,test,omega,Diversifying selection,2.108,,0.0
SRV,5,alternative,test,omega,Negative selection,0.0,,0.0
SRV,5,alternative,test,omega,Negative selection,0.137,,100.0
SRV,5,alternative,test,omega,Negative selection,0.004,,0.0
SRV,5,alternative,test,omega,Negative selection,0.324,,100.0
SRV,5,null,reference,omega,Diversifying selection,1.647,,0.0
SRV,5,null,reference,omega,Negative selection,0.003,,0.0
SRV,5,null,reference,omega,Negative selection,0.31,,100.0
SRV,5,null,test,omega,Diversifying selection,1.647,,0.0
SRV,5,null,test,omega,Negative selection,0.003,,0.0
SRV,5,null,test,omega,Negative selection,0.31,,100.0
SRV,6,alternative,reference,omega,Diversifying selection,1.003,,0.0
SRV,6,alternative,reference,omega,Negative selection,0.293,,79.119
SRV,6,alternative,reference,omega,Negative selection,0.433,,20.881
SRV,6,alternative,test,omega,Diversifying selection,1.006,,0.0
SRV,6,alternative,test,omega,Diversifying selection,1.003,,0.0
SRV,6,alternative,test,omega,Negative selection,0.113,,79.119
SRV,6,alternative,test,omega,Negative selection,0.226,,20.881
SRV,6,alternative,test,omega,Negative selection,0.293,,79.119
SRV,6,alternative,test,omega,Negative selection,0.433,,20.881
SRV,6,null,reference,omega,Diversifying selection,1.152,,0.0
SRV,6,null,reference,omega,Negative selection,0.302,,88.562
SRV,6,null,reference,omega,Negative selection,0.365,,11.438
SRV,6,null,test,omega,Diversifying selection,1.152,,0.0
SRV,6,null,test,omega,Negative selection,0.302,,88.562
SRV,6,null,test,omega,Negative selection,0.365,,11.438
SRV,7,alternative,reference,omega,Diversifying selection,1.004,,0.0
SRV,7,alternative,reference,omega,Negative selection,0.295,,80.481
SRV,7,alternative,reference,omega,Negative selection,0.437,,19.519
SRV,7,alternative,test,omega,Diversifying selection,1.008,,0.0
SRV,7,alternative,test,omega,Diversifying selection,1.004,,0.0
SRV,7,alternative,test,omega,Negative selection,0.114,,80.481
SRV,7,alternative,test,omega,Negative selection,0.229,,19.519
SRV,7,alternative,test,omega,Negative selection,0.295,,80.481
SRV,7,alternative,test,omega,Negative selection,0.437,,19.519
SRV,7,null,reference,omega,Diversifying selection,1.153,,0.0
SRV,7,null,reference,omega,Negative selection,0.304,,89.489
SRV,7,null,reference,omega,Negative selection,0.361,,10.511
SRV,7,null,test,omega,Diversifying selection,1.153,,0.0
