model,class_id,syn_rate,proportion_percent,run_type,replicate
null,1,0.001,0.0,SRV,1
null,2,0.249,79.382,SRV,1
null,3,3.892,20.618,SRV,1
null,1,0.588,93.106,SRV,2
null,2,6.537,2.777,SRV,2
null,3,6.576,4.117,SRV,2
null,1,0.004,0.0,SRV,3
null,2,0.2,76.927,SRV,3
null,3,3.667,23.073,SRV,3
null,1,0.161,0.0,SRV,4
null,2,0.588,93.096,SRV,4
null,3,6.555,6.904,SRV,4
null,1,0.176,0.0,SRV,5
null,2,0.588,93.111,SRV,5
null,3,6.563,6.889,SRV,5
null,1,0.006,0.0,SRV,6
null,2,0.641,95.17,SRV,6
null,3,8.08,4.83,SRV,6
null,1,0.062,0.0,SRV,7
null,2,0.588,93.114,SRV,7
null,3,6.565,6.886,SRV,7
null,1,0.003,0.0,SRV,8
null,2,0.219,77.879,SRV,8
null,3,3.75,22.121,SRV,8
null,1,0.003,0.0,SRV,9
null,2,0.201,76.963,SRV,9
null,3,3.67,23.037,SRV,9
null,1,0.773,99.405,SRV,10
null,2,8.412,0.0,SRV,10
null,3,38.989,0.595,SRV,10
